volaalimjn,mznmnronay,trwgxbxguc,tzohqcjctw
-257,caT,qnonuyvzhw,cAT
-0.0775,-0.343,-0.4135,zsfgkzmnkr
-347,125,CAT,706
-0.2875,-654,sidbduiwdc,-603
bcwzwzowzu,-173,dOG,bhjecmzynt
qjwzwkzrmf,kvuqndfjff,fkfmebpgqv,dog
iruqdijyxp,qgbfvnzyju,Cat,-0.037
tdwjuoldfg,ohlbaepqab,0.0535,mwuapyahqg
Dog,-0.2415,fslodamhxg,cat
rfvcknyiwm,fioxzzxfpw,977,nwqtdcqrpu
Cat,-0.31,-0.409,0.4585
0.1655,955,vmsvytrwdp,425
933,-0.2645,asndqatagj,-800
966,0.416,-0.272,ybixxlfrkc
cAT,DOG,wugdqctnox,pjizzbrjwy
91,dOG,0.472,CAt
312,463,0.1055,-935
872,0.39,-0.0975,cgnvtphbot
803,uuxnesogfy,gkhrlaxldg,-971
dOG,-752,0.0035,opzxinuojr
-329,CaT,-0.131,-0.3195
-0.196,xevssgenpz,-289,-492
DOG,-0.3545,zaeprreugz,376
