krqehkebtw,jyykjesppn,okwdagubtj,ixxxvctzgy
972,qbewqsaldr,DoG,-765
-0.083,rpplsgryqr,-472,zoiaqnvvdg
-931,caqscsuncw,cxwwxzcjrz,dOg
-856,0.289,uigznkhdsz,-768
Cat,doG,-284,-0.199
-0.345,toormzzgbm,864,duzpyqveat
-385,sjnnwtjpuw,-0.251,17
rmuscefbmj,0.113,887,Dog
rbdyefohpi,msepdsuquc,-423,-288
umevxwmtwo,0.4015,-166,-577
757,cAt,qlzojychqk,CAT
ufsdzdxfuj,cat,rzshxspwtl,sknvrjaysb
DOG,0.253,-0.251,616
fbvvodmdrc,0.1855,szqwmtrbbj,CAT
-0.077,0.278,shnevlmvan,-623
wyxkrdzeax,-117,kazokcltdv,cAT
DOg,fjelaafvpa,0.186,38
kcatddwzps,-578,0.278,dutlbihkft
-546,254,0.382,npcqdootce
563,30,tcexflzilh,dog
-907,cAt,Cat,0.293
0.401,DoG,dog,-339
-803,woaqtjcqtb,-0.059,cnurmrftit
jycgmxhrmu,DOG,sqdjggkbqo,829
593,qrqynmufsq,-0.084,CaT
utfaplgobc,-0.497,qgnpafflek,0.0215
364,-864,-0.2005,cat
0.128,ymibxewhci,oshzkaihzr,0.174
DoG,hstzvxnqxx,233,uwrapkfnzw
-0.3045,acworcqohc,0.275,0.4665
yisnybqeag,-0.132,tuhphfcqsa,-0.0145
-520,cat,691,jioldtnkkr
303,fnsdyhuyib,rqnwielmrb,CAT
-0.0335,umlyirdzjy,cAT,Dog
jyopheauxf,mpmxscjuwj,dog,-0.3375
CaT,zwdqehuzrt,0.3335,-144
-408,uevrqyirnm,DoG,-646
-735,doqwykeqaj,0.256,dog
Dog,dyywcjgrdb,439,-528
-16,CAt,-0.239,777
855,ynkgzibctf,lzbdbgmvxv,CaT
CAt,0.076,-0.323,-477
bbgyevaxdz,336,594,24
-0.028,-0.169,0.071,740
-0.4845,zrxolplcep,cAT,owbpzrqvpe
cAt,-244,847,0.4275
0.114,-529,-950,-0.3005
-0.318,-0.4085,-266,-0.406
oxlksdimxd,-0.0545,0.078,wxgozftubi
qimyyyxlgh,379,rhrusbccxk,doG
-984,-0.0995,Dog,CAT
630,qiacqqdozn,dog,lqohuoxcye
jspzxnmdko,-403,-0.491,dOg
vfwzxbfkjv,efxmeovnrg,0.393,cAt
-0.0595,-245,DOg,-0.0285
-0.4845,dOg,0.374,ujrkfkdeqh
dog,0.4455,-19,Dog
599,DOg,turpiixeja,zsbwwdbnhr
whjqjxjfzb,0.058,Dog,0.3
lencdcyvxq,-0.206,CaT,0.086
512,ccazrjerpl,193,fpfuvwddoj
ibsjelcauu,CAT,0.361,-268
-428,gyzmypnnym,-459,0.072
264,Dog,-850,ziuldrkjmv
-698,-862,0.4015,CAT
-0.1175,-0.1555,mrhpshrkrt,-272
-0.427,875,-487,-826
lkggnelwcn,-0.068,-303,0.118
0.493,ntrkotzrcd,-0.0745,-21
193,caT,-909,iivusnflbb
-0.352,yjxkwbmgez,CaT,xkhwwqaece
-183,leyrhgaksr,zjdpwwqhli,uuilretujk
-196,0.3565,29,0.0275
-604,-522,0.4955,417
359,-807,-0.3215,agooigynss
trwfyohsyb,359,tdolcrljnr,0.0045
qrdbwexuro,-93,455,dOG
aiumyvkrdv,DOg,0.21,-0.454
-0.0965,nteosgtocg,-0.312,-0.297
