crjnhxluys,oullojfmkc,PeT,sxflcvlnzy,pnhcpooqst,tgtrmwoefd
gdpveifaqu,0.066,CAT,cat,thlvqweigg,qpyowjrjdo
-259,ouhzgwzzhu,CaT,vjjwgrsbwp,wgchwswocl,773
-978,usywkliqin,Cat,-387,viuuehrexh,0.2495
-0.2545,Cat,601,cuxocqupdr,wgxlkdkzvo,69
799,terunjfgcm,-0.117,0.35,650,-100
-0.312,940,DOG,bjxqhmvzmj,tjkuvpjxwf,-795
755,126,nnauopelqk,omhehfbyyv,nsgikpgnjk,121
ywmpqdshts,uzvnvtrstk,DOG,quevhrbyoc,-414,-0.499
41,yrixqqrfqf,Cat,cAt,hcubxixkec,hvtzoukpft
0.2285,dOG,912,caT,-684,pzuacwaxpc
pjjpxlqdyz,0.126,CAt,810,pcnzlaopmw,34
cjythlmsap,0.025,Dog,-0.3585,-934,cAt
221,-0.4195,378,-0.471,37,frhhrvjwns
-0.472,zdsrfyrdwh,doG,510,0.314,dog
CAt,-0.16,dOg,0.292,-383,-0.298
-0.065,ohspadnzzo,-0.108,388,-168,98
0.4765,aaxsgsysxf,qdelbctbyt,jnnjaljhdz,437,wjopykyakb
-0.1475,dfwwswcnqo,cat,-298,-912,cat
-920,bdzjvhfgmd,17,-633,-0.361,uuxnngsivn
-127,0.29,dOg,sfejjcqadu,yiuosuxhsg,0.1555
movbsolqzn,0.271,dog,-832,bjddphmnxt,cnmuvccpjd
CaT,0.099,CAt,0.278,256,800
-290,654,cAt,vumgxgufvw,yswfqikqol,-690
amzrrjjeqq,dOG,-0.416,-0.2695,-0.1165,77
360,422,dOg,cAt,-0.188,dog
242,wfreiujzlp,caT,doG,-717,erggbwcfhr
cAT,-0.4625,-541,bptgmhetzh,0.182,-871
suzawonpeo,cAT,CAt,-138,-742,-0.2595
-0.141,0.399,dog,-401,-0.0925,DOg
DOG,dog,-0.1335,821,-0.0855,tdwasuxyax
