Pet,bfnbdesubp,jyueaafugq,lgyudmtqag,pmlpfuqgrz,uyqwekzspr,krlqolwhfi
ogdtulvabq,-590,-0.4805,-0.381,-175,-0.3865,0.2395
-0.203,392,-147,-720,818,DoG,-0.237
dOG,doG,dOg,29,-0.123,tpegjlahnt,0.4835
DOG,veqxiwpxsl,708,dOg,cAT,bupywzbadx,683
dOG,ukmnuepmjk,dOg,-0.277,CAT,Cat,gxsbsddysj
caT,0.103,dtaxaeqsaf,-125,kwetzscczu,dOg,dOG
cAT,DoG,-602,ldqnbvqwkk,-891,kwaselxpqm,-0.094
dOG,-456,-0.331,gfagtxmqyz,nrktsfixul,-0.4355,bzugymhwet
DOg,104,-0.3965,xyomvrqxcv,134,0.422,-0.2485
CAT,911,-0.111,-0.4555,482,dog,iifuloulxg
cAT,0.3595,0.484,hphwvckdxm,830,mtyrjjvwmc,0.2495
nrbfmuxter,0.3555,rkyjfvuhka,-0.2445,0.1015,pclciyrtts,wdlcbwzhkv
DoG,sutuebdotx,nmewnpivyb,738,mdiaervgvj,694,CAt
Cat,hguiuydfvo,Cat,CAt,maucwdjhef,390,0.1655
cat,609,cAt,805,mdlfshkssf,dOG,fhlvllhoen
-0.2595,hgkbspubwr,Cat,658,-39,-0.1095,-85
CAT,0.2205,luhicmfndj,nvrzdxvmkz,caT,tzdcxuvibv,0.17
DOG,0.434,-546,747,zmksydrquo,firgbvlfnh,-0.361
-819,gqhhmbccki,cat,-0.137,tvzkdlzptc,-513,0.428
cAT,0.0435,83,-0.086,-292,-0.1115,-0.346
CAt,-640,savnzgvxau,154,DoG,lluszmmoij,CAt
caT,kuhcyulmub,edksxxoxcl,0.1785,tknhhbepaa,fsmufvynlh,jjchlxjupj
dOg,ahlfnafote,-0.167,149,-588,cbmfzfzhae,0.096
117,CaT,529,dpxivkbxwa,qgfztkooqs,-731,dyixcjrxcd
DOG,0.1685,dOG,bzouqaqdqz,0.0605,CAT,48
cAt,xssfuoszcv,-0.166,-0.353,926,-0.4355,0.0045
0.317,0.229,-239,-0.482,dog,0.426,-0.44
Cat,-897,dOg,CaT,cat,0.171,CaT
caT,-401,749,lsceulqumu,-0.0225,yvpmsbwjsi,ylniahifnr
-0.0755,stgooaueaa,rwzmmggejf,615,vomfwensfa,atghfswvda,CAt
-0.143,CaT,-300,cAt,0.033,yttqqxeoqi,Cat
CaT,-0.3495,vqiwvqbrtd,dog,-930,CaT,371
DOG,0.1525,doayymywkd,-0.4855,fixtdhbqbc,274,783
DOG,DOG,DoG,mmbpfakkqh,0.042,-132,bepexawyfe
DoG,-0.174,-653,dOG,lmgqdlikga,-136,172
mrfglzezgz,-228,161,-0.222,0.3425,-0.3105,knohanyjje
dOg,-0.1895,0.4285,711,dOG,-0.286,-231
-441,777,3,nnodqbfbri,cAT,-230,2
Cat,-0.0035,cAT,dog,gjrsfruqcw,zvueukyboi,vjxiynmikc
CaT,0.3595,dog,ybsrufalbe,0.2135,455,lfgdpoehty
cAt,DOg,-0.0725,pijpswnrym,flatwgwhov,-0.1095,624
oonshwcmcw,-0.0445,-521,278,373,0.2775,dOg
dOG,tubvsjjkuc,550,lognfepjwj,smtlxgnvrx,-80,-570
CAt,-0.136,-0.204,-81,vlqehcdfmx,-599,834
-0.108,-0.371,0.1655,Cat,wkhupmuqnh,jogzxtleeo,0.4615
caT,bwhlmyvwym,-639,caT,hkdcgjyuvf,xanvrgmpxp,CAT
