peT,pvqmnuqyve,gujchuqugu
mnlgvarwlr,lfefkoegfr,0.48
0.0125,tndjuzxnpw,cAt
CaT,528,-0.1195
xpdiflodoq,435,-86
dOg,jonswotova,-582
DoG,250,0.2175
0.257,-970,283
pcgzywbtqx,-343,-517
0.368,msyvnxaffr,-936
ywjdkcyegn,dOG,656
cAt,cat,gjuznuwiim
cAt,ugwpccnahs,xhevjmfhgj
cAT,dvsgllizzy,-0.123
dog,494,nsjwbrguwz
DoG,-590,hcfeslsvxh
Dog,-562,wagdfkfgem
764,-663,0.164
fuxlbgxgnh,bxrbsjxzhg,0.314
dog,-0.3765,yfthktbitc
Dog,0.0345,midcitsgpg
doG,0.093,fxallqmoyf
-0.127,0.203,0.2505
DOg,-581,hiufpbjale
noekqgxqig,cAt,cAt
doG,-384,DOg
0.3155,caT,eihgywfwqg
iexckwsmov,Dog,dog
CAT,dog,DoG
wgwzirywss,azeaetvoml,-0.492
CAT,0.4285,spdqmbzttg
-0.22,0.127,iigxnrwykh
CaT,0.0435,-0.065
-523,DOG,-587
CaT,-296,0.339
Dog,eigynhxxpa,tmvyfigkjd
DOg,jgmnzbdyvx,0.3545
CaT,ojbiqvokfa,-0.449
dugaksendd,545,-0.2505
cat,-492,196
cAT,ihiqcnngkm,oidadpnrpv
-0.3225,dbwkihwywa,0.34
CAt,cnhlitnqaz,xnpufelnwq
DOG,-463,0.0775
dOg,-263,ginhpiycaf
CaT,CAt,miecnnfhge
Dog,jysodcexrx,-563
doG,912,cirseftmwg
CAt,0.488,CaT
dOg,672,67
334,552,866
Dog,811,104
dog,pkdwxjopkx,wingweawzk
