lsugqvsije,PeT,llqrirqevt,prkyzsqpnd,wxbslgnvfn,hdgcgujwix
edkrndpfco,Dog,-758,jfnwlmrhdf,68,0.4045
gnznwncoyg,dOG,0.061,tuoehbgwsf,kyyvfafrwi,-0.131
-954,-0.079,-0.3215,-0.303,-20,lglhahwcmp
Dog,caT,0.3975,0.189,sodxyigydk,eusqfjjwye
hasxnanken,gbzgaihwvm,ayaowwhwll,-0.2525,cqwrzvwsiq,695
0.426,CAT,mswbowehwy,565,Dog,-0.1215
aaixwkharc,CAT,xwkuclncih,-872,dksydakxri,769
-0.402,dog,960,DoG,-972,CAt
0.1255,doG,226,-0.326,-693,dog
cAT,CaT,698,-341,0.4695,-0.018
-0.2065,Cat,266,0.177,lhwepzvwcp,802
pryanxkbcy,doG,msngizguwi,iovpgklpyw,vbhzujitro,yuxwmvhflo
-0.3135,CaT,-442,-0.4695,hwckwjpowe,655
dOg,yjbmueifxq,-0.4105,CAT,caT,-0.07
0.3525,-0.326,pzcumbpjhq,-2,cat,zszjvmuobd
964,CAt,-0.008,0.124,-696,-0.465
0.21,dog,CAT,-553,-0.431,503
-949,681,bfiaufhult,caT,-0.2545,439
0.22,dog,DOg,CaT,163,jpvwblhtgy
martawuafk,cat,10,vgcjoircrr,-207,447
arjxrlklgp,0.237,382,edvkxnnpav,jclqsarlru,-0.4565
-284,0.399,-0.093,-515,ghplpqgskz,0.4705
cxasunfmwr,-0.272,336,fptmxdqwsm,-0.489,-0.1255
-0.44,DOG,0.2615,bjgzlaclqq,vgdaxuvytn,fmwvkbhlus
rzjcqcajps,CAT,-0.4865,amsnufwasr,0.2185,-172
pllcsgfzeu,dog,zhuzezldfw,305,-0.4255,0.032
560,doG,-8,0.2935,gjurgvqjgh,-0.401
hrwmzhxdpo,uwkrnlnjtc,-286,-884,-0.3435,dOG
DOG,0.432,DOg,dOG,bwrawmqpul,0.352
wtsznfrket,cat,504,cat,opbmspruku,-208
rskipvzcee,rabzrncaei,-121,-278,0.2935,186
dOg,cAT,kjszgowagf,mftqfyvohc,caT,-18
dgpldwybon,cAt,cAt,ercofcbjhb,-0.3305,0.2655
990,0.3335,ituiehjgos,995,towbovlfgf,0.2535
0.273,DOG,cAt,-693,-0.4795,882
zsdnkgyyid,DOg,DOG,-0.2755,DOg,-0.1385
cbwshjchvu,cat,-726,mayocrfrha,-362,0.404
mxwmlmthvr,CAT,zvynobydxo,zqrdnznvno,vxxkfqoawk,DOg
ywaqfzwubi,0.0085,0.298,276,qoxqrjdlbu,-610
omrqcdivvo,CaT,-582,fwxoydcxcv,-338,bvypcqtiiz
-60,cat,hhaieebypt,-0.2135,obtclytmkm,-492
Cat,dOg,0.107,cat,gixvuhkmeq,-0.0305
0.005,-0.3865,705,ppbgmeilfb,dyifthoocr,xiahahlano
dharmlsktc,uyrspzyujk,skfkzusgim,691,nvnlzckcsa,-575
-24,caT,CAT,cAT,tzgrqamfoi,pthnzbsstu
-0.193,-0.263,xthvybjshn,-0.215,dOG,yejfwcfecp
dOg,-0.2175,snzkfcxwgt,-736,CAt,131
268,DOg,pywusjcfxg,-177,Dog,trfcssmqou
doG,DoG,dOg,ugxxmdavnt,-176,mlhrnjkvif
-0.031,cat,0.233,0.345,0.4235,dOG
