qpfvtdtdem,zmzqmmxlbx,wbwyrvshim
0.222,jqsltzeywi,0.42
ktqiadbozy,-0.306,vyauxvoxro
0.184,-0.475,0.21
-0.149,kpejvwehxu,-613
ikjbwkuzxf,516,kyiexbqejn
-723,Dog,sphxqpmoal
0.0565,-433,0.2515
-0.3665,0.4515,821
cAT,enpnbkvunt,0.497
fgzxtsuqto,-891,dOg
CaT,-802,-0.126
cAT,kymkobintr,833
0.2495,-613,-654
486,702,0.451
-0.1325,CaT,dOg
dbmtcmugvg,-972,260
yrduiyxops,pxffwjanvi,tifrrkfcea
-0.299,cstzekchnk,CaT
wkgccpgusq,-539,knlkrwrxap
480,-0.146,doG
fbrmlmzamx,DOg,pqwyvkbecv
0.37,qeuheaxnra,0.1635
-27,371,jfoyjryccb
qlbpqrkumt,-0.419,0.1125
Dog,-612,caT
-0.1625,DOg,118
0.461,lugwtryury,-0.184
-0.019,ifaolgetaz,0.1765
-0.219,-0.038,-489
