txqtrogxnw,gnairunddw,kydnwygkii,qxaqdhojcz,gguyrgdnwg
-0.392,0.4935,-95,cAT,ahkkfarhzq
0.242,CAt,0.4735,0.1225,163
-0.386,-0.4575,fankzgomoq,0.1145,-0.018
0.241,pxnccudxdu,0.1615,511,dog
qwtopibhax,-0.092,0.342,-0.1335,quhefqahwq
656,-0.196,-5,DOg,814
-0.121,-0.194,gliprlqgbv,ljmdytixiy,gdrsixpkus
cat,cAt,udzqgbyvcl,-0.152,Cat
-735,117,bmjziktlfi,-184,wukeddhobz
CaT,wiwlwbqsqq,0.0065,-689,728
-0.208,doG,CAt,Dog,-0.477
0.027,kzqcjwfdpg,jeljyvqccd,-320,xmvzgmgyey
0.0195,-0.013,DOg,dhkakdjgkt,hpokgpoqaz
mtrkibkjyb,18,-0.1685,CAt,-471
-701,cAt,0.3715,bqvulmgvum,caT
0.0665,940,0.2565,740,-61
-0.08,-0.388,786,0.1955,caT
hxcdabvrtz,rryoirosuw,-0.0225,0.374,cxggppmkol
-0.4795,xgreeuhnmy,nessccjnow,ltjaayvxsv,-0.2265
0.4655,yfzyhqrkdm,otnjnvotgt,ctgftdmoxa,457
ittavkhzgo,-0.0715,0.002,0.1355,0.191
-95,0.051,-569,0.26,CaT
-0.4815,-0.228,oxnhxdjyry,-0.008,cAt
0.0385,-886,767,-614,-0.1965
767,Cat,-0.08,0.027,-988
kiaedxjfdc,-0.0105,DOG,-429,427
0.1495,-0.471,1000,yuicjesjry,iorreiurqw
mawtinnwaf,704,0.2575,-298,cat
-0.084,rgqzhquhjx,klcctlkygr,48,254
dog,-0.3675,hdspotodaz,552,260
cat,arrilftfoy,746,0.2565,0.113
-784,hszhirvizc,-798,iysvcgkeud,-631
234,151,hvgfjkouxp,499,523
-247,kvixaxncaf,-0.3335,fmucbasyex,cat
doG,qopjvbfjbp,-0.0885,0.0115,caT
njlyjvaihn,577,flehixarof,0.1725,-690
DOg,puhxswfkja,-0.328,hpqpsajzuk,-0.487
-0.4485,ixssktuzjd,0.2805,-0.381,-0.3695
0.4395,9,72,0.346,qfjfaeasig
-678,srrxnthdnt,0.4425,-0.451,dOG
304,dOg,339,-0.149,cat
0.476,-153,vilzbzjkah,ycgoyphpfi,929
340,0.184,724,dOg,0.3985
0.1,dOg,ptzwasqtxa,0.3145,auifskwvps
0.02,zlejisdzzq,578,etasxpexaj,-224
-427,CAT,qkipnrnyji,cezhyifukd,dOG
DOG,zyavdwlbst,0.4915,wzzfidmajq,vwxzybrvvo
0.095,mwigawwlxh,0.363,nkygelalym,esvvseqput
-651,tpxpzfhsaj,-261,oqpuzdshsq,lmqujzhihw
737,ycqmdjfgjw,kicvwmkhfl,cAt,0.326
-0.0085,721,976,-462,mipddajgcv
keehqxpxcu,-477,-0.2585,404,ohjygujtgp
DoG,cAt,-189,qvekjrguwx,Dog
0.349,rmthwamsnd,kttywyladg,762,kbmjlvvtlx
-0.163,arndomjrpl,568,slrssrpuvl,-714
CAT,mhqdlzbunv,cuxgdoihph,dog,cpzyhkszmp
762,-0.1145,-0.086,-0.264,DoG
hkjiwhbzpu,wzghoczjbf,11,-274,-0.4965
514,avsfclaiwk,DOG,izvykqlici,-439
-0.24,hjwosoyqwq,-597,cfshukhdjq,-0.183
ayigkqssox,182,cat,0.241,0.3375
-74,328,drxgblzllf,CAT,0.055
cAT,0.3455,cAT,-0.2955,-787
0.3095,mmcflmfflp,-513,144,-0.247
-0.2655,qvqwsicbdp,0.2995,owmwmgdblu,0.2445
-0.4855,0.082,-0.106,-0.2555,0.138
284,-590,560,llyzzvhgld,-261
CAT,rvixpaovjh,CaT,caT,cAT
690,DOG,fqhklqrmde,619,vukdpohbvk
0.4355,-0.1555,uzkztthvpx,223,0.3055
0.157,0.24,0.2855,DoG,-0.35
CAt,cat,bdiusiitkq,-675,ydfhvulfus
byptqvwccg,-0.3125,cAt,-0.285,yeqbppzfbl
97,cmgqgwaynt,dog,0.2325,0.3295
-676,-987,0.434,zzttxkfyng,-0.209
0.4445,cat,-712,dog,807
-0.022,ndrvcwstfy,cAt,cat,dOg
240,sjgammyggp,0.198,CAT,162
502,kwfjriwgzk,gfthnflxji,DoG,600
ucrksxrjyl,jeuqlpghqy,rwntcwshyk,0.1885,0.0185
Dog,-946,sdsqjweqye,0.0095,-739
DoG,cat,cAt,-270,DOg
-742,fegeoehzru,kuxbnntbon,447,0.4895
dOg,902,-281,CaT,cAT
hnrfwytdnm,105,-0.366,dOg,-526
65,-0.2115,871,Cat,326
dOG,dOG,CAt,-0.027,peezlszkar
zwhxqwlyrl,0.111,esuoyviaoj,-745,944
DoG,-414,cAt,soqqyifzth,-0.409
CAt,DoG,563,ocqdseruxr,rlrnjvoixg
Dog,jxpkhmoron,ximyievqrx,Cat,-0.0615
ulhhhrfgww,wmhsgsqdgx,CAt,73,oqlrmdwgsa
-161,0.4785,fgsmkpivsp,820,-0.209
-0.421,ftykezcvkb,dxawzkleul,axrgrexgqr,0.077
201,kehtaqybnu,cAt,-965,DOG
CAt,-910,94,-303,DOG
hqfegdgwjc,jriavnpthw,ozljflspyu,cat,DOG
caT,CaT,-711,996,ckdhvgficy
