iqjmruvfue,qzdpwiltlx,qfyymmcckl,gbrnsouoqo,xijeugnvjb,zdyizsadyz,lvzbiwzlhg
-160,-0.009,0.493,zhbqfzavod,fmcxtmhmto,156,0.119
cAT,cat,-452,0.233,dog,prbsakqtit,791
cat,cat,621,-0.3985,991,-837,696
caT,634,-112,0.073,0.0595,610,CaT
-236,-910,gzfqkwwfuz,-960,-0.3125,CaT,43
-0.377,-554,558,126,xkwfujhckj,183,udlvjnvnpb
dlvnftpchq,0.374,yermqngxri,ioyzzanpig,-375,aszsnxueag,osogqhkycv
jxevybtzqg,ytlsgygsob,909,-676,hfxgnlmzia,-374,qqtsjgcrqh
mhmzivggdp,Cat,lljkagnivw,cAT,117,ejisdjsdbl,Dog
-503,0.1085,927,0.4435,CAt,Dog,ckmtpcdjai
0.2685,-81,qolnxvdmvr,0.3205,0.173,529,ztukuxruin
ifjxccncgh,0.346,huecglwdau,doG,bsdonawazv,mdjjhmfdut,749
cAt,172,-0.353,0.0915,doG,biduqneoba,Dog
qvzxnjzcnj,-348,1,DOg,-552,-0.2315,mwqnbbphof
CAT,cat,932,0.338,CAt,tckgqcdcxk,mdlwkcwfyt
-757,dtyyrnvmxo,-0.0455,-0.323,594,hklfipcsol,gsnnqukgcf
0.3235,-0.41,667,kpdatrmwam,cgidhcnrln,cAt,-0.2445
lrwumvqrar,-167,-947,CaT,-598,-0.4195,0.144
0.424,rlseuxkvms,dOg,wbxmjvbpbr,cdeckslnbp,hbdncwedkf,cAt
0.209,-678,CaT,onrvrvsowt,cAt,-0.438,CAt
caT,DOg,DoG,yzgpakxpry,cerpqgoxim,ypunerucas,dpaiijpuid
-155,291,-0.0135,0.1545,CAt,fygrvqsjab,doG
-781,-0.159,403,mnupqubcvg,cAt,0.235,sjmadjzynr
mbhufjtjnu,jhhjxbjuav,0.4725,vnyojtzbnw,qwmvwyqrgi,dOG,zzoyyfhamf
0.1325,0.366,559,-618,DOg,xllubsceec,dOg
-309,-217,-541,-178,-0.113,sdeihvlsch,-226
baaovsnmxp,363,775,wzoycrbowy,bgwlkaxkyl,-796,-924
0.261,rhnrvjwzxc,-0.0125,jkvsgsnede,112,402,Dog
907,-0.1885,sqpzecyvoc,doG,11,0.396,137
abndgugdtf,-0.379,0.477,cAt,-488,719,-0.058
898,767,275,62,-0.3,417,dnynrrqwmo
naqltoebxo,DOg,cAt,0.2285,-0.3025,dilgmadwse,0.4185
caT,-133,-0.265,CAt,-327,caT,-276
-0.042,-979,-840,0.4095,-0.244,374,587
-0.165,lsfqejwnee,-0.0975,409,sgxzykjiew,-251,CAT
-691,tpvgbzngcx,wctpxgodjs,rbtfrxqyqt,498,yxzbdrzxls,doG
DOg,0.0175,xnyhhhhivy,-53,-0.076,-0.4575,cjtypocquz
hhrnmjrfis,0.2935,caT,dOG,0.1295,-857,caT
0.2445,-342,218,-23,Cat,0.021,xlakjisuuf
-0.3615,gdnckuzibu,itygiejuzf,0.0795,0.13,-554,980
-0.003,nqcqboaqmg,0.013,fnufdaszqz,rlcjrgffei,-0.1105,538
-596,CAT,doG,aotsgsyywn,fbcltwswxe,0.3035,-215
252,-850,-518,xnfphlnnui,kwsadthdvn,185,-0.1955
DoG,0.035,CaT,xrhobgaugj,usmgaoxhnr,kxddbbsuba,-0.303
522,-0.4835,dbdmfplmeo,DOG,-698,0.411,ytxmdhwhzb
iitgeihufi,0.0515,twnlsnhmjx,38,odwrceippk,0.3745,108
909,-0.18,bzwdipuqsm,0.1335,cat,DoG,Dog
-0.439,-928,150,863,doG,-544,rpgcyrxufz
-0.4965,899,0.108,0.256,-0.348,-0.351,-146
260,zrlakpmidc,554,-0.107,aeidjesvlp,cAt,-204
-0.2405,0.147,brdapepqri,ilckxpipwk,0.3065,-0.265,289
-674,927,-403,-0.359,-0.0035,0.4905,-0.1645
-0.077,CAt,195,-733,bmulhhirbo,pszzfgvxnb,-809
dOg,0.377,0.325,zzlvwxphfb,-851,0.398,Dog
wgyxldmwqh,-208,kfsjrpvbkj,-751,0.1575,-590,luogbegtit
hxhcqivmkg,-0.208,0.2195,lfiwkzhgdt,-945,ivnocfxzqt,-742
0.18,-0.488,jbxfjzzpix,-0.1305,-762,-239,854
638,doG,ovhnbufzpv,115,wrkpyystlx,-468,0.4455
32,bruvljztzk,tzbddcxfsc,613,dmyvfhvxew,DoG,mwcdxrgjrk
973,kaopytnmck,-0.091,513,vhsusxnvmi,CAt,489
-0.2995,748,kohgywbbfi,vyjuljqgyg,934,DOg,qptggagyif
bucwaxlghc,-0.367,0.2675,-0.4585,0.124,0.216,xkfdnesxlk
647,CAT,ubszjgipsh,768,pmmiclnbxs,chcmkpjqqi,0.1375
462,-0.346,ysjiqmsitx,-0.2755,998,enmqvaakrl,Cat
wabvfzsqqf,-303,-0.4485,-0.2385,-707,-496,doG
0.2185,Cat,0.336,zzcequdpro,775,cat,toqrtcoona
orgguzwjni,zijzcbeatk,kgrxaysnzl,0.1625,0.1965,340,691
