xvuqauwnsx,zdgdijwcvg,wethfcswsp,voiakxzhvf,PEt
253,fpogephell,krxayehrls,-292,DoG
mmsxxdycib,doG,rxznvuuftx,hbutehzijy,Cat
0.2645,-138,0.2375,Dog,Dog
-363,DOG,-349,-749,CAt
CAT,dzcburjqog,-0.2915,dOg,CaT
CAt,-0.412,0.3965,doG,CaT
307,-269,0.0675,CAT,DOG
vobpmkjfcv,lczmrxdxyc,bwdjvsoumz,867,-678
-0.356,950,507,CAt,caT
frdzndgjwr,Dog,0.2225,-0.0105,DOG
yxfaapvhik,cAt,cAt,dOg,Dog
DoG,tuzslpmhfg,dOG,68,Cat
gesujnices,-0.2045,-303,633,dog
-0.444,93,-820,oztxtxmvez,zzeqrnyzfz
Dog,-0.2925,0.204,0.026,-0.2205
-0.3295,dOg,hwlsbftboe,-75,DOg
-606,-459,-660,xdcoubaftl,cAt
wcqxmdwsrz,rzeonwvwqz,cat,-359,61
-0.1145,-407,925,-0.0965,DoG
caT,-0.173,-952,-0.003,ubdrsmvgot
cat,597,dOg,-0.0915,CaT
-0.2995,0.2375,negsslnjvz,hysouhbted,Dog
926,dog,-404,992,CaT
-641,hcqprxobrn,-199,-0.304,caT
556,vknzyyupxm,CaT,sfgrxekswi,cAt
0.017,0.4325,0.266,doG,CAt
hnazpmvouc,gsgubesxhd,ytkilmpbyl,-844,CAt
0.1605,xgpxpdewwv,ksaemlfcrr,268,Dog
683,-0.1585,gfnqxkvgdy,DOG,-0.042
zmckawsgwp,401,dOG,135,-0.045
-0.1485,-0.454,-0.4185,170,cAT
-0.209,513,-844,kziogotulv,349
jdvuxotiny,hqfplzwcmp,-822,doG,-83
-610,kuzlvezpkt,qrgxgwjcqk,211,dog
