wtwdnixkjl,fkaqpglcnh,coddqkwniq,vshmehwsbl,PEt
thuoqzidij,zljtawhvyt,0.0155,554,doG
caT,-0.2555,vqtgvqawaw,pokxjjurlb,cat
0.135,0.389,cgyuljbyyk,-990,DOg
-0.31,-0.2525,-0.304,800,doG
angkiqxbim,34,-292,ufdhvjlfvu,DoG
Dog,wwqjddpugd,CAT,0.0085,DOg
caT,-33,wzjckymlip,-833,cat
fjnczsqctz,hwfawjilhu,-739,0.092,caT
ynqcbxkuhk,-332,0.454,xmucldjmxu,Dog
-197,-230,jepeqlgwhz,-208,dog
ydjmbcnfrm,svzxilegzz,doG,0.1185,899
-154,caT,522,lgxmjnvnpy,CaT
bnobupsfdb,-0.177,510,0.0995,CAt
0.008,inpgmglfgi,-29,rburasaunu,dog
0.454,rmlrmgnxrc,-0.056,-584,Cat
gjfmpvtbbg,149,uovxejnjuc,-463,Cat
zstkbyokwv,-5,-0.063,DOG,-971
0.304,qrrkddagua,dhsyglcujr,509,CAT
-0.3215,eqlhofzqhy,oeasyoibur,0.353,gbbnrahtxb
CAT,-622,-0.073,366,caT
0.401,buyiawjbyy,-302,-0.3205,CAT
-0.3965,CaT,-0.233,CAt,byurtsfcrq
-538,0.1245,DOG,-713,doG
rbavocwefn,cAt,caT,-40,-0.253
ygrixeqvpy,xbysslkjzp,hitdhgkbeg,0.3685,CAT
dOG,69,viqvhvydwd,brwkggjjwx,dOG
156,-0.01,0.2635,-335,xvpeqtvzqf
0.2455,-0.3755,xnlxyalmkp,fyaannpklv,Dog
etgkqekgeg,-0.3405,0.027,hoitsfonto,dog
ryzhvulbif,niaipdbtgi,dcqakpgwis,rtdrvgwsft,caT
-268,-198,ulbdzymlaf,cat,DOg
inoumpqnth,0.073,0.3165,rcecjoylfj,rtfngqrdte
-757,565,lvjzmfknto,977,Dog
-0.0025,0.2535,cat,CAt,doG
-919,uyushwmgtm,915,ilohdyjqgy,doG
-0.1465,-0.472,-0.091,0.2375,ejnenfxzss
ummslmopit,pdzvqyhjex,CaT,CAt,DoG
-888,0.1755,wzusdsfmse,zztzxdppmi,CaT
0.0265,-0.251,nsvghppllq,Cat,DoG
0.4565,37,tidlrwcllg,-0.453,0.222
-0.0595,-141,789,721,Cat
0.3355,eflkpnyvtv,0.415,hmrytlusbb,CAT
0.1115,fhmaeiaaxe,isteltpbho,ndtxqacroc,xjqqvxlgyo
0.1805,0.2295,370,-0.362,rfnsppezwp
zfothhqvtq,-515,-304,0.182,Dog
doG,-326,0.0015,lrrguekglx,-106
fgofitrzzx,711,-627,xbzneejlls,143
0.338,-354,ezjmxkbsjj,0.256,DoG
CaT,-890,fmsakfezcg,0.1065,dOg
kxjjvajhry,iiqwcwpktg,-0.0355,0.392,cAt
-346,affizigakd,-559,-0.1305,CAt
Dog,-244,caT,-753,845
igfylrhdac,tqtlubneba,-247,0.03,doG
ylwuobqzca,0.462,dog,dmjkflucnl,0.003
-706,188,lirruzdqtc,Dog,soiiekpony
0.28,0.2415,lvntdbqmsu,DOg,22
DoG,-128,223,304,DOG
-680,xngofhrqrt,0.172,doG,0.19
qsmucnnbev,0.198,0.045,-32,dOG
-0.372,ajcehahnpn,CaT,rsortwyfze,0.399
14,pcozlaohay,cAt,935,-158
0.396,ycfugwybsh,-315,573,DOg
-361,0.497,0.4835,-389,DOg
doG,xvliqwmmuv,0.0355,807,DOG
Cat,myrdtevqdf,-0.3905,Cat,doG
-0.4885,sfnwzfrrzn,-897,apbpweaplh,DOg
-35,-0.3065,mdysbxxnef,-0.44,dOg
pkkwikcrow,0.4595,esziyjjzkm,0.224,600
bfssdktijp,oeoebympyq,0.0625,0.439,dOg
yatfzstuin,184,-484,692,doG
cat,oaxthhpizj,648,asknrcwoaz,DoG
-0.4265,-232,kbbmcodtrr,807,CAt
pxdpaitlza,191,DoG,-0.0305,DOG
375,-679,629,637,cat
-839,qygbpwkfpg,903,-0.482,cat
cAT,gqlcxzxfhm,0.4575,-649,CAt
-0.054,DoG,ppyvwmnjtg,0.284,656
374,mhupekzbkf,0.498,0.481,hfxnmynbxv
