xqikgmxcju,bhlenrrstj,Pet,citthzxhjt
-662,246,249,DOg
ihgxbgwbrw,uhssbgjban,CaT,xldphofnum
-20,0.2325,doG,Cat
800,384,caT,0.007
-108,caT,CAt,-0.477
0.2625,787,cAt,0.0925
nhtnzlngze,gfcgponxek,321,-0.381
DOG,430,zjviwegrgm,-135
-841,0.162,CaT,ridgolsnmr
dyrhngromy,-612,DoG,ntfecoosfy
-0.016,dOg,DoG,0.2815
-0.2725,ebrnljmexx,0.084,-471
dgpxlgofhq,95,doG,-0.3395
-0.483,0.463,CAT,0.379
cvhjfzdldq,emaillzayc,-0.183,946
-181,DOG,ldsgescukg,683
fzozhuvgsm,0.415,0.034,Cat
mvuzvalfoi,-0.289,abukeqihgw,-416
buvspoxefr,0.133,dog,408
iliutzbgdx,wsmimynmpz,ukkomtyijl,-691
0.051,rmxdymybbi,CAT,0.3035
-0.007,0.4625,cat,pzvadurmjv
767,-125,DOG,Cat
tbrxeqcmfj,-0.267,bxpxsxiyqv,-0.123
cat,-745,CAt,0.2155
0.008,-668,caT,-0.4395
421,0.0235,981,vwkrgliziu
dOG,-0.4885,DoG,ecjwtfldqf
qvdsupdvqo,thgnpywzhs,doG,-0.3425
695,DOG,-210,DOg
doG,-0.201,-0.284,DOG
-0.108,CAt,cAT,-0.143
DOg,-713,CaT,rdfmjbbsvj
134,mbbyblgqci,-0.052,0.304
nqpyphjswz,DOg,dOG,0.034
-223,yedofiwqep,xdwgslmcfl,dog
DoG,0.347,dOG,0.1305
jifpnlohnd,-0.024,Cat,342
-242,544,-0.15,-0.39
-0.2705,DoG,caT,axgwfgpotq
-775,0.0895,-0.499,0.109
cat,gvbjgvlxlw,bmnqzggyti,0.317
-0.3325,-68,dOg,-0.2375
-255,0.376,cat,382
0.468,CAT,DOG,DoG
0.4555,-768,-894,-0.0645
-0.4645,frjkxobvlf,CAt,-0.092
oxvdfqylwh,yrahzqntma,Cat,weouphmcrf
molkzxszxn,0.4295,DOg,prihehidlk
arncqeeraa,-0.1915,ksbihjtbdc,wkadsfoyvn
-858,DOg,Dog,mthimexgkz
-546,825,CaT,dOg
