zwcbhvknqw,jkqrfvvlsz,uvtpbtxqoc,wieypvbhny,pjmofhafnu,fgzwshdnvt
692,140,rwwbqmzumr,0.311,DOG,yuvcutmomh
qihllbzxex,-446,909,247,-0.4955,cAt
918,aivimkviox,DoG,cdekjcilnq,cat,CaT
0.283,CAT,hiykezxnje,bjhvlijhck,wjsysexacs,CAt
-0.1985,DOg,163,0.3725,cAt,vptorhkwws
dapvpxuvpa,uwrktrdlly,-257,-718,gtumyghcwu,0.4615
jscawcoaep,-0.4525,-1,0.1025,xnieayohmy,svcjrzujqj
-291,xvsrnvgqcz,pbyqfmoptf,-231,-216,633
-0.216,765,-322,-446,-614,612
cat,siorqsnhbl,464,-0.172,-0.326,uxzjuegkcu
yotacciblz,956,-0.1625,0.0645,doG,346
-0.095,mqhjqvekjn,DOG,CAT,-0.4475,328
cljiknyyob,-0.0285,-0.0655,vayksrvxsy,894,0.173
mfnlbfbrnd,0.4,410,0.2205,knvqaluvxd,-0.118
rtgksmmlid,Cat,-468,-0.431,-0.3865,DOG
dukdzqjwpn,tzrrvgrgwx,668,0.37,-0.2935,-586
phtpcofmgx,0.4675,wmqeyafgex,DOg,CAT,0.06
-961,-193,kyndempnys,-854,-710,512
ggtfpbvgew,-543,jwkmhanwya,-0.101,665,-0.11
764,-27,sdfnlganje,230,55,123
-705,0.037,923,-0.412,njpmdxwycy,qrecrqvwnd
-486,0.3595,Dog,0.439,736,Dog
cat,-17,0.054,tpdxldunwy,0.0125,wicgayoutf
-276,wpwaebwfea,-374,cat,rqfdbfqxth,imtmgtkngi
CaT,0.103,-0.2245,0.469,-764,dlkkzbdwvg
-543,730,offyypbkxy,162,dog,-216
dog,dog,-417,Dog,-0.079,42
uebkwfuwsm,-0.0665,gummmuqjvy,cAt,-0.453,dog
ntcvbexodu,0.2615,0.4205,-0.0265,0.309,cAT
427,DOG,yzdauyradq,CAT,ibulmhvhtj,clrdvgkyyw
250,doG,DoG,825,-771,cfjrewatno
wrdvbjqtre,CAt,-0.2765,0.037,dOg,dOg
0.3115,576,0.23,ficojahbmh,atbvuxkkci,-0.1165
gaxlcditft,DOg,wffbfphzsk,sgjffrxvci,twaxposszd,-0.335
ybverlnbfs,bsxwmpllkl,-0.187,Dog,-475,-571
-729,-0.1355,wddrohzrph,DOg,Dog,czaxyremof
695,0.3285,0.2935,-195,zapszkmhhm,-140
btilcjabbx,0.275,akyirtqxsq,804,dog,0.3255
oeovevquzt,cAt,0.214,CAT,CAt,nktetcbnjg
-0.403,emcmmhxnva,knruabunyz,-0.2055,0.3695,893
825,-0.378,jalwkqzrln,-544,-50,-364
-737,clloovvkec,elwozuzssw,-425,cAt,-166
cAT,-735,0.166,0.3645,0.2675,614
