bokrgyumfp,powzwenbpa,txahiighnj,kibsuvwhkl,yutzybyliy,yashrikbgh,ryxvayapga
tvdeuatdiw,zmcfalwccf,-480,917,-0.099,0.1525,-0.4255
pmgzaaecnm,-0.111,-0.3975,252,cddsnvflvh,-0.0635,244
439,btxnxcmgpf,-11,-0.265,nsqhxkwnkl,0.2875,cofllnbmmr
ejakrbtnpq,0.4705,cscvccuufb,-868,507,ncpknmvbgh,iqaoedzsve
-77,fjafrrslly,0.3255,0.1755,-0.3415,0.0155,-304
caT,305,-403,397,-0.1675,dOG,jinumxwqdz
liybabruvm,CaT,0.383,CAT,0.0555,cAT,tosawrleot
DOG,-434,-707,cAt,isppgzbzxk,bnaojucgdv,0.175
0.4425,343,Dog,0.477,-748,-0.2505,CAT
gaysdbisfc,630,286,348,0.3995,ufzvltrztx,cAT
bsitucrvel,0.346,-336,dfkhnoisyx,0.1335,Dog,-0.188
317,-0.2735,340,cAt,-0.4065,442,DOg
-0.2405,-397,ipsmnngziy,DoG,154,CAt,ibxxdzmtuw
DOG,-952,vqqsghvhxy,cpccuxxfah,oasfqhquwr,fwvglmmjsk,ekzoajrgvg
-482,Dog,-0.3045,fordebypuo,-285,-0.283,CaT
DOG,cqwnhrqytb,xeknfxhjqm,610,-906,-0.153,ypfbyllsya
0.3695,-332,728,0.1855,-704,-231,movakilvpw
umzekxjktl,hdnzneckoh,959,-0.1175,0.3245,mlkcposqhl,-0.1935
mlkvoyzwtl,-856,xpnisgawdf,uboyjzxqgf,-959,-641,ebkogbgaco
-988,jmuvzqpwfw,-0.1295,caT,vlkjbvyrdl,-0.112,617
-349,349,-0.081,gcgfqxgmwj,-579,0.358,499
22,0.482,qeblweanbn,eyeeiapevd,tryfcdcrmu,0.304,eniavxdeol
Cat,qkmwlwbtga,CAt,-0.2265,-122,cisnimcfhp,0.459
ozsmzlxdac,-675,-820,959,quznkdkath,amtoryqxok,jquiubygub
-196,0.373,oubodxcycd,CAt,Cat,737,-995
dOg,havoedmwlh,-0.113,cat,doG,CAT,190
0.395,-0.4615,337,wflfgsnqwt,-0.3555,dlknqskqml,0.327
bwfnpnjzbu,-55,toqvboxkuh,kdophynava,986,-0.129,-789
jqjdczlqzy,vrpimmeljg,0.419,0.209,DOg,-0.471,twiadqcirl
cAT,-353,caT,aoxueiqpde,DOg,697,0.3615
