keqptfqvse,rgfdnvhtne,dvctocovqf,zochdquayh,vzmdtvjxwi
duwbhhettd,-819,-0.12,tcsgveygji,bkonirogvv
228,661,814,Dog,-0.427
0.063,nohjqdqrmf,463,Cat,417
-698,-0.224,0.1715,474,519
417,-0.351,-0.0555,DoG,-403
iwqecuqrfr,DoG,-48,0.354,dOg
-418,817,-0.228,searyeywta,-0.1395
CaT,fpgmwmjzkr,cat,hxyrzbppoy,75
pflqjeblwc,0.3085,285,0.118,-0.3645
DOg,0.1735,qekcdahmod,0.295,-707
-0.0075,56,ljxsxoiotn,-0.12,0.486
cat,-999,cruqplrhrl,-593,0.142
321,-326,119,xjbqgzcdyu,iqzgnihgbn
-0.289,cAT,caT,0.0115,0.1055
-0.112,461,paaffnedce,-0.316,caT
gyoxbqlfpg,braomxnwxj,CaT,0.1095,571
dxlqulivlx,648,0.0945,biqcebsxbh,cat
Cat,CaT,DoG,DOg,0.1235
-0.445,0.456,cat,216,gmwmqfvwhr
Dog,-0.308,xxbambzcre,rnktdbcgtk,0.065
doG,CAt,-0.0595,zgzqyzzoqp,DOg
0.103,dOg,-0.36,uaiypohbet,mfukambqpu
lmsytxqoxm,853,mzyucguoes,-0.046,lknllvdjmy
0.237,0.268,-1,cdzsbgqtjr,brxdxicndz
900,0.28,0.168,-434,lybgaysfdf
-73,-0.2235,mwlgkucxiz,0.375,DOG
796,-608,711,698,19
-394,-307,-810,CAt,0.1675
odvnyidviq,0.441,-692,bvtrimeonc,DoG
CAT,0.0235,dog,-0.4105,-139
DoG,hignrpqwls,-0.3145,cunzpsbxtz,pivsypfmey
ktitbhqlaz,0.4315,scfcurdppx,ikkvddiruj,-14
cAT,cAt,0.1055,caT,CaT
-841,0.3055,841,ggvcjmcgpn,yqfemokbjo
-209,bfbwwtkggz,0.013,qjrbamxmlc,DoG
-0.2645,-679,zrxobhtfen,-845,bwcwnfthrq
-0.3845,141,0.37,470,-519
