pEt,chusltejuh,gjpenrkzlc
CaT,0.231,-0.141
0.233,-987,767
323,-705,0.0225
DOg,0.1965,799
dog,fxzyjhnzmo,qcgmvangcy
DOG,skmlhlemus,wjqgigbunv
dOG,-0.2785,ianaevrrdh
cAT,960,-417
-428,0.457,ckptlzlxsa
caT,ejjvxbxaoq,dOg
CaT,0.167,662
DOG,0.122,919
cat,auazchyppu,-158
DOg,0.0275,834
CAt,639,xivtyxvujl
0.3225,-0.225,65
-853,caT,-0.152
dog,436,439
dOg,CAT,oukvsvzdkf
DoG,0.114,lqsuxrhxol
dOg,-129,ynpxadkuzu
DOg,0.1765,882
CAT,-0.4135,DOG
doG,64,-661
CaT,lcypevayki,cAT
doG,uvljsuwqrp,-991
Cat,almlexoutj,rkvhypplug
Cat,jyrwrtutfy,0.2435
DoG,whzxmunxfd,0.472
caT,-890,-697
cat,0.272,-745
cAT,-463,0.066
404,Dog,DOg
caT,0.1105,zwqejokjgk
agrmatmnvy,-0.315,beolsrnbyd
CAT,217,rmvlwgidbr
doG,232,872
Cat,764,0.493
CAt,-461,-0.4495
CaT,xmcnlihizx,cyycvmjdhl
-268,ycyfwsrrhx,vkmleoigjd
-0.2435,CAT,-0.1335
-0.332,-106,CAT
ecqgoofdyo,strlqfjpnn,qezjvqtbph
-0.111,adormbyxvk,DOG
dog,brthrcybcc,895
dog,zpukuwbsfh,0.2065
doG,-62,dog
DoG,-0.1055,CaT
cAT,-345,-243
Dog,-971,fhnstammvs
DOg,xuuqaijfrc,-454
-0.2895,eugahkagkb,660
Cat,dxhxoerotz,cymoyfkbqe
DoG,dOG,antkupysrg
cAt,DOG,gfsdvpedmt
0.2505,krlfbhrvdx,30
dOG,0.121,mmbstcnqpa
doG,0.3885,eimswtrbxv
DoG,-0.468,0.32
cAt,dog,0.418
doG,CAt,-0.143
637,0.2335,-0.141
CaT,zkkkyfadqk,-0.176
687,cnfzszuzre,-209
doG,DOg,-0.0915
dOg,khkzyofoed,-0.473
cAt,0.058,-510
CAT,dog,Dog
Cat,dOg,dOG
DOG,0.328,caT
