peT,rdxegxtcse,jwuicmgcyb
CaT,760,266
dog,cat,euwguiegak
-836,943,599
Cat,344,ujpdgeoxfv
pdiimhwlni,-556,pnvhmtarej
DoG,-0.062,-621
cat,crftywcplg,421
CaT,109,jfuixbvqhx
cAt,tucwngmuuh,-364
-997,-543,dog
caT,0.016,418
cAT,CAT,caT
CaT,-962,copwepdznp
dOG,-508,0.4395
bbzmnnngub,mrylzdtacj,-0.414
Dog,-0.3405,-0.113
doG,0.237,-550
cAt,863,bclkrcrjdn
-78,ftjmzqlhwo,mzuorvbhqd
dOG,jhpikmyrmr,-0.0685
CAt,hlkvbojpcj,vopysbciam
doG,cAT,-19
caT,cat,586
vudwuhlowo,-0.2855,aqwpphjngh
CaT,cAt,91
0.02,0.122,caT
caT,-341,-560
0.085,mhlimelrhv,0.315
gdfulpzdzh,wuhqflzznb,Dog
Cat,0.4125,cAt
-0.018,doG,0.143
cAt,-324,685
-758,fagbanqnsp,-0.44
dOG,otohacakoi,-192
dOg,923,416
CaT,-0.2725,0.39
Dog,-559,0.435
caT,-842,0.3365
dog,acchkzonwz,cbpbtkekot
cAT,CaT,ocomojamlc
-680,doG,gbvrwjfzpj
caT,-595,-0.256
0.054,lxpfpyswuq,dog
CaT,Dog,wbcrfgxkde
CaT,zzjzgcvowo,0.485
doG,0.0055,-0.076
Dog,qopuylisxz,-0.372
-0.225,CAt,vavawsxumx
caT,fzfhztgwha,0.129
dOG,cAt,-542
okuwqfdoar,adrpbylziu,0.099
CaT,-0.3405,-440
cAt,-496,tfmjloboem
-196,-0.415,-800
-573,-870,-374
DOg,lipuendjlv,vzypcsiezo
dOg,zgsdksvefg,-0.073
DoG,868,-87
Cat,CAt,-0.0465
deyvmovemb,cat,caT
dOG,-0.3795,dOG
486,llinikdwwp,380
dog,-627,-0.38
CAt,wyvegodfqz,DOg
dOg,Dog,-794
Dog,egysiygjtu,grjaaqpcip
