sqopsszvwg,efoblxzqsw,PET,sippltlnof,deehjoqgql
277,0.4045,dOg,-45,266
rwefubozoq,-644,-0.1745,-0.3115,ppnrdaqmmw
cat,tejwdblsdc,dog,xzrupcqusx,gskazmerbx
0.051,lzwdezszbp,DOG,0.223,-28
0.393,DOg,-0.194,DOg,-747
xsktdkgnnf,xrjeoffaib,-774,193,0.1695
-325,ktygugjapl,DOG,279,-771
513,-530,cAt,0.0635,iztzeshaup
ccgajuwbex,DOG,DOG,366,-0.0605
0.3935,0.3995,-365,-325,dog
884,296,DOG,-0.4785,196
744,0.299,Cat,pzjmwdibkd,cAt
-0.185,-540,uccgighxfl,-0.339,dOg
xttbkunyrr,-0.3075,cat,CAT,-0.2675
-211,0.1955,ujdyjlhmqo,-0.0285,-489
-0.2925,0.003,doG,0.4855,919
gglnbdnviq,ywrrumgphs,CaT,xtvagvktrr,-119
-850,gwbzwkepyn,-182,CAt,ueaeqwevrs
doG,yatomqcctf,0.331,909,ibppgcznjj
jtuxvdzudf,mnyypbzeii,0.0695,0.2615,487
uotkwibmfz,smcwbjmzha,cAT,fhvbqpoamf,yjsxikafst
0.355,DoG,cAt,DOG,962
458,cAt,-0.069,feypkthama,0.316
0.0515,0.4785,cat,-0.08,-0.4895
-841,-0.034,DoG,308,cAT
fxrwjzxuwx,dOG,CAT,dOg,onhnpbojoi
Cat,-769,dog,534,-0.0375
kudjyudhoh,0.4495,hurafieqym,-0.3235,-0.3995
0.0175,0.282,0.104,cat,-348
548,0.4775,CAT,0.259,DOg
CaT,0.322,cAt,-0.083,0.1685
-0.1505,mevnvnbgev,Cat,CAT,668
ugwirowpir,xwbhfijctl,dog,goaksvfvtt,528
kbaojfhffw,0.334,973,-0.005,niglrsvacx
alumvhwwiv,0.0275,caT,0.3705,avsbstuswk
-201,jofnigzxnx,dog,-103,504
-612,174,Dog,-0.459,-73
-0.4035,mrcsrtyqyl,-0.069,-754,vqdylcvhlc
caT,DoG,443,-180,-372
0.295,-486,lyirltlcrw,-613,358
0.1065,0.4035,dOG,etzchzioyc,juutuwmnmc
-0.4475,-329,cat,ydyisgfesj,-911
ewnlycefjy,CAt,DoG,-0.4375,-0.4495
ifhoprwvug,-0.255,963,-0.262,wxmrmnojpg
-0.0295,78,cat,crlhiftlcj,bpcyisnogb
-0.4015,0.455,miizbdkhio,952,ljpbypovpt
-226,-762,CaT,caT,0.3085
caT,-813,DOG,DOg,345
554,tzmyjsjmuo,DOG,gkxxhdkzvq,kpbdeyhdxn
0.05,161,cat,dog,558
-246,-0.3615,fnllknuvcx,-0.3835,-95
bklycxwaub,-142,DOG,vmxciyejcw,dog
-203,mlfatycybr,dog,zyiudmfedr,CAt
cAt,265,cat,0.0985,-492
mbnauevxvv,-0.323,CAT,-66,-84
pcpkcfosee,CAt,Dog,-862,cAt
0.4095,psoenshsay,cAT,-91,932
CAT,wpwlghsnqi,caT,496,rtjzqnenne
-370,-180,cAt,CAT,-0.2415
-0.1345,0.2335,dog,-834,13
909,0.1085,vkduvsuuba,-0.2105,0.416
-0.089,hbfsyrncus,-0.318,0.399,kfoadufzpk
-74,uhsadbktjj,CAT,0.1415,cat
yfrvtqbnsv,dOG,-0.438,-725,373
cat,-378,doG,-0.0805,0.2515
dttstmsapi,0.4545,DOg,dOg,pumkwkdocc
yfzydpiblh,DoG,dOG,-0.012,iwnwqiqaij
ktibclvzru,jfpqwifzwq,CAt,-39,-296
DoG,-0.171,caT,-681,dog
yndanazecz,0.494,-514,-946,-0.3645
-0.4675,blehwbnapa,Cat,mcedkkwtul,-0.453
ebiuicjqvh,innheshoas,Dog,-197,0.258
aflmingdmj,-393,dog,Cat,0.236
CAT,dOg,-563,bmqmombfaz,0.3065
-0.0005,0.259,CAT,0.194,dOG
kjkydejlpr,qgvenvthbt,zgjroiespx,cblmaxdvdu,0.104
doG,wckoleesdd,caT,kuhisooneg,DoG
480,-0.4035,cAt,0.281,-854
dxhmkkrpoo,nktjcwhywr,-0.0915,-940,694
323,dwxppivaog,cAt,554,vsowipqhkx
vwbxbhciax,jyzlblboht,CAt,771,CAt
lbzuuwlytg,121,cat,urkwolnzcr,doG
-0.466,412,cat,DoG,0.0455
0.2745,-0.1045,DOg,-26,gofbrxtlgb
vsbcizllqx,891,0.206,-667,-812
hdxwussoqy,19,-0.3465,gdwqxoybno,vylmowygcp
-0.3715,0.008,DOG,-252,Cat
wmmktjgegg,138,dog,454,-0.008
doG,hieflrxfdt,DOG,-884,CAT
-51,zujfqtsjlo,CAt,0.025,442
-0.2765,dkybeypqii,dog,doG,0.1875
313,bccpqjyqgl,-795,vnmdxtmrrl,ljuoaleoby
0.45,DoG,Dog,lvgknjghsn,420
ymhrmdfnxa,Cat,-0.168,cat,eeqqbxvdyw
rxjfyzncwd,-515,sszkplrufi,-129,-0.34
plkebzuhrj,Dog,dOg,531,0.4665
-87,qsyyzrdtmy,dOG,382,0.4005
uxhxzxzbwk,-8,209,imflsudccm,0.414
