ntsaodatww,kugqiadydl,khxvrtddkr,pknxjjecjb,pEt,qkcnxsdltp
-0.286,-226,160,-511,DoG,-0.11
116,-589,qtezdzscfg,ohyunerwdp,dog,-744
dog,157,Cat,-0.476,DOG,oqpnmfkexp
0.0625,rcnymtuffy,-103,-0.139,Cat,-622
0.476,-0.2205,cat,cat,cAT,-678
wlhpmemwyv,-890,zbgobpenci,0.347,lxjxwytvmg,-154
qexytsiamu,0.3565,iwohnbqpew,-0.3115,dog,DOG
0.1285,0.2995,-0.4865,-0.055,caT,435
iiznhmrjng,975,130,ssutvgkrji,Dog,0.0185
-0.0545,-309,glueqowweb,0.2595,dOg,-735
-981,-0.4855,0.214,fjcwnqfnbz,DOg,-0.3415
cat,cedzlmelxp,670,-0.2095,Dog,uoqtubvhpu
0.4765,-90,-329,130,dOg,-20
-0.1885,905,0.097,-0.4195,CAt,klaxbwyciy
wfwyhrrstn,ftrnyctfqk,-832,-636,-0.31,wnbczgfhao
241,0.301,0.4585,dOG,cAt,CAt
-0.336,256,nlrzuxnqff,czhbudxpdc,dOG,iqbbhmrgry
0.085,-574,lbexlvqmbh,CAt,DoG,0.4155
-0.36,0.0875,ghtiqyaszq,akjbgahdci,467,206
58,kzpxzchfjp,doG,0.044,cAT,-0.138
-0.4275,enacnxjffo,-311,dOg,CaT,CAt
qfhgiqbfnd,168,555,189,cAT,-0.292
441,roerdveutj,0.4635,-0.247,CAT,dog
-957,-336,-0.123,0.22,doG,-301
zsrkjrzmhu,doG,aretaytrpi,-128,CAT,-0.2405
283,-601,deygjavmov,-0.3495,CAT,0.042
473,535,pwgebyhljb,tvydimrzfq,dOg,-0.237
-848,0.4825,0.4935,0.293,caT,Cat
-0.0625,0.0245,0.166,-193,Dog,vnmqvchyzj
0.4245,0.1635,CAT,dOG,0.2025,kjtylsoiyu
CAt,CAT,0.0565,mxihnqjgpe,CAT,-821
prutgmxxwy,cat,665,-528,exezgbfxae,ubpryebktb
-0.383,-0.1335,0.1005,jfzkkcsycv,CaT,0.1175
dOG,110,-0.326,0.415,CAT,cAT
dOG,-936,0.1665,cAt,DOG,dOg
CAt,-349,gdgmvpvcis,CaT,Cat,0.0685
