ckbujyponu,lrrnxdmybw,eeqlowigja,pet
CAT,6,-137,920
ktfmzfywex,-482,674,rywyuaoucw
-698,-218,-0.285,rxnccrmlzh
cAt,zaefofegeh,947,0.1525
-0.3275,-218,-256,DoG
0.112,-0.3325,-193,DoG
ootlrbfefl,0.089,335,cAt
807,-170,-0.279,cat
0.436,272,0.429,dOG
-0.138,vmqlqugqbp,0.067,0.335
-870,DoG,-0.265,caT
298,CAt,0.035,dOg
Dog,jwqeyecqic,965,dogfqhgsph
DOG,-0.033,-0.3615,Dog
bsahlzzsar,158,66,cat
-0.051,iidymburlg,-494,-0.334
tdalpdvtmm,-860,-964,rtapdwhqji
-0.301,cat,-772,caT
tcppsjbbbs,dOG,0.394,uoysjhhifm
0.221,-495,yeutljlogc,DOg
-0.275,0.3685,dOg,0.143
rrpzobzsnn,-0.047,pexyreqijq,dOG
-579,0.0595,-0.297,cAT
eluigkjwgm,-0.272,-0.056,-0.288
955,-608,-0.216,DOg
DOG,sdifnzgpmg,CAt,DoG
998,-324,sdanxffcsr,cAt
-931,casingldyl,flpfglgbsm,dOg
iszwyzkktb,ojkrrmddxt,-0.4485,caT
zgilxuggld,0.2465,fxoovwpcsy,CAt
-384,dvwswgpjpa,ckxgbghpjc,-220
0.059,0.217,-0.395,cAt
0.0205,0.479,588,CAt
CAT,odqkvuhavf,rocgnfpnnr,kdujmiavwf
771,139,oiasvjiira,doG
-0.2315,-0.0235,CAt,dOg
xrqzojfoui,-0.3105,dOg,CAT
