tisypqqhda,ammteveyqi,crgdzhanon,pET
-121,userkaozxb,DOg,cat
CAt,gjtdjeqdzu,DOG,cat
685,0.2135,irhqhyodyh,CaT
-962,-0.0615,tjlwxohuzc,dog
-0.2835,tgxyqfvtif,cAT,-0.175
978,161,15,oltjxlflhk
773,wrlnvafbpf,-0.18,doG
asixdvtjmh,-0.1345,-675,-0.241
DoG,-0.4505,inehjkaufq,cAt
226,-746,Cat,mgwcwkpuqf
0.314,cAT,587,caT
caT,-297,lbbdbbabbb,Dog
ozklwmvqyg,trgyckzmga,cAt,cAT
230,0.263,0.297,dog
0.106,myjaluxviy,neqdfaxhto,jncrubhwne
0.192,exuajhzgsg,bqebsjzgtt,ntjlfjbwku
DoG,-0.446,Dog,-531
ekdnjaphax,dOg,cszxcvrlif,caT
aersonvtpa,-0.2395,-0.258,dOg
DOg,-0.417,519,-0.265
Cat,0.162,DOg,DoG
rqprfupryi,-95,DOG,doG
-261,dhuaigrmjg,-0.29,cat
-190,519,kcasxyorut,DoG
-864,sifrmlyvge,pmnfbyoytv,xrhegfvhaz
-0.1795,cAt,cat,dog
vcwrwjgpdj,0.0,cat,dOG
-0.39,906,651,ytrjkzyveu
-689,-0.3935,srzldzjqxf,0.1725
-555,0.1765,-0.4935,DoG
zqtvmcqsah,-53,293,dog
816,seogdgdrfl,-246,cAT
rgyxfqalkq,cAt,mtgmqfyyqb,0.427
412,doG,cpuuyfpjsp,cAt
Dog,nxlayzpakg,328,CAt
cat,-0.0185,kuzgjlnicb,caT
vbrcatxpaw,-133,eqzzckydoe,cAT
0.2915,ebirjgjjak,Dog,dOg
njnxjoqxvg,22,prwcmcyhhv,CaT
ydoqdvtked,-0.336,-0.1765,dog
464,DOG,bthieomxix,dOg
-469,-832,837,DOg
onbafceibe,979,ujdvckxbpq,CAT
zzmurigdqo,cAt,nyiowhbexe,Cat
976,-953,-164,870
xgoguyonah,-0.3905,0.1315,dog
DOG,0.194,uwssbehwxo,CAT
0.322,dOg,kzeqzksmym,caT
0.0225,-0.428,aghgodfzcd,bxyjbcwsfq
twfbtibnxl,-0.2915,0.065,DoG
guhujcfalg,Dog,316,DOg
223,poplbmxdou,kxdhdtrimv,0.4825
DoG,jibrhwpage,titvghaybo,caT
svhqavzhxg,-140,fkvyreqodh,cAt
-0.1825,944,-0.132,CAt
pqtxpcqepw,caT,999,dOg
244,fmzqsgzukd,vztkavdhon,396
-13,uwqdnhfcif,437,CaT
caT,0.1925,Cat,dog
725,0.133,mhpchqxwhk,0.294
-726,doG,-939,upnfcititf
dog,0.393,-726,dOg
mhelqmjxom,0.157,-642,DOg
0.343,0.117,-942,dOG
-554,imykxjpwto,-0.2015,cAT
DoG,CaT,685,CAT
cryjifxylk,kdilljjogn,-0.4705,caT
CAt,0.2265,dnhihkfqpq,DOG
DoG,-618,xptkdqluom,-387
caT,tkafaommmd,-0.2395,doG
0.3,-137,-0.0405,dOG
-0.293,-11,tdaihpvouh,doG
-0.4615,cAT,potbqkwxdj,doG
Cat,mljrzsfwpq,dog,dOg
825,-662,-0.0875,caT
yadvzjxfoe,-880,0.243,653
kutvbgsyig,repdzrbryn,-0.256,CAt
831,0.3625,dOg,dog
blyvnoueei,-0.4305,607,-780
184,0.3395,823,-0.32
-389,-0.102,0.052,DoG
-380,zjbwpkiuse,-0.222,DOg
cAt,174,DOG,243
