saeesuktmr,dgxstsnsef,ufbxejztfb,ublwutzfvf,mjlhzleajm
0.0565,Dog,746,wcsgctaecg,CaT
-783,CAt,gasafyjatq,iowtlmtxrw,-939
-907,twuljxssfz,-0.4325,-266,-0.4445
pwvqzkqxlr,dhncxacirj,kvcpqqzorx,576,-966
CAT,-483,827,DOg,0.4365
-903,-80,-0.4285,-0.275,dtgoxkrgoy
121,DOG,-0.2135,Cat,0.0055
cdihvbjszp,988,ybfzqqcegq,-549,-321
-235,uhhozwrguh,-0.3125,-0.4195,0.347
jrgspgftwr,cAt,thfjklfjud,dOg,cgvulyzvwa
-0.1335,dOg,wkwherkmlh,codazrsjir,0.207
-0.1885,760,319,cAt,-417
-0.094,zqtyaojttm,-897,qmhhyaovhr,DOg
0.006,epklbttiwm,-0.147,cAt,CAt
hwjpmikvyy,-0.253,0.1585,DOG,869
-0.4335,-0.0615,0.1605,-566,rmqeynuaqy
-0.34,hfbepxzufi,uyipeahtwj,cat,0.287
nvlsoecbkm,bqvfakpydg,-333,dxhtyzipow,138
32,hjgjtyiuya,0.078,0.178,bxkkshpoxr
ntsplirwqy,Cat,-195,-822,-0.339
qykrkqgvkz,641,601,180,reofirpnlm
DOG,-944,danxqnqyvc,304,-158
-0.394,Dog,-0.496,0.07,dog
0.1665,-75,-185,sjntsvxdvi,lzclsbmvsz
mnzwaiqylu,898,nkvwlazgae,0.439,abfxcyxcae
cat,qkxltchyvd,-782,0.015,0.416
-341,-0.4235,iqbtaqgntj,680,0.3485
wcpzlzligd,jvfaulqfzi,wfklwrgcjh,0.499,0.3305
uqfvaznmkm,530,-944,-0.0145,-0.2255
-0.3295,-745,-0.174,-0.178,721
21,0.417,cAt,gvaimdbpnu,260
0.3905,cat,hkkyksjbsg,srlftjdgwc,snadstwahk
-0.46,caT,cat,0.22,CaT
-250,cAt,346,xlymuaklpw,-727
cat,-0.222,eybqigbqnv,-141,diowagxpof
-0.204,0.0755,474,0.2825,-0.296
cAT,xqruvpvfyc,rtpifddbdz,18,-0.2825
-182,-579,ulxyyvjnof,stdeffgzoe,-122
-880,xznafvphtj,DOG,jdxfknzgdi,Cat
909,DoG,0.388,gpjqnryncp,1
-0.2615,-890,pesbbpzown,-0.3605,DOg
-0.0455,301,-0.3605,-967,cAT
yxmnkracuf,DOg,0.3485,khntrpsyza,ylintbkbmc
-930,543,cyrbnwxugl,CAt,clfeybxauh
0.423,DOg,-400,CAt,DoG
65,cxsknvbbti,DOG,pawuixeuzy,-0.3975
564,-0.092,dcpooxxsbs,Cat,khgzlovdpy
DOG,0.3595,qwswjvexyo,-0.1135,-0.137
cat,0.4435,cat,iyndphsipb,abbsergfpp
