PET,cdcwbblebi,owqywwcohw,nmnhuvvcbc,zpoquqdyxg,lwtxupvszm,kzoizwhzyv
DOG,0.17,461,-741,-952,-0.1665,-723
DOg,rlxyoqzsxu,azsieopwbp,-0.116,92,rmshqxzxal,-470
-701,544,-379,oxxyrletvh,ykvqkqubhl,rfuhshcgqg,-0.008
DoG,cxscmbmlis,-379,cvgicbnrfp,cAT,-0.3995,nbynpmhfmo
Cat,dOg,hanjvvlzgy,doG,525,603,104
-110,DOg,799,Cat,cAt,pbszxpmwqn,Dog
DoG,qtlpxrettx,ocsnbgeqkv,0.4245,788,0.0025,0.009
dog,-289,0.2515,-303,aniicrdlyq,tbudtirzzh,-330
cAt,CAT,cAT,-756,dOG,-0.2545,tcqjkpjyzv
0.201,jxavfwkwbo,400,DOG,gosxcpqwhb,-0.0965,-0.004
CAT,380,-0.1865,fzkuyqtbcq,-0.126,539,208
Dog,zkgztpossd,-0.311,pnsfdynihx,-0.4265,-0.193,-50
Dog,0.1045,0.108,iixufaaour,fzkiwucepj,-286,427
wdxrhihnat,0.303,pfuifllxpl,DoG,cat,sqexpxkkkt,-0.024
prmvkdroed,cAT,cAT,-593,82,-0.3835,CAt
cAT,Cat,-0.4045,766,432,-139,ubvohuyone
CAT,-586,xunbkhdiuo,cAt,-0.404,mpkxxqqclo,vrdchrqohg
-0.0535,666,0.133,DOg,dOg,-0.1215,pnimvahhyu
CaT,Dog,CAT,dOG,308,150,-0.0265
948,-84,-0.362,-0.2125,ishhjksxtf,-335,cat
cAT,cat,lnsyiluijr,0.4945,-916,pswdzfnoqh,0.051
DoG,vottqgwwxd,cat,118,256,dOg,-397
CaT,DOG,iqauokpgmw,0.012,cAT,0.2035,-0.4665
CaT,dOg,gkoguqntts,947,0.079,slnccenqkp,-0.312
cAT,nqrtytxrys,ekpxykdprb,fjqapoicua,eburczphhq,-0.443,tqzubxhykz
mmanbxrvfn,-891,-209,rxwuvictuc,488,phwwzkwvxm,Dog
Dog,qqfcguwcid,962,snvydswteb,kljvxcjoxf,-0.1265,cAT
erjpdqmeid,criqfllepb,212,-0.478,dOg,dog,mdfjpiusjm
xoyrysqxut,0.1565,wrwloccrgi,cAT,0.4415,qcairodkwi,rcooqyzewl
CaT,gwlrbpsnle,dbkpjrdqms,caT,23,CAT,gdshkxeihu
qkagrtyzep,892,doG,nndjllardz,dOg,-788,Cat
doG,-0.023,dOG,-0.4085,caT,432,-433
0.0845,zdohkcdycu,CaT,-943,214,dog,-0.1085
dog,132,bkmqnizgra,-364,koudbpdemh,246,-867
cAt,-0.464,0.294,-0.0945,stvpctuign,0.3385,-0.274
cAT,slcjrfydgy,uwryxpncbq,dOg,-0.217,-0.09,DOg
cat,-0.41,-0.4085,xdluyupazz,eazocxffmk,ufrxcdrgna,ggtqdftdnd
893,cat,wthswnewnm,-315,dOg,0.237,nepaqkadtp
-972,0.474,102,dog,0.122,yxepbatbze,-832
DOg,-0.026,bjctqzhwoy,-0.4925,-268,onyynkurux,zlivrpuoty
goiirgeyia,-340,0.319,-0.43,wvbpilwiqi,caT,0.196
caT,puzmwshzky,-74,-254,caT,-0.393,wztmjbbbhj
cAT,fgrbobpgmp,Cat,gxylpxaejz,Dog,0.48,kulxkzkzbi
DOg,ecatduxesl,282,ayhkrxotfv,sjstwnymcc,0.097,CaT
Cat,906,Cat,-0.2975,0.129,CAT,mpbcddrzfi
CAT,26,0.113,CAt,824,-0.4775,cAt
cAt,dOg,CaT,398,ihjbbwrgop,0.437,-866
DOG,-0.2415,dOg,-305,cat,0.254,0.295
-0.4115,-561,-7,nvqjaudilt,-530,dblixxrpoh,CAT
cat,-204,Cat,vmzkehcuem,bznugfnrhh,dOg,CAt
cAT,Dog,-0.194,-0.014,-0.4785,-0.077,DOg
-0.0205,zxqjukwklf,-0.198,0.4735,xiihxaelyt,cAt,-0.0075
-998,DOg,dog,bjghuesidc,usbmuzjhkh,DOG,skjtsxoiex
