wwdzdwkogy,mfdlbpyhsi,xrfrouitnt,hhdtfbpbzy,acksvamkij
0.3425,Cat,grrnpffyzq,0.328,750
455,0.239,hydpddqltn,dog,jsbvanqccw
288,-0.166,rjobfecwth,-0.4515,-647
-717,cAT,uielzhiphv,DOg,-797
-0.2025,doG,-0.023,382,325
nzxvbvruxt,higpchrmvf,omjrnmmtmt,csjlymgsmv,-238
CAT,-224,CaT,Cat,570
-0.201,-868,-519,-885,781
523,-0.005,caT,337,-0.1765
DOg,fstlomugjb,afugbupqwq,CAT,CaT
rpzbxviqbh,kcnflbtomd,-554,hncximxzgk,jnrfvrxays
-602,-0.208,-662,doG,0.407
-0.084,jwjttfagwd,0.097,idncocblek,-508
zdjrshtbqw,nhwcycudph,wiyjkuedwj,-788,-0.476
Cat,DoG,881,arnzxzvwie,ekxjszoylk
-0.323,-0.342,DoG,127,0.451
0.0765,dog,-0.129,-365,-0.4225
meaalllphr,mwoalgbjpu,-0.287,0.0945,-184
911,dmoteerugr,okanbqmzwd,hkbzytqvcc,rzgidhkqhe
0.457,-9,-508,rtelliwtwp,279
pxaaisdlgm,umlnmtrobv,-132,-0.2685,-0.004
-868,-0.19,232,ljjwmxwmpu,rvvndzeqmt
-299,948,-129,0.095,CAT
mvizfljqxh,-337,-428,0.314,0.296
0.1925,lycgxpboie,-477,-508,711
wkmaauflpy,0.122,pxullpmqxw,0.353,-917
877,144,-370,Dog,0.3735
cAt,CAt,odgjxihzhh,0.466,-0.224
bhndienygu,0.36,776,dnjxsbhpeq,doG
-681,vrdmqpjdca,-568,378,951
-0.2025,xytjuqtmyr,ymspqqzfbl,cyerxkrdhl,caT
rtkgwghyia,628,-335,-0.0925,dOg
wfrvtdlphm,0.138,254,DOg,0.0665
-483,172,-545,yppilgllat,suzirmzvph
-627,caT,-34,620,DOg
-50,362,dgyflsquba,qymjifwkhq,218
amsxntshlh,xnqbibmxwd,-0.0155,klzoxeatjx,-0.4225
wyxmtbmanc,-0.1435,-0.328,qmqqnsjyrk,cAT
-0.4865,457,CAt,961,0.245
-329,77,dOG,Cat,0.1905
zfenkwnsjq,vsoqvtcufm,-445,-367,yznmdhrdjo
-0.3615,-674,fynokkyepi,cAt,dOg
-0.223,102,xcmzdbwsxw,-658,auuvffuhcb
zgnzqfrqnj,ankpnngess,0.1095,0.3845,ajqrzdwncf
-0.2415,cAT,eibswfvpoj,mzeayzrlrw,CaT
-0.371,nzwheqrggn,-993,-954,-0.406
-790,DOg,-0.3555,-302,kwdeihxxqu
760,0.1315,hqymkvxvlu,841,akeuismalj
joiupuhvmm,yldienhhwv,-0.3895,jrfbxgcret,dog
-527,DOG,-639,dog,buntmylvtn
CAt,-245,-270,hgxwduvabp,0.386
CAT,zasoviwtjv,-999,DoG,dOG
-0.3875,qdpntzoilb,-576,inacjpwkzy,DOG
796,shatnzgoqz,zymmosgzqq,knbkdjmghk,maldzrztbx
dog,-382,-967,-0.265,yszyfbzvgn
-113,zidxceongf,twgqpavloo,-700,dOg
-175,658,171,808,-0.4175
-348,cyadceibtv,mlweacanhs,855,cAt
jyqynepbec,0.311,Dog,-720,weksksgzjs
-949,0.101,425,0.1635,0.481
ekaibdkxsj,bkegnhdtmq,onhxcfwdwd,-361,wnwzlegvlg
0.0145,469,doG,-779,-0.125
apwfanwdgj,ouinrqmzqv,CAt,ktdncimynl,0.048
tenicnzezd,-0.413,-0.3465,34,CaT
hyjrneoapd,cAt,736,-767,0.206
cAT,-338,jbgbslygan,139,otauyzxmhe
-0.4055,165,tvkwarcvev,dog,qbmfelkxrq
krqrtrszbs,caT,806,-0.396,pcgbqugvyb
554,-997,traqngvnha,-0.403,caT
-0.2675,-600,dog,-0.198,-178
dog,-0.045,649,-0.236,303
-0.0645,-0.254,0.0775,251,Cat
dOg,skcrfkdihi,0.4625,dOG,-0.452
Cat,-603,-0.172,43,csookfktwd
CaT,0.297,-0.4115,luiankiasr,Cat
dOg,cat,tacqklayco,284,dOg
-0.459,uhrfactwsw,-160,DoG,-0.0725
qmotytwqdh,-0.04,ezljrfocmt,ydvjqtddya,650
CaT,xfnhcwqhol,esjbgtreaa,aodmoxzwtv,Dog
dog,doG,-224,tsgjxlsapm,-534
gmwexdirht,0.4805,CaT,-0.087,-0.446
DoG,-517,0.1465,-0.0895,-150
tjnbjmemuz,-505,hhidlnfotg,yeqlajtqxc,-0.0035
hnsptlhpcf,zvkgdvurxv,715,gatxpasplw,0.105
518,-24,vqcuxbxtqa,-588,doG
-0.2605,0.193,vinthhincb,0.0165,-151
Dog,htdejtmywy,0.1305,0.2515,-0.005
350,dOg,67,audegtfwcd,vgzzdpmlpc
525,0.0645,472,359,cat
jalxweojve,cAt,Dog,cAT,-976
jewngxoytd,cAT,fmjvcsjxmk,aiduhdziwq,CAT
0.207,0.1385,525,362,caT
-439,DOg,igpnqebiqn,CAt,CAT
cAt,hnjevdxugc,-445,707,feqhblnclv
-0.3395,CaT,0.2295,-0.3175,CaT
