bsmskorohq,syyfpgjkjy,iefjqtahbm,bnyshywnjz,ghadbvqdxv,veeqjzyqik,zxyyegaprn
-555,Dog,-0.066,0.267,tuamphnxro,-0.1135,0.11
CAT,0.3285,0.2735,pxazvnmphw,-0.461,98,-950
755,opyahwqdqm,-0.1275,caT,-0.3345,dOg,0.483
0.096,-433,lrtawntqzb,0.3195,-852,15,-0.2145
0.255,xtleupkogb,dahsvqsdlf,592,-0.382,320,itomnsurtr
705,CAT,dog,-0.051,353,0.03,-500
0.3585,DOg,ilsjrgcnyr,-0.484,dOG,aekrsdidme,doG
254,CaT,144,wavhavmtjk,-0.0635,-9,ctjdbvrvkb
CAt,dog,0.0975,0.0525,-739,dOg,dog
-572,-0.3405,jadrzfkbvg,613,dlumtuflbh,-0.3915,ugcovqjega
kpxtuwpywd,-688,-0.2515,0.3075,89,ecuhbfahua,0.0805
-0.279,0.214,izhfehicrg,mzxcipgztr,lcbkcadlnx,-0.3315,-639
-0.276,0.0705,pqgrivittz,kefakgjaup,cdzzjibqwr,0.4805,dOg
-0.4145,doG,Dog,-0.3455,-566,-0.085,0.464
0.3115,-0.122,xvwtpvubye,zvgjellghp,0.376,tybzzzlaxn,Cat
694,-521,326,0.032,CAt,-0.386,doG
0.2395,cAt,cat,wnhojywiph,-868,CaT,cAt
-0.356,-862,551,Dog,qybdxvaiya,-0.086,crdwtwnqvo
-0.44,598,0.476,315,caT,-0.431,dzgslveosg
edefxwpyyj,nspgkowewr,ewhfwdxhhk,DoG,wqihdbgwtc,664,-0.418
ekgbipygul,0.3645,-791,-0.024,-0.19,CAT,-329
270,smeizkcblr,doG,470,jpvvgbkley,0.469,0.282
CAT,pqpbcduizn,-371,DOg,cAT,DOG,mvonuyxsmr
avtwuhfkin,-456,41,Cat,DoG,ctqfapjnar,-0.2525
bnrbplhlqz,-435,-0.2865,-0.3325,-638,agonlgarxx,-83
doG,xfzvvvaeju,-725,-917,CaT,wwjwuewizr,dog
0.1325,717,evexocmbxm,CAt,eqkbjaxtui,DoG,-511
dOG,-0.2715,-0.0045,-0.486,dOg,kdbhnskwpr,0.15
645,DOG,yrlxfjtkfb,345,gevvktfbpm,-0.415,fqwkkegqnb
0.3985,-636,527,dog,xcezuzctjz,0.4255,Cat
CAT,-874,-0.1095,-0.061,0.4075,-0.475,-639
157,49,cAT,dOG,0.161,-0.1725,DOG
864,fypmtkbwga,-0.361,-399,excjgxepvr,zzzjtkhsnw,961
917,-995,-0.1605,-0.2955,-0.452,cat,-28
-0.34,0.036,-917,-351,-0.124,xrypcytpuj,-0.26
rhtwpxmhyo,DoG,587,cAT,Cat,-383,ovgduqemvi
CAT,0.1105,878,-0.391,fstlswyguc,-220,0.141
17,-262,ktmejjzjno,513,ndzacctbov,281,ejjdijkazc
-0.252,-0.4425,pijbxtbomi,caT,937,0.036,-0.4445
-489,99,0.422,0.1495,jsuzfhcaip,-0.4765,ylkpjsmzdt
-920,xrthnqvzms,ytreykzbmq,596,ahcfrtnafv,kpkluwynmx,-0.0455
