cwfwvhdhla,Pet,bjmgeutvwy
-121,CAt,-316
0.0335,-44,63
uksunhdkqn,-0.014,711
0.2785,dog,-0.068
jzdbllwtdw,doG,cAt
xamskfkzha,CAT,0.1765
0.1225,cat,-139
0.3125,-0.474,-0.3525
-184,cAt,ywjxylyjfx
7,Dog,-0.2275
0.4895,CAt,-0.2465
DoG,dOG,vvxzqygxjn
-0.341,Dog,101
-727,cat,-302
lqpndlxzal,DOg,dog
jsbxxpelns,agyannqmoc,0.0435
-349,wymhzpyoxz,-496
rjwcffkycg,dog,dOG
-750,cat,tsaployovl
-0.464,DOg,-428
-0.1335,-882,CAt
xspvhklynu,dog,125
649,dog,-636
0.109,895,0.2695
557,Dog,-125
0.4935,dOg,mefvqarspa
cAT,DOg,622
dOG,doG,-0.06
xyanyxsett,CAt,918
-854,-944,-981
483,554,DOG
rsspwgfycw,0.3825,nhllfjwqpb
doG,dog,irporfopzt
666,0.216,Dog
fhcsocgyyb,-485,-682
