pet,dfenilkfes,hmmlgwtglc,ylycdekyay,cmgvquwzaz
qvuerbsxkd,DOg,-740,Dog,-618
cAT,-398,-0.402,26,-474
curaveapgx,0.452,456,zmsmzlzlgl,doG
cat,Dog,147,yliairdstu,0.148
cAt,207,Cat,-562,701
CAT,-768,ejzztcesjp,eddpwtkbto,-0.4505
CaT,0.374,-0.434,saqbdwglkd,lbvfhjxtmp
CAT,378,-0.471,rcrqevavld,gdvpbnadbi
DoG,-0.367,DoG,-165,qvrphxcish
CAt,vtzzijjvhn,-123,DOG,cnhrvewurk
doG,0.2575,dklgiucebw,-0.0485,156
doG,0.2525,ypwijgyjxn,-0.209,-771
doG,0.139,caT,DOg,hklbmghebm
Cat,gftmqmdzqc,uxkhdjrcte,cat,0.474
doG,-381,0.339,-320,0.004
DoG,873,0.1605,DoG,0.4605
dOG,dlramnpeji,266,203,-0.3505
DOg,152,-132,0.453,Dog
CaT,DoG,CAT,-0.457,-0.334
CAT,cAt,523,0.1395,-33
0.477,eitecugvmd,0.4055,-482,xotsiovabj
0.3685,thrtykqrip,doG,pvzcajnvqb,-826
pzmwnuuksn,-0.4605,dOg,qpgnibvkvk,0.0015
caT,cat,700,DoG,dog
DoG,-669,DOG,tcewjrrbrh,361
caT,qirnicyolw,kffhfaohrk,0.3955,988
DOg,-125,doG,397,xldirrlqvj
DOG,dog,-107,hddzowdnty,eispplsiee
dOg,0.078,-0.1245,748,-0.431
caT,0.1635,CaT,bvrktgaqfx,CAT
Cat,wledngnual,415,-0.27,zputqaxcaz
445,-0.4485,-738,mqnfxglaqk,-91
bigaboylzm,awwihnttie,fhojedhljd,-0.3025,ehkcbgnihf
Cat,ksadkopwwu,nebvtetnez,DoG,cAT
dOg,dOg,yqjhabhtbc,yzhhrsebfp,54
DOg,0.044,frsceammgh,-746,zvdcfgnscd
cat,-0.0005,Cat,426,791
Cat,77,-0.2435,80,-0.224
CAt,cAt,-997,sgxlncxaad,-0.1375
-0.0705,tglvloiwif,725,bswrritrqb,ktonmhyzos
caT,-274,-0.3945,-128,CAt
777,gcktdhoeas,muqcygjmii,0.4575,-804
Dog,601,aqvuvtwjoy,0.361,-831
CAt,-0.138,txvgcvlcqy,-351,0.055
cAt,-521,908,0.337,0.3785
DOG,jospyphtdz,-705,0.043,-121
caT,kcltbgzuna,-39,dog,-0.4235
dOg,0.1155,-153,xejzqtvqfh,-275
dOg,-0.473,dOg,0.4785,CaT
DOg,-0.2895,faxlmhjahb,lpzfduecah,0.236
qctephydxo,-171,996,0.2235,-314
Dog,284,-0.4765,-0.4735,caT
Cat,-72,-0.335,528,41
DoG,rotgsmslil,0.494,dOG,-0.3305
0.156,-945,ptfvgnaeqp,kwyavsdttz,-0.3795
0.138,196,-339,528,-387
CaT,0.3475,qralcccidk,DoG,CAt
DoG,-0.486,CAT,kruavqyksh,0.27
cat,0.307,dOG,-396,785
dog,jdeyfnmduk,Dog,dOG,stljufnobd
CaT,tjnahdtruc,egmefzkgdq,fsbbsqfjny,cat
vrlygndeho,-538,-0.1255,-491,-428
dOg,-486,84,779,cAt
cat,0.087,927,auhwzvkzzs,caT
doG,-0.2715,eokbhjgqgr,-0.399,cqurjhngqi
hgnvjjvroe,-280,0.216,mkqiqnywsf,0.0245
cAt,352,58,cdzthfqrrr,CaT
cAT,xzedbpnezp,0.0245,0.4555,dOG
-0.2835,sgvllxlwdq,646,xggglyxduc,smpyndojqr
DOG,-32,DOg,0.299,-489
Dog,0.4595,0.0925,onwdcgyzdv,-37
hphbtaaugt,0.3955,-0.375,-91,CAT
doG,732,0.0265,0.3215,DOG
0.064,dgskerldpv,852,0.121,dOg
177,921,DOG,qbjjigrzln,652
DOg,503,-617,-525,phzadjclfz
Dog,dOg,593,0.2535,bqvrvzpwuh
403,140,cAT,-0.4975,fyjzsfnmuz
