jdalmnhhxi,Pet,imhxtbiarp
0.1455,-705,lwlkrtviuv
sqmypfcefg,-0.151,-0.428
CAT,DOG,cAT
0.1685,DOG,sjvuhuwgak
0.258,742,nevjczxhby
-0.386,cat,Cat
akzmyomtmx,DOG,-5
-254,DOG,rmicszgpwv
-0.096,dOG,CAt
jwpnbjkoat,-378,-132
0.0405,388,0.3175
-0.294,389,-309
613,CAT,-369
-544,dOG,-0.0305
dOg,doG,442
-0.0385,Dog,-852
rekahdsucr,DOg,0.1485
-0.1505,385,DoG
Dog,532,-206
fnosyhujkq,xkqdiegjbu,dOg
dOg,113,154
206,dog,736
dOg,CaT,bqraqhkfua
hkqsqepdql,DOg,namcszaows
ikcxmrpjfc,CAT,hwizdyrgia
wymwcqfkhg,CaT,ebhmsgvccz
xmahnxkgoz,Dog,503
DOg,CaT,-24
-0.166,cat,-0.106
arzfcrhjmi,cat,-0.3315
113,CaT,487
-369,dOg,CAT
-208,Cat,dog
0.1605,DOg,-0.3975
dOg,zdozhfwzwd,0.401
cAT,-118,jusjyynhrl
mzngrigkbb,DoG,DOG
-0.0845,cAT,411
741,-0.2275,-0.16
umhtqzufkh,0.4865,-204
gxwhnivwkf,CaT,537
caT,-956,-0.0995
awcubehdzo,CAt,hpqsxdfoxq
cat,doG,fcvqsdcxxd
-182,DoG,-0.1285
959,dOg,pkgultijca
llwugsdnyf,CAt,zjhbelgqoz
mhyehupegt,CAT,dOg
-177,bilowbxdas,cAt
-0.094,doG,-0.1745
Dog,CaT,DOG
987,-692,633
uqtwksjcrv,DOG,bvytcxwhzj
-0.1335,CAT,orscpuwgfs
0.4765,DoG,ejflqtsnud
kfeebrsohw,Dog,-0.155
DOG,dog,kcgtrkcmsd
-0.145,Cat,rpauvkidpz
dOG,CaT,fzaohcysln
402,-0.39,-441
otyyyijhdt,cat,pijgerwnex
-0.366,CAT,551
zrsfsfpqwp,cAt,0.1455
ffhanawrfm,342,0.085
0.0155,xyakcsqsrs,dog
dOg,Cat,0.0035
dog,CaT,-0.422
cAT,dog,zdnjjsbmxr
aaptacmddj,dOg,doG
0.4665,DoG,vbcevxdaky
ytndrpjyil,dOG,htrduqlfqm
cAt,DOG,agwuhoffsf
732,DoG,bqykibndlf
956,DOg,0.472
