cicytrxadn,pmaojwmvtr,pgnptiowsk,paiaitycqg,lybuizfdlz,cldrdgwbdd,zqwbnxptti
DOG,scpgpznami,-0.4665,qyjvxherpq,crmpkabktl,cAT,0.1875
zznhlngunm,635,-879,846,gvaxmqtono,srinbtkaez,0.075
-859,cAT,-0.407,mgcfwapffm,ndzwltwplf,cAT,0.156
-125,DOg,-139,0.45,-170,-0.125,wlyezpmzvk
-806,0.3125,pnjulssxvx,0.414,ghkdhjwixn,185,CaT
0.313,-0.213,Cat,0.3705,oydccoebij,74,-755
rcnydeilkp,-0.062,peiljnvkda,23,fglikemmub,0.005,-0.0925
0.15,43,-850,-0.4515,pcaxygflvv,0.1575,skwcomtpaq
793,CaT,-0.388,-0.287,207,0.2565,dOG
wjyrvqmdma,-625,37,dcjttvltmk,lytwutjaix,-974,rvvnshgecj
-167,Dog,-0.396,dOG,-661,-0.257,-121
cykbxncpkm,DoG,0.197,838,0.47,CAt,-0.0535
482,-0.3995,dqloxvczuf,szzwtjcwuv,587,-0.162,516
0.296,-0.09,CAT,164,nobpksxveh,-0.4975,-869
253,-961,-510,bfqzbrdryg,anixuutvah,caT,tyzclzjaid
CAt,kjyfsculne,CAt,dlweyheppf,yvzarjsyfm,0.0675,-0.346
-12,-172,0.403,-858,ueenpumccd,-0.2715,pzgbksfvtj
0.4115,iujmomooyw,-0.061,euujuddznh,-442,suqjaprnks,-0.3545
311,-683,mqruufncqa,fmhxurlemx,0.0385,dOG,qqdfhnygjg
0.2685,qnhcczpsck,74,0.269,fwunhgifhs,0.494,cAT
-0.3415,259,168,bmqudbtvwf,fgolsdngkn,ajwhxrkmyu,jctitllfgt
gcjrrfafvk,dOg,nvjrwpbntz,ljxuwtspzw,DOG,-318,tkpfayphxp
dog,-0.0555,0.057,-83,268,462,itmgrnybza
-0.1515,999,0.249,prhgeaqltx,-944,346,utvntzzsqa
guotvjmlbz,0.1205,DOg,0.0645,cAt,-0.0165,-0.259
rsobzhjaxb,cAt,-0.34,-513,xcypkgaoez,139,Dog
pdnncczkdl,-908,ptmbqyrpuy,913,453,caT,-768
