owgntxgcxl,PEt,txaxmbvrlz,ydlxmrfabl,litolopoog,mzfewbrnko,ayctnebfwa
koedvuwlvb,wmjsuxbbqw,569,-878,-588,0.389,ijhorsagqj
0.4815,Cat,0.1415,0.19,-0.005,Cat,fuyprzrmyb
ojxhifsxac,DoG,567,0.178,yrcxpophpc,swtowjpowk,qmhjblgptq
-119,202,-567,ijiyongnqr,hbxvwrieev,nhqywpgmir,521
Cat,Cat,-320,-0.344,mxviweoakm,257,jzajcykadm
houlenuuyg,cat,0.058,0.147,-0.4325,901,0.4405
-0.1205,dOG,skjyjapbzc,32,dOg,-0.074,-592
0.179,cAt,efuxwozvia,caT,-0.335,atenqijihp,0.0795
254,cAT,enhcydllrb,-0.352,cidbdtptbn,vwsisvfaoe,cAT
-0.2385,-753,-1000,-0.2655,-0.18,-653,0.1325
bvpmgspqtw,doG,-0.1945,-486,0.1135,hjohkdiaig,xganzzpcnc
DOG,cat,0.449,0.2445,0.364,nkupkqosqj,vmkkuelvkg
oijarqrrhr,0.4625,0.0045,dOg,cAT,cAT,kuttkufwtv
-384,cat,cat,-0.047,-0.327,upvmlokfyn,85
0.1005,DOG,-273,secejqhltt,137,jflnfjfgxc,-0.2615
-142,-237,fcunmioret,-0.014,cat,-0.1765,-0.216
0.0845,CAt,-895,-0.222,0.4945,44,0.0735
-0.4505,DOG,kyuqnuhdau,374,vvhahfwlly,-0.28,-0.391
kwxgsakyhu,caT,pvvioubpyh,831,0.196,-0.4515,CaT
oqdnrmggcs,cAt,-627,-0.016,96,qvprnjzlic,DOg
0.228,cAt,-0.4185,303,953,pplobazrzz,cat
-891,DOg,929,zmgceawubi,-739,uloauruqwz,yftdlaxpqm
-666,tbiecajcnv,cAt,-670,tmvdulvbma,dog,-616
0.128,dog,-0.4035,dOg,0.1965,kjrxixjves,0.4575
DOG,caT,slzhtoxlcg,0.464,dOg,329,867
uugiogceeo,zthkuysiiq,-0.372,-0.435,doG,ctqfuyhsws,0.1845
0.466,973,dog,-557,-0.1855,vybnomunws,0.474
820,CAt,907,0.019,Dog,dwsuistdoi,zenpvyxlix
DoG,0.3535,dog,0.209,rgojfdquct,-539,-0.325
-0.122,cAT,-0.0295,12,doG,109,-919
0.331,CaT,DoG,CaT,-0.377,Dog,igyttqbiqs
-540,doG,caT,DOG,gozdfsvsvs,0.097,-286
-0.035,kjdbcxirjp,0.248,dog,506,0.4665,-958
-0.172,369,tupsnzxblu,mxdstivjjo,aukcyoxhhi,xspikswtrt,-791
412,cAT,dog,wknqmnucie,0.3545,0.442,-904
-39,DOg,pbvtwhqvyf,0.432,fksncqfvtr,qzbisjvdmi,-0.114
-0.2275,cat,-0.132,97,ehsorimknc,636,qwjhlipmkh
-0.4245,fxydxkymja,siijsihhln,sbyqxfzrzl,704,bbuonwjaxl,0.107
2,cAt,-888,xlliocvrsq,38,khhqegvyiq,mpzdlwaaph
-0.307,dOG,0.4985,DoG,-395,rewzxmhkze,-0.0855
dog,DOg,933,mhjkwtxsrk,681,qukbjdxytn,-699
740,CAt,-0.21,0.3465,wlxwnyvdqi,0.4765,obyzisujsa
cAt,CaT,-584,-0.368,cAt,-0.4705,tnnpswxxql
-0.2025,dOg,fafytraurl,-0.114,0.422,ruafohnoli,-0.2415
