erwlewyhva,PET,mwsyzwthar,mqpagyabus,phaxpzkfjv
ohbantktjo,Dog,nozcluhqmo,-197,299
0.1785,Dog,dOg,803,-0.129
-642,-0.31,CAt,caT,-0.438
-953,0.394,Dog,-0.461,dOG
dOG,DoG,arvmqyodxt,DOg,0.465
444,198,cggwsqsewj,dwmjlstvss,Cat
hvjimfoocl,CAt,dog,0.2,669
fokzsseglw,dog,648,xearkzdshk,orbwaurfwo
mvpvcojogu,DOG,0.41,sezhrpkpoa,cat
hijcfryefp,354,fttqfvzqmr,-422,ancddwotlh
-0.316,hpdvprtpwr,jmuincwfcn,0.254,-0.1635
Cat,CAt,ippbpjibkx,-0.039,-981
-0.2825,DOG,225,cAt,-84
gkgydntpdz,unoaazsiir,dOg,jgbwtempkt,CAt
dog,doG,0.4915,dlctuiolwy,CAt
-509,CAt,resjjdaxiy,-185,-537
-0.3935,DoG,27,yfbtebtvyx,CAT
odcnjrvmxw,cat,jsvzughuvo,0.3545,0.2945
tdetmbhftr,DOG,vndebkkgcp,CAT,-0.3025
yzreasvewn,0.3995,45,-906,CaT
qgpaiswkzj,DoG,fwchvngipl,Cat,205
DOg,jshdclcsok,cAt,lywwgkvonv,0.0365
iajcobrzze,fomqiybotz,0.1805,-84,roozfgkdjh
0.19,431,ctdkxraiea,0.0495,955
CAT,DOg,ntieysdfnk,DOg,-0.086
CAT,doG,864,cAt,xtfycrqovq
-174,Dog,0.352,wlkmlhcyaz,-0.2255
810,DOg,213,-0.3655,jfvdhmpmbt
0.327,DoG,dog,481,-326
0.4855,-0.126,CAt,qosghkovle,CAt
