hgqdhzyzuu,PeT,drttflpxfm
-210,zhkhwyaoss,412
281,DOG,-917
132,caT,mjnaqiytkq
dOg,Dog,152
618,dOG,-34
0.1365,cat,ksmaiobpgz
-0.074,CAT,kpsbivfoew
-0.288,dOg,747
-0.0945,dog,caT
-225,doG,0.3475
-0.363,Cat,0.229
-0.149,CAT,kveiwrbofg
xtrfruqfrw,tnmgpqyhxb,ubxouqbadb
doG,CAt,0.1955
0.162,sdowqbuefh,sqpvnkuqgf
79,dOG,244
xoycpxdysi,DoG,nsekcsshcm
-0.1775,DoG,122
qmtinrvben,Dog,DOG
DOg,tpkrotfjrh,swtktuavob
-0.3655,DOG,cAT
dog,caT,-0.0265
-0.4395,xmpvlinrwj,aezvvibocv
0.3965,DOg,0.405
yafvtprkvj,DoG,459
CAT,DoG,dsnmonldfa
-741,cAt,DOG
