eokatrodlt,jqzpoibgqt,xfxtdaihig,acvlxurpxz,ekhoplrswd,igdepfgzvj,vzujlraknj
0.0835,kiuukgvftp,693,820,0.2005,-234,-353
208,823,lazsocsytd,-717,194,246,621
podhqphjyn,0.164,Cat,tpevwiwlwo,-0.367,jkupjmlkmr,pvydzpylxd
-484,ykmnioshvt,dOg,0.161,694,gfavmrztwl,dOg
-0.344,mooysrfwnx,nxroahokhc,-0.247,0.0015,652,0.3345
0.195,675,rcontfmfqq,-0.466,-432,qlvatbjscn,ulvxiwmslx
468,nvftuvgzvw,0.187,-0.4075,fnegwrhshr,dhjqqxiktw,trxhzrhquk
kvqcaayupi,0.1625,0.127,dog,0.172,390,-0.3505
jdjscjdozn,-550,-38,vmdqbguqib,znknlpdlxx,0.2265,gdiqlyzbvr
DOG,toihlykciq,gokjfuhedj,-0.0585,rlghuuphmf,0.239,203
-0.3225,rwfrqjdvax,818,-0.127,92,cat,zwmxdxlwyp
yfdadgkfti,0.078,dOg,0.4475,kwefurbmtz,696,0.1015
luomatxkjk,zaxysiiqqg,doG,-532,712,-857,-0.0645
dog,0.0575,cat,cAt,0.4885,DoG,fenfljfzjb
Cat,0.324,838,765,-0.145,cpknkepyqq,739
-0.417,dog,-0.134,730,-0.1205,ntyfbybttc,488
-447,dOg,-0.174,-592,775,181,-0.4935
-978,cAT,lewxvpvxpr,0.085,cAt,-0.4825,uesiaweola
abmntlzdju,doG,818,-42,gzmxcmlhci,gckicrdevd,fhkeoqwdrt
yaoppfasmx,245,pwktyxslwu,dOg,-234,139,833
0.0815,-0.272,-337,nlmfkhuldz,-0.2135,0.0175,dOG
thclhjkzsm,-0.03,dOG,-0.4795,DOg,CaT,-1
dOg,909,0.043,faygzeceja,dOG,jeaavjobcm,-0.1165
-409,0.1015,270,-476,utyaymvejb,hdmtkgcfuj,DOG
-630,908,qrtutmroxv,-80,-0.4085,24,0.188
-405,DOG,781,-0.175,-82,0.4785,-0.13
-314,89,152,-31,-0.172,donyqovxku,351
-621,-0.1445,cat,559,915,cAt,doG
