PET,wlltgkveja,heiyjwjmhu,ccqztoupmx,lashmmqnjs
-947,-27,-0.476,caT,giskzjutas
CaT,fdisnhmvxs,-0.495,0.478,jqsgwwifor
eecyyjgvoi,27,-0.4705,ddvxjphcbl,447
DOG,0.3155,cat,658,0.099
DoG,qxxobnhkag,-405,eydhcyzjcf,vjfznmbznv
dOg,-0.286,lxilyazcir,DoG,cAT
-0.082,49,962,hricdoxcsb,-0.116
DOG,iwpmpnliap,0.117,0.087,CAT
-90,cggxbtvqoh,-725,CaT,-0.0395
dog,0.0745,cat,-0.36,feewqbzkgi
dog,-599,960,0.163,encrloengc
ntxgvtunmb,uefkechoos,kqhdxpheem,-148,-224
CaT,-441,ehbabfppyr,feieapvzuo,hhwxwkirmh
DOG,40,390,-517,hlkmvrvodp
dog,-460,-0.1435,DOg,CaT
dog,950,-69,DOG,jjaohgfaxo
ebwffvwbrm,dOG,0.1,lzpezyvcvg,-0.337
wmbjzgtonk,-0.475,417,880,Cat
caT,574,232,ipvuwagliw,-934
dOg,362,-586,uxwrbmerpq,0.4395
46,caT,0.081,497,0.457
CaT,0.4295,dfcnppwdsb,-641,qkmzymjzja
jnehfqacio,doG,196,0.0295,luodcktaqj
pjnjfzhggu,-0.0555,0.294,tajsrsbrmp,517
caT,dog,731,297,-0.0755
358,350,301,761,Dog
cAT,0.026,wlljblhycb,Dog,juabavtgag
dOg,caT,0.3515,-647,olqwjbmohd
-0.1615,0.4125,0.1275,cAt,-328
766,dog,toxevrergt,-0.4695,-987
DOg,npnkvaeqkf,-0.2815,-585,rhqujjeifk
dog,-431,giptcekcdv,ioaqtbveyo,250
gtublgkjma,0.4525,524,0.214,qipoovfobx
yiwjzknfxb,dpaxkhspal,ofaoibmcwe,Cat,510
-0.333,cAT,ittffogied,-555,caT
DoG,-190,-0.37,-0.3,232
caT,0.171,-0.426,-0.3165,-659
CAt,liokamtcan,314,uawhoxvhfy,-583
hrmtwgtwoe,-0.2115,-116,lefpzqpniw,-0.12
CAt,xnhplfmwiq,0.096,enpkozckol,mucoslacvw
DOG,ppkjwovvsp,-0.051,-0.2235,cAt
CAt,hbgwdnysni,-0.2045,DOg,CAt
dOg,-788,ehzfkrlrzz,cat,wmcnjdkdqg
0.4705,412,-855,qviyjxgyud,CaT
