pet,kihxvtqdbv,niftvyzxra,skntfrepkw
CaT,zvkpeyyacr,ysyybozala,-0.3535
cAT,doG,gprxymugnw,wusbsageya
DOg,-614,qdwrkwlero,0.1685
CaT,0.445,-0.3815,dOg
dOg,997,aupgrpotmt,-220
doG,-469,kzvxuixmuq,985
-417,jmrwnamust,0.3775,-436
cAT,dbcspzzzzt,qmcigdxwtd,208
dog,316,380,-0.01
Cat,cmoiqrfchl,bahngwvtyf,Cat
CAT,ceapkzbzge,0.214,aadsomuxry
Dog,okawbbzwwy,-689,npqxsyvntn
cfhgfsqmqi,rekbpqrzku,0.452,dog
dOG,-0.304,230,wpzuhbkfrr
630,823,-752,ewforrdkxv
dOG,345,dog,-458
-654,koxtdkusca,0.0645,sovthzndoi
caT,upaqbvufal,0.334,0.216
dOg,-0.457,mohehrwolu,291
doG,-0.234,ocjfdjwoef,glxkhyhbtc
wxuftqqrhq,aapofmwppb,doG,zryhzyqkty
744,180,0.3005,lmunzwdlvb
cAT,leygxzyiag,-866,eatkccsuew
737,-265,0.1405,DOG
aslzadgcku,-0.375,lqggzrywsf,0.0965
Cat,mknftkyggl,0.3845,-0.4495
dOg,dog,lmubxoxpyr,-92
DOg,-0.2345,Cat,nhhqnsusnt
cAT,0.04,caT,-137
cAt,mcarjxnqan,Dog,0.3435
Dog,Dog,rzrcbwihdo,oncwvqlvim
CAt,CaT,psitpnimdb,bnzitbvqzg
dog,cat,-0.091,Dog
dOg,nsjqsgmmkh,DOG,dsospitmzs
CAt,-0.475,feryajhldz,771
DoG,CAT,-912,dOg
cat,srutjvpqvc,-0.0685,vqdchmusjh
dOg,-145,-0.3185,-564
uycpufldxq,cAT,0.3915,-604
