gmbpejgctl,dsiuyjqcfw,PeT,nhemfycaxc
dOG,-0.134,dOg,-432
-0.457,sixhdtbiph,CAT,-0.2065
cjnnwwtzfz,CaT,caT,-0.248
-0.3675,0.3315,0.388,0.36
-0.252,doG,-0.2465,dOG
dOG,926,CaT,znqcbedbas
757,eboyxkdfip,CaT,-581
-0.1645,arfemywtjn,119,DOg
caT,0.1175,-0.3535,Dog
332,-0.335,0.2785,44
-39,CAT,-0.3985,emfbfmwepy
-436,481,-0.159,ntzdcvefgw
DOG,-466,Dog,dog
0.0005,-881,CAt,0.1955
qtkoezwclf,0.1755,dOg,474
dOG,0.251,732,ammmahskmw
0.223,-646,DOg,mkbmygvnol
ukudatwpcx,CAT,Dog,-0.2235
spysauufna,0.1975,yctksfoacj,eugosutunc
ryaisswvbr,-0.29,CAT,0.39
caT,cAt,Dog,tbjkuwtfsv
0.128,-0.477,wucaofhmuq,nnfdbctsvk
cAT,qkwccivxgv,Dog,-746
0.1575,yxvdtkdlqw,CAt,-0.042
pwnrbpqvbg,-0.055,dOG,-670
nlivirhvbq,319,-0.452,-0.056
gneppilmpb,npkytsnrha,dog,CAT
0.044,DOG,caT,-44
doG,uzwcctrwiv,dOg,ypdjezehpg
-0.1005,cAT,DOg,pdbagwedjn
208,-452,ewvfhtlzpv,995
hyzdxcjysu,-172,ttbjdptwxo,lyydqxpery
714,-524,cat,0.071
0.256,fiimyvcpgd,DoG,rovggdveut
13,mtzntjhmue,DOG,0.1625
hrtgrcqpvo,zjctrfyega,Dog,-0.4115
286,-0.4245,aqpzmhivvn,Dog
rndgblfqbv,-356,dOG,DOg
doG,kcqucxvlhv,CAt,0.489
levsfuwskq,CAT,-626,-880
dOg,426,0.413,-0.195
871,caT,doG,coeeqcundd
mxwyijztfa,0.3915,cAT,cAt
0.204,-942,doG,mcppbfvvnr
0.398,0.2555,Dog,644
0.161,694,dOg,0.3735
0.3675,ifpzclhspa,wiqhvrygme,xxypjbnbse
gpuovpcepl,Dog,dOG,0.001
-0.3835,0.0475,dog,njozyjhrcc
476,mqzxsfpcvy,797,0.2345
