bdsgnbaedh,dgqopzxzkl,icmbdnkpvo,lipzusoaao,giwgqbisoh,atuallflid,pET
zjbjahskee,-0.4505,0.398,-0.2925,-0.1805,caT,DOg
dalhqwfofr,-131,cAT,cgwuqodjlf,-0.258,0.107,cAt
wnrhswabib,-168,0.065,rzxgosoldl,0.038,0.4945,DOg
caT,491,mxivaecltd,tyjitqqocl,175,xkrodtkotg,CAt
0.128,300,jhkcxrosza,0.496,0.4355,wratrbuzpz,DOg
cat,520,-423,-0.1805,ywxlfrhwpy,vijjupumcl,Dog
-0.036,nvsbbmzxzx,0.2065,-0.0675,-0.0695,-903,dog
512,qjndrfignb,-244,568,619,-0.185,Cat
alcrmvfcjn,0.3335,ntmpbqndry,jugqrztwku,-112,xyiirqsfya,doG
0.306,fcbhcmnxhc,-396,xkrgykrjbt,888,xypqtvljol,442
CAT,cAT,bootcvommu,hmgjpvyfkd,mevpszbhxr,zsppdjmviz,DOG
-0.109,0.019,0.1395,-0.4345,-0.326,0.1135,Dog
zkzakwehqz,-527,ebzkxvbmdw,-0.472,571,iogaaljgwh,-14
-748,0.3115,cAt,-554,-656,thvpdgivvl,wjiiitvjxs
-0.1135,-0.2935,974,werdoqbsjk,0.3665,-0.4355,0.179
-0.349,fnaqitexvj,215,987,0.36,ufxlceppwx,CaT
-814,334,dOG,0.359,sqorvjygad,430,xowtsufpde
-0.2265,365,DOG,fwlmfoxfov,CaT,-573,Dog
916,-0.151,caT,-0.4525,DoG,0.455,CAT
80,483,0.492,yrfbcnqyuw,CaT,lywobbmvvl,cat
qhqhhiyrkc,-66,CAT,0.0215,-961,cAt,ieyybribip
-464,-0.3815,-69,-319,xkkipdufps,mwuxjdpobr,dOG
0.354,0.171,gnzwomxogd,0.4905,btpzpzrtcz,-665,Dog
687,-0.3095,kuucsubbzd,lozfbqmkia,0.205,woeuzpvyxh,dOg
343,Cat,-0.24,-0.1565,-0.1355,dog,ivzxykzxcx
-0.0595,qbswqhcett,skbartijte,-0.1515,-0.188,upzozutyem,ebbrbfxzbq
dydhkckjqk,ivyhzhcfkw,dOg,CAT,dOG,691,cat
401,cAT,-0.1975,jmjofkobav,0.31,DOg,cat
-397,-976,CAt,-96,-0.246,0.049,pzatjdlets
utxprzfhyt,-0.281,doG,tguoerdofm,caT,0.3505,tzplazrwxk
CAt,frtmaluwkp,719,582,-0.2585,DOg,CaT
644,oknpgjzgts,0.3525,vkcahqksja,bmlnobhzhy,0.1435,-228
605,-256,pthoreefxv,-0.267,-0.034,0.1135,cat
