kwekmvjsdp,PET,yjfeylebry,rfxzlqpisd
0.3755,DOg,CaT,dOG
CaT,vqelsvnkcs,pwndyiycje,0.3465
-890,cAt,hnspzfdhom,-0.067
-0.179,-799,cat,cAt
iovphbdknu,Dog,0.347,0.088
ixshbsxjxs,cAT,0.2645,0.2495
-0.3455,Dog,dOg,dOG
0.318,0.264,-0.1835,-659
0.285,doG,-550,-791
qcypkhkiwp,xtdkshxmba,90,-0.4235
erfajftprt,dog,-88,mcovevazlp
cAt,caT,-0.208,741
212,cAt,840,-0.124
Dog,cat,ykpuhqsaxr,0.487
duhjcziewi,dOG,743,kmkxmgnhdz
841,CAT,-149,-0.4525
molmjfkunr,caT,DOg,806
-243,-844,797,0.033
0.121,Dog,543,-834
zzketotrrl,pyfbkmbtur,0.2715,zksnabhvwi
-0.4775,Cat,0.026,786
cnfwhaqale,DOG,nuzsrvuqhw,zwemopstpb
dOg,obibywhmvz,763,dOG
0.046,Cat,qlslfarhms,40
-295,CAT,467,jyelhlixww
-0.0705,CAt,greyhmjtda,-731
DOG,DOg,-0.484,-905
DOG,dOG,617,CAt
fmvnvrhvat,doG,568,-189
hzivlgczfb,DoG,0.0295,-621
0.288,dOG,-0.492,-0.267
ceeyqgjmlc,458,0.3175,274
937,366,0.0015,zxytdxvged
DOG,dOg,bghuoukmlp,zvogpotvae
ruwwxwtffl,Cat,-0.2105,-0.2475
-581,-933,kphxwxowpc,193
cat,doG,289,163
687,dOG,0.3235,CAT
0.0895,hohgnevaol,0.074,-0.334
-0.006,CAt,260,0.452
-684,CaT,703,Cat
-0.2875,caT,0.4335,0.408
-0.019,cAt,384,-0.4665
628,0.3395,21,748
472,DOG,fdatqfeulr,CaT
oencjlybzf,dOg,cAt,CaT
732,Cat,yrsokqqlhb,larpyjaeka
789,Dog,-535,0.244
-0.221,269,-0.461,-20
CaT,DOg,-0.394,-0.2485
0.4195,doG,0.4085,DOG
