zguwckxiyy,ggwqbleoil,Pet
-118,-0.482,DOg
uewiczmbza,-203,CAt
-806,mrfnokyqmw,DOG
btjmpjbxjx,wasgrpvfmj,-806
cAT,-0.304,Cat
vqnxgopttm,dOg,Dog
-453,0.175,cAT
949,xxmceyzpeh,zaczomjgll
897,-0.3815,dOg
DOg,-0.495,CAt
241,yywiajuayt,cat
-0.1605,jfllabwbla,DoG
-0.3925,dOG,CAt
-0.355,-538,luwmcptnye
qzqqzxufhk,izzwomidkn,Dog
0.399,cAt,DOg
0.178,DOg,doG
590,-0.3405,DOg
0.122,bxyomknvmc,CaT
cAt,tquzcawrdd,DOG
-437,0.1905,xkzpztrkoq
643,ddivjghzkp,cAT
mdfwqrnron,-549,dog
doG,967,DOg
figgdfavxb,mjwdcayfoh,dog
-0.3765,-573,CAt
-0.098,573,CaT
-0.3625,tqcwzqhofp,-0.1855
-607,rinhdphgph,DOg
dOG,kmniweuzex,dOG
dog,-0.201,cAT
138,-562,cbqzgsklfy
-846,gqdcgckctg,DOG
-0.477,210,DOG
943,emgceqqsdt,CaT
dzndialwdy,0.455,cAT
ulojllextt,dOg,cAt
-0.441,yafqpsfvfc,doG
issdpmpgrg,Cat,Cat
-682,-395,CAt
-161,caT,doG
tzxlbwvmtk,-0.2605,smiuznrixs
jqqoemcsst,-445,CAT
0.2125,crspodqcwo,caT
0.2785,229,DOG
retppddzar,871,CAt
0.4675,-703,doG
zwqqxpoabx,cat,doG
353,-0.328,-0.1085
shnukvymtn,-0.3015,-124
doG,boiwihrzks,CAT
wmrpkksane,0.0075,Dog
CAt,iuvvjjqocp,CAt
hmugxluhnb,gskqxfewwh,jglqtsxrvw
zhjxyopzgx,-0.0125,DOg
0.2875,0.255,doG
0.2305,dOG,Cat
-146,512,cAt
jmrggicrcu,0.0895,Dog
wultqxlole,DoG,dOG
-563,476,-306
331,-0.478,cAT
595,32,DoG
ucynlnfagh,-700,elmgmpcuih
-0.3565,339,0.067
0.114,mskgmqddso,dOg
dog,wadehygkem,DOg
0.223,11,CAt
lkrfqqqyll,0.3095,Dog
zcflycdlmu,825,dog
DoG,zlokflgwsr,0.4395
-30,Cat,-0.05
CAt,qzofyggctd,doG
-0.336,-134,DoG
0.2985,qmipxhxsqq,dog
dOg,0.0025,cat
-0.278,-35,DOG
0.0025,dwggglkjdt,-0.221
-442,1000,cAt
CAt,doG,doG
abzoghrseg,dOg,cAt
dOG,cAT,dog
dOG,399,DOg
5,lyywicsmfj,dOG
nvhlasvirk,-0.3145,dog
DOG,kkjzhligdk,DOg
CAt,-0.041,mlidyvlxmu
-355,-672,dOg
-842,0.374,0.377
-63,0.191,-501
