uhperpmoqz,jehataolxf,hrdhtrqkqo,peT,ttxrsceizx,uygykatuxv
pephyvkxhf,-0.0785,Cat,vexasqwswl,DOG,cAt
DOg,cAt,-0.0215,CAt,hgoiykqdfm,0.1785
-0.005,pqcsrbdyqk,424,-0.0765,-0.362,293
-0.2225,-0.399,ooypruqbdu,DOG,CaT,-263
0.4435,yteaqpnzim,-364,CaT,-0.1715,-0.0345
-0.38,dOg,vnaqqxnbzc,Dog,274,932
544,Cat,ztdmfjqsph,ocaggdbhtp,zfsddyjkmy,427
DOg,ticaufjxmg,-0.1665,rxcwylsbdz,Cat,bktqnzddab
-583,CaT,800,kbgjhedniy,-0.071,440
-0.405,508,-779,-0.2205,Cat,0.103
oabugcpilb,-717,dOG,CAT,doG,cat
-0.0985,-0.493,caT,caT,hzjzrlaxdu,imovbdlihm
374,0.0245,-0.441,cAT,0.0225,0.108
Dog,-476,-385,CAT,-616,480
cAt,wgvmmsaeuq,lhotmowrtu,DOg,-680,0.0535
CAt,655,217,CaT,-0.321,amtbrmcdgg
-0.101,caT,798,-559,495,yumytiqdsm
-0.483,-805,908,511,0.4875,761
-0.296,lzenbligam,-205,DOG,CAT,0.294
0.1345,plcjxgprge,dirqkpwdqi,DoG,lmzobekzqo,Cat
ghxyypnwlo,vdaksicdyy,462,DoG,asipoyekrm,-0.008
DoG,0.4925,-298,dog,-0.47,-576
347,-61,693,hkczgzuziz,-0.1775,0.0745
-352,-0.166,CaT,DoG,-414,0.433
-0.014,yketohntgo,-0.2025,0.1605,189,-238
otqwntgmkz,dOG,drztwjwlzs,0.238,-0.2185,ujdqvopnnl
-0.3555,zwvvupdidb,-334,txicccsknl,-30,-828
Cat,0.495,ptrltbclkf,guhubtjxay,-916,0.4405
423,jrrylxbbwy,-0.4865,Cat,dog,doG
0.078,wpunstuone,-881,-995,cAt,-125
cAt,-0.035,-0.2355,dOg,dOG,-393
0.122,difpezisua,doqnjdccog,CAt,-0.167,eudckrguxr
-870,382,hvzbxtouzx,Cat,lygzapxdhl,666
0.0885,0.3945,-846,0.195,ltujnflezs,30
-477,-0.2155,0.049,cat,vlgazrowmr,-786
hgjhcnixse,616,-703,Dog,hrafbbcaxo,-0.081
pijojwfjfr,-216,0.1975,cat,xnsxldacha,cat
-0.292,DOG,bhaoapgnru,doG,wfxsfyymkj,-720
qghgxuotiz,-973,-0.2785,cAt,piuopbesax,-0.403
adowclclip,226,vutjyjlxcb,Dog,-260,0.4605
0.4885,0.486,efvedtlpeg,DOG,CAT,-194
0.248,0.153,0.2775,dOG,qdmqhatyhr,fbsqmoacxs
0.035,-0.3385,ffrreywgur,-0.2645,-637,-694
bnbotnbfil,249,553,ilxpxelpec,egtwfotmqv,DoG
-0.14,199,dog,CAt,dOg,835
Dog,ovrbvcratx,469,CAt,407,-0.345
0.1905,-0.493,dog,CaT,0.318,0.148
