mzujeyufei,fjmnnaxxmz,baxgxuqqkv,sildsnxtbt,duwyfcferb,gmxndyxkcm
-0.234,tapqhfmspp,dOg,-0.1395,-651,-652
xrfrldqscr,-523,nafdxkcbml,dog,0.1695,zowsynarjq
-0.3785,0.4595,-957,aumkyhqkzx,0.2705,wuzdcvmwfc
CAT,124,-244,lxezxgmfxc,-241,0.032
747,0.25,wgxbdhsfxa,anigjbwbnp,tpnqfonxmn,qitffuyeot
lpjkijmjxr,xwvrpedmgk,wfmevrkzeh,540,-0.396,-0.2695
-181,-0.063,0.4235,cAT,-0.2255,913
DOg,fnmyrramgr,-0.079,CAt,dOG,ihekkssatn
0.2015,167,ruqynjpooo,-921,732,-0.432
786,-18,-0.418,581,kcjmuavnbj,-305
-0.199,0.063,808,0.389,622,-0.2305
cauvjmeshw,696,-731,-0.463,fktkznogvm,-0.429
klxsghkkbx,-5,-0.378,dog,cjkaxohhyk,909
azxjsgzkcf,-447,dOg,470,oleynenlfo,kbmbzkwllf
-0.4945,sfucuqjclg,0.0375,-0.3465,0.186,-0.0235
-698,dOg,ftumjoxdgp,vzdlxnozhh,tmuytyxdxx,0.083
0.438,-543,0.318,CaT,-0.4845,166
-0.1285,stqkapxlhy,cgdygmkabb,Cat,313,-442
vzxjltxgnj,0.1245,0.306,0.33,55,-992
jmxmdbgcgx,kmrpumoxfi,-546,0.4185,0.221,507
dOg,-451,cat,ldzymrrmoq,Dog,caT
DoG,CaT,0.1805,sshhtiknsp,-0.0685,-0.2355
-0.08,851,16,0.1745,-0.2815,nmtgdulzmx
ejtvhrowyh,ijzvbraqsw,CaT,npgyvkvffs,733,-0.0915
0.062,xssdviltzz,-230,-140,735,CAT
0.295,0.2245,xzqscyxxwu,dOg,btrpytetos,jpyfmwngte
iibdlfhyyu,lddvpyloaq,887,-0.088,358,DoG
fnrcvpuybi,0.269,0.1475,-0.3315,dOG,zmfrznxuhq
bhyvhyrrmh,-0.421,dOg,307,yfokzhgxnp,-642
0.124,230,0.4165,356,-0.289,0.0605
dlwqqnctkt,vxqjrogupw,nxsfglaxpk,941,-0.1305,-0.268
0.477,Dog,315,0.089,doG,-970
-0.4525,697,fanghoihuf,-0.444,DOg,vwzrumwjyn
-539,inehgthogw,-353,482,-404,-765
-0.4795,dwpgrbncah,-151,793,0.2155,-0.2905
69,352,0.231,glehpcfqfm,dOG,0.1675
fmyatgtygi,-0.4785,-988,cAt,0.099,335
kglwdrudex,0.2715,bplugqpkza,tmqiuwyqrk,-813,0.4955
ntwipglpqx,305,986,0.3825,598,-0.3665
-144,stqatylnhu,xpetomrjcu,gpwyaulwos,yxuqfkjljb,yuatryhobr
0.4485,DOg,-0.0805,0.3215,DoG,104
cAt,CAT,itvpzxnnfa,hopbqdraqe,0.06,-724
xtzzypaqvp,-0.1665,-0.2505,-609,-0.336,ijtpwtzgrg
ojittrwsut,pzqiyxuulh,-977,dOg,DoG,Cat
-247,DOg,-0.0065,-279,hktcctzjpo,80
-0.2355,hcqndqhmtp,0.3165,efayjquson,CAT,422
ubxupajmvz,0.254,-0.3445,Dog,353,lmcyzbeuge
gjcowjcvin,0.409,iduaivkzvo,627,484,axkiqvvban
DoG,ixvwtnnxhe,rehlruuljc,CaT,rogmxqmdnn,xtgtmkacjh
DoG,-203,dmooeybhgb,DOG,Cat,rvrqqplcgw
CAT,-0.3725,0.493,0.325,-659,-652
xmhiaweeql,-0.396,doG,qxydvidfxm,308,sgmbetyhfy
0.3355,Dog,DOg,-0.426,dcbhlkbdlv,aingsfdpuu
dOg,752,-32,-912,coxayhmbzz,DOg
DOg,0.1025,kgyhdtqcss,cAT,-0.316,1
0.1435,836,DOg,510,dog,-0.4375
fnoojsyhry,nkargcmaut,Dog,sirvjflqai,ragcipnwiz,403
twgcbkppcp,rlyaslzuok,ychgjfuxvr,-0.025,-0.1135,209
-532,-0.167,103,-0.232,-0.2165,baavmjpvuu
neavgjjsyf,-0.481,amipzxehsa,caT,cAt,rvadfjxook
-644,hxdvwybypq,408,0.4825,qdeljetmos,ujpgoaegpl
-878,fczncbaama,-589,-0.1805,-724,zqvjfwgxvx
DOG,odbgbxucfl,drtpgtxuci,ahtwvgdgyz,-0.333,-256
cusnczknem,0.281,Cat,zoudlxnpsi,nhqytqrkfq,0.0585
hasfhgfrqa,-0.499,0.454,0.326,atnwpgdddx,-999
0.118,546,-0.4455,lnyykuamln,406,urtnbmkrvx
148,CAt,0.447,cimbmimoia,reevnybbcg,okaviugdfq
0.1865,fyfijezinc,mpzrqondhf,CAt,562,0.175
dOG,0.217,xogjlmciow,rbicdiijsx,doG,-0.312
545,aeosphuihg,-556,0.4335,olssdpswek,dOG
-784,CAt,mjbylryhys,DOg,DOg,0.2685
-0.2295,-427,0.2115,-0.1325,DoG,0.254
0.281,-461,qwtjqvjajq,607,Cat,-0.4575
-0.01,ncpcgxwgfv,0.0565,-0.0115,rvloqbgiok,-445
