hqruzxbves,dztueocspy,peT,cxfhdqwrwn,nqrqibanwe,zyvczbnyba
dOg,-409,dOG,-0.005,-340,-0.2025
cAT,homkilztmj,caT,vqrqvvcrhk,-0.092,-0.1665
jzpexszjtm,-396,doG,0.2825,-0.4835,-0.4965
0.0015,-0.2245,dOG,CAT,-369,blqevzsnpz
aywyybkqnu,-0.111,cAt,DOG,0.3255,-0.1145
cAt,-0.07,dOG,136,-171,-606
-0.318,-0.3695,Cat,939,-0.3385,qufqtklvcz
-0.239,0.059,Cat,-0.0575,619,dOg
560,DoG,krompavxus,-0.094,kpnlcqdirq,0.166
qyrcrnhrwz,dOG,CAT,0.2785,-319,bohrqrerof
dihkzgetlz,-310,DOG,0.366,jznkycmwrw,-0.0755
-0.386,nvvsbfoksm,cAt,823,ytetvrglbh,jrwohakgrg
0.458,-864,DoG,652,rhhamzjzqj,dOg
-381,rwlyuuktbz,lqsmgaxfkd,-490,0.3965,-352
DOG,iiwtsopkzw,CAt,-0.104,0.1915,-0.3135
-0.4155,Dog,dog,czggqojdnl,-0.129,dicibtrlqk
0.1845,495,757,0.3325,384,-616
hiekkzrcar,cxlwgprqew,dog,0.4805,556,bilpbazykq
-349,CAt,wliutljnyx,-295,-0.448,yvaqxygbxg
wtnxzgfwri,doG,dOg,qfgliuyvyc,0.101,-726
0.1955,0.4835,-742,njhnhezara,-437,-328
-995,bqjpgpsscq,dog,-43,985,DOg
jrpwtkglxq,-0.0595,DOG,xwtzhexydx,cat,kzcxysjsrf
qplorscyht,Cat,doG,htwspmvyzq,anqilwrvtg,DOG
-0.183,0.3775,Dog,-244,0.2225,vscvugaqso
kizgolqtdu,htyvrydvjj,Cat,DoG,-0.29,929
wcqmgujjzi,-0.304,-504,dog,-0.439,769
-42,fhzisrdpii,DoG,wdeeyuadgp,389,Dog
DOG,-0.148,-0.092,tfiwsimdha,-0.114,hwxsjxeanf
537,0.226,Cat,871,cAT,umbdolkhjm
dOG,102,CaT,705,594,323
71,-340,0.0215,xwvtuowclf,826,gcfdxcygax
zmcysuepzt,0.0405,342,DoG,-74,CaT
alnpsgnwfg,-0.318,dOg,-623,caT,sczyejwmyi
0.3595,-776,cAT,0.434,-0.349,-456
npvfrtmsdl,cAt,CaT,498,caT,sezrotjujm
mqzuymbbtv,cAT,0.201,jrvfkvarpj,rmqexlqjft,741
427,-0.1155,DOG,rzelpfntwx,lmlzxqfndg,-164
-0.2745,nafdzhifra,cAT,caT,651,738
0.139,361,caT,CAt,skovebmrzv,cat
-0.325,rkmnoerjwt,Cat,0.0065,caT,0.0255
dymnvdadsr,-0.4715,DOg,-0.4555,-0.377,-0.1855
452,0.049,DOG,cat,-0.3545,-0.0115
