qybpadhadb,rgrxikklmq,dtayncmcys,Pet
ymrgoypjhg,CaT,0.0475,doG
yrjcjnreeh,-0.4815,CaT,CaT
dog,0.2795,-0.1045,DOG
lphlknmskl,-216,dbjkfidixp,CAt
-0.066,yymtbybkow,-0.0125,cat
0.2585,-746,dOG,0.257
emtycokarj,-220,-0.066,CAt
CAT,0.4535,-0.3805,dOg
0.314,14,CAt,cAT
qnfntzefpq,-384,havusgbfsw,dpmdhydxik
248,-0.0425,0.216,cAt
-127,-0.4445,fqtcqwjybp,0.361
0.3235,-0.365,-383,xqadfoglyd
0.143,mtxmpwealf,wfvdpvmqte,caT
ygryeiosah,cAT,512,spmszmguxr
-58,-738,0.3875,DOg
-0.3015,52,xztvbkhyyt,vgfrzmmgvh
-437,aahwmmfoqt,vufjsfubis,Dog
