ymdymxmvex,cokaukwnus,leqoxsxtwq,szvebubcxk,awxznscbme,xvxbmvoxuy
-0.4105,0.312,245,0.1,-58,wuenuvdazn
-586,Dog,884,399,-312,-0.0815
229,CAT,xbdnpeqxmq,nhqcsnzfot,0.197,-915
mfzbmzszkw,-774,clphcmwddk,txwjrvkofd,-424,-0.167
-707,dwfsdlvotv,0.0975,-0.265,wssbptsfwl,cat
ztdsizkbke,CAT,awuokukmgj,0.4845,-0.0045,dOg
cAT,dOg,nyvdvwcewi,242,-0.1765,dOG
DoG,qygxdpjdxw,524,sgtuhxsfno,caT,-9
-0.2915,-296,-220,75,0.302,uurayztjuo
-838,-672,0.277,0.14,457,dzymsvnchl
0.484,-833,0.149,-0.2545,iutxrwrkst,59
dOg,ujdratiedg,0.2515,0.469,yypkguaapi,0.3565
650,-0.489,-496,Dog,-650,Dog
-0.382,511,doG,nejohjzxxj,0.497,117
-755,gqtuajwnea,DOg,476,ekbstsrpnx,zrcmckckco
116,uzkzvaagsp,cat,caT,-0.264,-0.2505
dog,-0.283,-997,339,dOG,0.0445
Cat,dOg,CAt,-0.1215,umliqdqrly,0.0295
iryzpxnjog,Dog,-389,0.2715,-0.285,0.4835
CAt,-344,vxeaoxncta,yujziteunc,bjikdbptot,zlpfruupvv
609,cnfkjxbotp,0.4395,jinsnnuoxn,128,cAt
0.4715,muylzrfchf,-349,rihveumnnw,mybfqoofyk,dOG
-0.371,DOG,mghghmhkpg,0.2855,lwlfktkxsh,kykbrmzagx
katotmutsz,CaT,dOg,mvcymsadep,-672,0.106
0.105,-245,-0.0555,mpcxoptlln,-836,-103
-0.386,-0.1425,-0.3085,caT,-942,bmgmulsnvv
