Pet,zylewqtzei,zqsmyjrvij,ppjubqwxgf
-0.3565,0.216,422,Cat
cat,sjoxgdcywb,0.43,ddkxhbptcg
DoG,-0.225,-0.059,famlbsrpah
cAT,0.311,xwnowitrln,cat
-54,-782,moeidcdmpq,-389
DOG,tkfpwwsnxv,0.009,nbgppkrqnh
CaT,nkxnvqqvwt,519,-0.2355
CaT,-506,-386,jjcczelvqo
cAt,cAt,doG,514
DOG,cat,cAT,cAT
qmgmhntefv,sdgzxffdgo,cAt,mdlkkppgoo
cAT,jtwlazvgno,ymqfotxytb,671
DOG,582,mucvnvrcmq,xccfhqlpcd
DOg,0.167,0.083,cAt
-0.2505,phvsfuwptw,tmwjpgjsdd,0.3115
DOG,-0.4055,hzmmbxkodf,377
-0.12,qwdyrwrfif,-0.4185,ptrwxbpvmf
0.092,adpadutihb,hufxdcoyjz,-0.125
caT,caT,-0.181,26
mliamecpdc,-0.149,DOg,-0.4835
DOG,148,tplanuktdr,-627
dOg,ouqlrkpotj,-718,-959
DoG,kqogjauppz,-0.437,-0.2835
DOG,arpoobfhla,-422,0.0895
dOg,urvpxnqmqd,608,836
