dpcarewqpz,qqepynbwlt,PeT,nialyauntx,vztbnopass
-70,-699,dOg,792,-290
DOG,-0.165,97,caT,0.128
0.1875,simqpmorhs,DOg,911,229
0.1195,-859,-26,0.447,365
iqbsqtzbpu,ulxlxalaxg,jwlapzrnin,caT,xbiwwkckdc
642,guiyrhxkhf,DoG,-986,flugtqrcnc
647,-982,Cat,Cat,392
-0.3605,-644,cat,hwdhnfkpms,puabviiyjp
iqyqmvbcgi,-849,DoG,442,-688
982,-304,myytnkxgtk,cAt,-618
-422,0.329,CAT,0.085,evgsrrelkw
DoG,661,DOg,zvlewmllrb,CAT
627,cAt,DOG,donjdbxycm,-852
nsvpenzbko,621,xpralxydfz,tsjbiyhquo,zvceelyexd
-121,753,-0.163,38,-0.069
-0.189,0.0875,DoG,pgfnbefvzu,dgpbzqcxhz
-574,doG,cAt,-378,DOG
0.0455,-0.5,DOg,-0.147,-0.441
atcivqmvxq,-0.0965,cat,DoG,0.2835
sbrfgbjffe,0.122,cAT,krvowglgih,-130
851,caT,CAt,516,-0.4295
nooceqrlei,-101,CAT,-0.078,-146
165,uuymgokzto,DOg,-0.375,0.4515
fciiqaaqlu,aevfdesapl,cat,-0.2125,sxtzbgfulv
cAT,475,Cat,DOg,-0.352
575,-0.336,DoG,-182,-288
CaT,-862,0.2465,0.2585,-968
CAt,-0.0475,Dog,cat,-0.0965
-340,-702,DOg,-108,dOG
tzkennquif,lfrdgmxqpi,0.21,0.288,590
0.4485,0.3155,DoG,-115,dOG
oubeudkeyh,tguzroepqq,dOG,zahnkwztaa,0.2145
0.2635,mjxibvulwl,DOg,0.0415,-112
244,dyzfntggwc,DOg,0.381,0.066
89,iyhafrxskg,dOg,arvdwzthhs,-0.103
pcjdvbprtx,0.141,CAT,ytawutcwmt,-0.0795
211,-0.1765,cAt,0.211,313
-238,223,Cat,0.381,-0.347
0.088,wgeotgzwff,CAT,caT,gnqkwgilbr
-0.4265,CAt,ikdygebxdw,oivyddxigg,-410
443,-634,CAt,CAt,0.4005
-531,uxncpealoi,DoG,-485,izdhecffoz
608,0.154,CAt,-0.0865,doG
dOg,-76,dOg,ydckuafwih,ycmltsecfn
kyimbfttdk,CaT,DOG,0.1415,985
75,oqvdlsghxw,CaT,0.0045,pdglvzusxa
Cat,-371,Cat,-0.1285,-371
Dog,bdcrafgysm,nbwtucjzbe,vwmqljiptp,-0.184
0.468,qgrjtwspty,-0.2565,-0.4965,bxdgjdkqrx
dog,itcxogjzkj,cat,-0.422,CaT
dilwjptgyg,-0.191,denckhrxre,0.091,cAT
0.092,-377,doG,hsfaayqfql,898
239,776,Dog,dog,ewftzdqgri
-645,acvgtwrrxk,DoG,CaT,-667
svlrwfvhoe,-955,dog,0.187,314
dOg,-788,dOg,-0.322,0.3505
Dog,cAt,Cat,-0.4685,589
-0.3015,CaT,DOg,dOG,CAt
-748,caT,cAt,ndmpvzcxky,caT
0.2505,-0.091,CaT,ymwqssbdba,-317
0.041,-938,CAt,Dog,izxmiumakk
-709,-0.45,DOg,kjfbtgfisa,-270
epbukoesdm,-0.3595,CAt,nhctohuvtn,grejxvlsqq
oxtdeklvru,dOg,dOG,849,nygrpazdnm
0.0625,dzgyhanyzt,caT,172,181
-0.1665,0.1145,DOg,cat,DoG
627,vicrpojyqr,caT,dOG,0.195
DoG,0.404,-0.258,231,doG
989,0.0925,caT,njktrortgh,CAt
lbfjhphyfo,820,CAT,mmpidbtkla,0.441
pyunlcoebh,-552,emaknalekd,495,norxfwcdgq
ikiihatbjg,hfolwxlgnk,DOG,434,DOg
-0.273,fnolvyuiez,dog,0.0085,tpoetrnunc
-639,iheydwaoic,cAT,-0.1935,489
aytzynhjsf,jqhpgrdwbd,cat,Dog,-694
nlanbxdbbc,wzfoirbcte,uohprfdwvh,0.218,509
0.2795,dog,-900,0.2675,rnetwizoam
-0.45,0.0725,cAt,lsdliudcbt,342
zgmyejqdbm,301,dOg,0.1,479
-0.3115,-0.109,rnszcjnrct,heihxcqbvu,69
doG,-0.306,cat,-875,179
0.1615,495,CaT,xpmqxfurur,dOG
0.319,stohurzzvk,Dog,zpjmtlzwvz,cdvbtptstj
dog,-198,dOG,-0.3665,-377
-0.1555,443,DoG,-0.111,838
