hjffcczmob,gqdwkafbbx,empixwdyyb,oxrbldofdd,cuopmqaoqp,bypbvxseoc
doG,DoG,-0.4315,Dog,CAt,tobkngwsnn
-489,-7,-76,iaylsklfmr,0.3755,caT
-0.457,-0.4805,-0.4925,0.3645,ueydrycmso,320
-0.0575,Dog,bzgcvislja,gwhntmqueb,qtwczoihji,-0.4725
0.339,aykbkljaxi,0.396,-610,cAt,wuhmufdsxl
165,plievkifsp,0.452,ehzadenlqd,0.128,rrvbkoptnx
-0.1905,cAT,xtxzoqxule,-339,CAt,616
doG,keguuhyuoc,-832,-817,-0.474,-0.0185
0.1905,wfugwkqgtw,-0.0915,ylzmbcjeur,586,zfsfadgrhw
dOG,wpidfuwyzm,-170,CAT,539,-388
-0.4095,pgemalmtfa,-77,0.1815,oyrdqprjuh,-0.314
610,-31,cat,DOg,0.339,129
zfrybaysez,Cat,ksgqbgzvrx,-0.218,uzgkmpwgzc,274
0.176,mzqkbuziub,-78,0.258,ibpugnbkqk,-975
dog,0.3925,0.1505,-429,xgjigwqdxw,-0.3395
DOG,0.021,dog,-0.3625,-637,wmwscttcjn
-0.407,177,0.0595,-138,dybjyyihcs,788
774,805,-0.045,556,ysvsfsbsjy,pprumyjvan
-27,932,0.0455,-912,DOG,0.3195
caT,hhswlgfsxb,-0.058,781,CAt,0.059
nswaekcoln,-461,-250,-0.352,dOG,udzukbfedz
sonrhrpngr,-0.005,-0.2485,grpjpijjav,-0.428,-0.2635
-393,CAt,-738,-0.0405,gofylugmsw,-0.0465
-680,qcqcbleipp,DOg,-0.0095,679,230
kalfbehifk,-0.2095,-590,0.474,cAt,okzkyxffzr
484,980,0.292,htgydaaiqd,0.4505,565
-371,cAt,bucbvlzfly,uttbbpomqr,kqyjfwelnd,petfzbgmsq
-0.0125,DoG,618,-0.2345,-0.112,-0.342
-0.0555,tfnaiqphsm,caT,cAT,avykcuyfiv,-971
dOG,532,oxwbdqosgn,hzrmsmhqrn,DOg,phudqzzozp
-61,-755,DOg,zznmshekua,0.4725,DoG
-535,0.2445,ulvkwudwmr,0.105,99,ybbiwqxzjw
0.375,cAt,fxgrarbozw,lpgctaseud,qnkpujjvtt,-171
5,3,CAT,DOG,pjsgbqkzyt,-868
-0.2865,269,99,tistmzkcpq,-0.055,733
tdwisozfpd,-0.174,wvzaxoujsm,0.1535,-12,kyockobteh
0.1595,-23,-0.0515,caT,svtqvjcmgp,khitenssha
Dog,-0.2605,gajqydnwvv,-0.3945,fjnpmareyh,gasvnuramt
0.1455,-0.4535,dOg,0.489,gejqrhmjvz,0.1605
fptimyiezf,0.4095,-0.3995,-0.4245,-0.251,gynrjhmkom
-0.2645,cAT,-53,ldahbjsdyy,-819,124
-0.4415,607,dOG,Cat,wharkxmuvy,svnreiovso
583,0.2055,124,ungzhvdamx,-0.2745,0.4545
ykfdqmeuiu,18,DOg,zohxcfheaj,-680,697
-434,519,0.132,DOg,-0.458,0.0665
tilbknrvfp,ceapfhhjoo,zughllckgb,-697,yyfurkomej,-736
tnwhinetbc,cabsurjaop,yenmnnwzfd,nxzhntmokb,rmpjcdqrab,DOg
zxstuqomsm,-0.3675,jlrpbbydwb,ayuneaiyyk,-529,988
0.035,0.2305,cmgjpyyele,-0.3015,mavopdhrle,Cat
xetzhahjgs,CAt,gbjdsqosdv,CaT,doG,225
201,-0.291,apjjknxizo,-263,gkxndddalp,-676
-9,-108,lxkqwxdbwr,0.1485,hlqccaiqzj,Dog
0.4025,378,cAT,kwfjsiadim,976,xovpfxoqrc
dOG,lflqujdyjs,0.3775,caT,73,klxvochafl
ddxvqyqhjm,-0.4205,-0.0925,rogjnvfcnq,nfcjauovhg,105
-241,-0.051,dOg,jvnsiftvbc,-0.0315,njrcsbkegk
0.053,-0.2075,DoG,wrmmnogulw,dOg,0.2275
cAt,DOg,qrzuqvpcfb,fqmlrqggjs,-0.355,ltubabvhvp
DoG,lnymdmukca,-0.3385,-43,vbehcxmvuk,828
0.199,775,-380,zfnzovupse,swvvsrbxkc,0.103
506,-610,qbocjkrylu,-0.107,DOG,0.176
cat,0.398,-294,epxiclnorr,jyypnrybwk,-0.181
105,Cat,127,0.1575,doG,0.3385
CaT,0.126,924,0.4595,0.317,0.143
755,etnkngaoif,-0.101,cAt,-0.206,doG
-340,0.412,evxzxbwuyy,-0.317,-0.4965,-0.3335
Cat,0.3545,-0.307,-0.329,qnwaipvwgu,-300
-0.2615,0.3235,0.2365,caT,-634,0.204
cdoltlbhre,saqcrxlnpi,rmgxivvjen,pnbfyivoyn,snwbonzehk,-0.3385
dog,995,-0.43,-0.29,0.388,369
txamvajyvt,978,-0.1325,kwpwdfexzx,-0.182,342
doG,zhdxgrdntm,985,798,-606,-0.2345
foowziaxkm,dOG,235,hbwxlbjbxe,-0.4905,0.106
78,CAT,776,dOG,iwyefciggj,-0.2475
0.362,dOg,qgmxbecyiq,Dog,jynvuzxlng,cAT
-0.427,-0.3645,589,-967,0.1005,857
hhkgepxraj,ahadluqedd,bffbrpfpzf,-392,250,-939
qpfefzdkxh,-985,rndthiwnjy,cAT,0.337,0.1025
ctfdnpccgh,-224,fkealvhprc,zjtfqpucga,368,-870
flnwixbcnz,0.349,vanogeihxq,0.483,allxvsfrlr,-239
-790,388,-0.457,-0.317,957,cfjdzrhqfj
0.283,kvbialrrik,-846,doG,-0.1935,-0.2695
0.3965,ysqfuvludm,yppizaxaqw,-0.146,tnwkrmapyt,880
qiymeotjdt,-985,-765,-737,qkepfkocjg,ezfjokgfyc
0.4515,-0.409,-953,DOg,ujretfpflh,dOg
caT,-0.2125,sufutohdwt,-130,357,334
DOg,othkhlwtqm,sinmguclau,ojrkonpybv,-644,-280
-0.434,83,gfzpmttiwo,uvygrjocnl,0.1785,Cat
0.049,-0.367,zmnbdeubpg,519,CAT,dljjcyxyow
dhuteitwgt,bgafiuxqkg,-419,-0.12,wsguesxmnc,CaT
