neyenouxps,mfwcbnkrnp,PeT,ubcjwerxtv,crlgahxhgo,xqugjuvcia,takenwkqtk
890,aozmdaavkc,DOG,CAt,rwhniydsls,gxeohlhltk,413
0.095,dOg,0.143,10,-922,-114,0.0545
364,799,oeysofvfca,pvvxdffaso,-0.278,0.4015,-530
0.0605,358,Dog,xxmktrxclq,0.0895,unnhtxmtvs,cAT
urmxuzsrgl,wvlollrmfj,0.146,-0.3285,yetwenaqbk,-987,-0.1675
DOg,0.229,doG,-0.352,pyqqcyzfdb,-754,0.0605
nrepjtkbrt,95,doG,-0.4835,-208,syarvnjzrr,-0.2175
-0.2445,DOg,CAT,caT,238,-722,905
Dog,-854,dOg,368,cAt,-904,yzdpvvdpag
-0.1575,997,-455,-951,austgyferg,0.054,sbeqgbajcy
DoG,0.4395,doG,-0.212,-0.426,-0.0675,0.253
nhzlzdunfm,0.309,dog,-317,530,0.177,fxhiaxfxwy
467,-517,cAt,953,-0.3125,-798,0.401
485,cqwinmwfus,CAt,sfjpldydss,abgpqpwshe,0.3315,ottjiyydpc
cnlbrnzunj,0.347,dOg,tjnkzsiwnu,CAT,158,dOG
ivhbknfouk,942,dOG,852,-22,svnvijasnu,-118
-58,-536,DoG,-0.421,-0.247,-0.277,463
0.239,fodsqeqetb,Dog,-781,ddctjrasjf,jdgnuuemez,-0.324
-0.226,DoG,CaT,468,540,jmsynsozno,uufwtnzibm
