rfpvkoapdk,qsqzqzfcka,nmyxzjmbon,jtgbbtoggo,pet
-461,zvoqozusvl,-0.488,sivqricoou,DOg
-416,dOg,kdfueppmnt,conahsfknt,DoG
-42,-0.37,dOg,0.1195,CaT
tiyhnafvqd,0.1925,DOG,oadozljmvj,yxipoioqoa
-156,cat,dog,dOG,13
0.411,caT,-703,kedfakpgra,oeecaecibl
uceetgjpbc,-0.113,DoG,bplvoymlsw,cat
-160,860,ueercrpuvm,0.286,Cat
726,dOG,-362,CAt,dog
-0.2875,qowilftvbb,xwdysaoqxs,cAT,CAT
CAT,0.247,0.43,0.4305,DOG
rkpjnnxhsu,-287,cAt,lwdxuwsucm,CAT
kldpdbaela,biqumbhjla,-0.1475,cAt,dOg
-702,0.0685,-963,0.1535,doG
zfqjiuhisg,-14,jougsriwfu,atpybjodrc,347
802,-0.173,426,-0.4215,Dog
cAt,0.1965,-698,lvjoujmiaa,doG
497,wufmnmkogq,-456,lpmodtjuok,Dog
-0.177,hduqanlskg,0.4735,byiiouewii,322
0.3905,gscvkhvqeu,198,ispgoepxjb,dOg
-0.1315,-21,svwnzlbfrh,snojjbjvcy,DOg
0.471,224,491,-0.3135,834
891,116,gsonigsssd,953,-873
0.4005,dOg,qcfvqrpfqc,doG,caT
-725,0.391,0.066,DOG,Dog
0.2055,-963,cat,754,caT
-0.2105,834,Dog,-0.296,Dog
Dog,grguwohrbf,384,vucsvkhpvl,cat
0.392,774,0.386,vnfkopairv,cAT
609,cqcidzmrzk,ytvtczoviw,707,kfmdoidaks
cat,drbcqvsaua,bbpfropbat,rebhjsqbpq,CAt
0.138,-624,DoG,DOg,doG
culuzysbcc,urltwvmbws,-0.09,0.041,0.46
0.1595,0.2345,28,okppwkovst,caT
-897,lzjtvtnigl,vdgrhktoef,igfgeyiskq,916
CAt,-0.0215,0.1685,-529,0.3085
DOG,CAt,CaT,-0.069,DOG
-433,cat,-914,471,-338
vmrrieyyyy,joqrurkhxu,xjfkepndzn,280,intejjaqfg
0.3235,0.0115,qwihpneqmk,bodsyjurvy,DOG
490,znnsuoivue,wxdxppavkf,-296,Dog
-60,124,hznlgdjeyt,0.48,DoG
porraeuxny,0.347,0.4685,hueayvnsjg,eatjddwjnh
trobclsuux,xizqyrgszl,-0.495,CAt,dog
42,12,zbiglmajlg,cAT,cAT
woddjauktg,-608,0.231,Dog,caT
CAT,CAT,avkkamzfbn,jmyktdmvkv,cbzzidjekt
-0.1865,Dog,104,121,-0.1195
-526,doG,bhmdmmafvr,194,cAT
gpqxqcrdmb,aptborbqor,0.2005,DOg,Cat
520,Cat,kgyuycuwmu,-177,837
0.2485,0.0795,doG,-0.445,cat
154,527,0.0395,wlusljxnfv,doG
Dog,225,47,CAt,doG
ltsjhvqygt,0.0535,-829,494,dOG
nfsyrgzefm,yrsvnsafzm,-0.1105,edwmfetdyg,749
DoG,-181,qcsltkkgty,-0.1575,dOg
-211,wfcjeksqbj,qxuebpyoch,Dog,dOg
0.3635,vpphfasqvf,0.2275,-509,CAT
-0.464,-0.169,dog,fsemqqnhvz,cat
-980,727,-0.2055,888,doG
-0.171,CaT,-0.1415,jjmsumtbkv,cAt
lqgndmamkc,-509,-649,-675,DOG
dvsytokgkz,851,-0.4025,qtiycyipor,DOG
216,-327,qmparwfiep,fycaorzvxu,CAT
gldaseksnz,-268,qgsjdlxgti,qkisecbdxr,Cat
0.309,yexmpdwlqw,CAt,0.4075,vptubiifxz
caT,iwdmnhjzsi,-0.01,dOG,769
caT,dOg,734,-0.4695,caT
