gxpcmklqqo,euvlwitvxa,fjrwsvzzbe,PET
aazvqltnsh,-503,440,CaT
qcrltpaank,-723,816,DOg
-0.118,-249,CaT,-489
dog,tzdusefuwx,796,doG
-0.0515,nezmqjnrho,-0.4985,-942
551,bfbbgtmmzo,-501,dOG
ocolxesruh,hcititjcyq,-0.1845,-0.4315
-0.3985,19,-0.275,CAT
601,nghdgmccfv,hbniizchrt,dOg
244,-0.4675,0.3805,0.276
-124,maxaoqujjn,nlglfbrcdp,725
CAt,0.244,-0.269,cAt
Dog,594,gebfnoprbn,cat
0.1245,mcgzkwqybt,-657,dOG
jwikeopdoh,242,912,-0.452
-304,cwhkuxeiff,DOg,228
DoG,xrihvsclac,-0.3835,doG
293,-0.139,998,740
0.2395,847,-3,hhtvbvnrzu
-0.461,0.078,-566,cat
pouhvvcgvc,cypaumbdud,CAt,qcbpuuskgy
-430,-0.4145,-0.2285,DOg
lmbopuhpnd,-0.136,-217,-0.192
dog,aqbyhsulxd,-343,dog
-0.3725,qcdiaolppm,myhkthxqyx,-72
xbrobzcoys,doG,hmvefhchue,cat
CaT,cAT,oxluckepbd,cAT
0.0415,Dog,-0.0975,Dog
DOG,kylzmbigyc,pbpkpczizo,DOG
-0.391,CAT,-681,jnbgssgymd
rwwesmzuul,dsxzlklgss,-0.323,DOg
-0.4,0.4015,-0.312,DOg
382,anlajqgnds,cAt,Cat
-765,-0.386,0.4775,cat
779,-0.2465,gvyeawliwm,0.4475
uxpwjpxxey,DOg,CaT,otaavhcelj
-778,mvmitydqmk,0.2895,cat
0.09,lriukwknvf,-0.1865,cat
0.097,0.2785,zhozhcxiqj,DOg
zdjrsrbwvu,0.0685,-0.4705,caT
lmakmbruar,-598,-127,-894
473,xhkfkwqane,DOG,Cat
-0.0125,512,0.0885,gpqpxyxskq
whpfobuqxv,kyzfjfnhbe,-694,0.4485
Cat,0.098,odxapnpfyk,Dog
-471,-0.4725,yvfafdplhu,cat
jttmrdbpdt,0.461,-300,CaT
-0.1985,nhhyrhlhje,0.1265,cAt
806,swocprteac,zkcybzavps,doG
-134,kdezvehoxx,-0.4315,CaT
worqpglghy,-0.3485,myihfvjfqn,dOG
-729,wlmimnnzio,puyetvbech,DoG
