kuvycklmck,otxgvvjqma,euplefvqzk,riqpxyrowm,jjbguscuui,hfxvckvcpp,qxvbhlmllv
kwoyyaphbu,CAT,caT,-431,-540,doG,958
0.0475,pokkdzevge,-0.477,535,190,tplmzayokg,qgxxpcrmqh
CAt,-776,jzycpighze,lwyczzzdqd,-0.205,607,0.2245
-658,zjhtimlybz,dOG,-0.051,DOg,312,-289
ywdlhkeuhj,oxodwnltdy,45,0.4715,CAt,uhimtakmoq,cAT
cmfakaifwj,-0.118,hagwrmbixr,fcwwqvltsy,awxfxznwmy,331,-993
cAt,622,-37,-0.1315,igyeeftkjd,-0.3855,gmwxkhwdsf
qlfqamagah,tqgmbbnfut,0.225,-0.4445,sgriphgchq,kitxkcxvpe,0.221
jdrgawewuj,0.4545,241,0.374,uvpxlbqidt,Cat,0.383
0.102,DOG,ecfovsrghe,-605,785,beujzrextd,sggqvzzkyo
ablthvhmxf,-0.2245,cAT,guprjtxlqw,-621,orgxrpehbh,bsodqhemjj
cqoxvzupkb,eyjnxleqzh,-0.1665,giqwnpndnf,-0.2475,hfjnparozk,519
746,330,ypriiwvyis,-0.2335,CAT,dOG,dOg
CAt,doG,0.061,0.1335,ofczqxpugl,dxaxbrlhmp,120
xpbfctwrbv,0.255,pnqtefsrtm,-989,lfirwgveos,exybqnsbgp,571
0.012,207,ouwpqbtewl,0.482,-123,rwhmlaiawt,cAt
-0.207,810,dog,0.0485,-0.0045,0.42,DOG
-0.1085,DOg,-194,-0.2445,krrbokrjwi,qymazrvbic,jgprqdroza
566,ipmahycyyf,-0.229,CaT,ajzkzztxsj,0.391,-0.3795
-568,cat,wxvoqoosdb,grtsialvog,248,0.035,-525
qpmwudljyh,dOG,521,0.1075,-404,-231,760
0.188,-0.4355,-0.111,qazwceyabp,-66,-361,kscivmmtvu
-487,yqatbtsbts,776,rkcjdnnxnw,603,721,xhyvufkzhn
0.4185,-325,fhchqyqazp,-732,-270,-0.238,xqgpzyigrz
doG,784,-534,dOg,-915,362,wyavbkrmlm
-786,-12,gygjlaaitm,0.407,745,-0.34,0.013
-0.2675,doG,rzarkmkveu,tfxgbqpysv,nkcmbymxnz,dOG,0.4805
-0.0905,-0.163,doG,dszdlkeuev,msxutansxf,550,dog
-119,-0.2795,jbpwzfmbnk,ixongmocjk,-401,-0.477,0.188
-0.132,CAt,dgnlbevcyg,bxehadxuwk,0.365,hesxngbrry,0.4025
