kxsowvrwbc,kkipafxicp,iexkomvtee,dsekarmcse,gdvtqdmkdr
-0.298,qywreoyfuk,-209,pmhkyggzqh,275
tpiwkazntb,-0.395,bwiwkqvlxh,599,-0.114
-300,0.165,cdpobqhxdo,-0.26,cat
jtrmgdkonh,-0.2985,Dog,322,147
ypmgsqdibs,-833,-0.2935,0.3435,-0.3405
-0.189,-65,ywxjgkrgkd,xqoomlbknz,fjpvlgtfgg
bsxiqeiqgi,DoG,0.118,dOG,wdsxclplhh
CAT,-320,CAt,-503,aryggnhwvf
0.1375,-871,DoG,mccipegeso,vhypfynubo
-582,Dog,0.1165,0.4245,cat
DoG,50,pftsayywbi,-526,kwfbzwjvqo
keagiotmez,933,0.4925,caT,aiusnxeisa
-206,0.216,cAT,CAt,0.1905
fxfvvxyttj,0.3795,fxmmekbsqe,0.1865,tsfuaapmbe
