bafiwgdjpa,deyccimijr,zjeqotqcar
focbvnqchv,CAt,hsfxqtxndn
0.064,omavznybbs,924
dOG,-0.222,caT
gqpyfaftii,710,-0.004
xobsihtoyc,0.2755,gqtpbwvtri
hfndhmimbl,-0.4625,-48
0.4525,cAt,-567
mszuhgmmro,-353,0.378
vsvaumuubt,0.2285,caT
-207,rvisihmqta,0.222
doG,0.328,CAT
79,-733,qljxjsfeuq
0.2025,-0.425,-883
368,ylgezmwtpp,koxonbfmyw
0.3415,chhvmbuzuz,724
CaT,ltoxtdhlfp,rqzcatoxro
jbkvcifexk,-0.1285,571
-0.4345,hzmdrhgdim,0.097
fuluwrdexs,squowmcenf,-0.0865
cat,915,-0.1485
regxtdaygj,475,dog
-739,0.4335,CaT
-0.133,521,doG
80,-958,-0.419
-0.066,zmvhgtxhjb,0.176
0.4475,0.262,dOG
Dog,Cat,plashapitn
nyagaqneey,0.4945,dog
uyygbenzth,744,jrclvkosyz
589,-0.152,ldupgqktdq
221,1,kzuflzwxan
0,arskviwffy,htymhogcmo
samilceonf,251,srbbpaiadb
qilrzdbxsv,966,-275
923,876,ayhhyhlyoz
