PeT,trafprktgp,kgggufnzyk,zpedietsil,vecfdfzexl
qeyytluedk,0.4095,cat,tgmazrjlvg,874
CAt,-0.313,0.038,-535,0.187
0.4655,31,-0.377,0.1945,Dog
caT,lrdiipezgp,Cat,vixkzyzpfx,udlytgnvop
0.2625,-0.2275,0.491,fkhjooqxpw,866
CAT,dOg,-0.026,ckewdpyvrp,-0.3425
Cat,-0.374,-38,vjnkppjscv,-249
cAt,fcdhglwflf,0.387,rhlhyljulg,-753
Cat,gqpapoalfh,-0.3675,939,-0.291
yoykxqyibc,hybwrkjwkb,CAT,yzjhbabsyq,-895
0.0085,-735,0.499,66,0.349
DOG,0.1015,qnlgpukiih,-283,0.2525
DoG,-880,dgccqzzuad,0.2205,piedsnboxp
CaT,-0.411,473,oissbcpizv,22
dOG,0.204,-461,-254,wqagsnetmr
cAT,dOG,pjteohyfng,0.0985,doG
dOg,dgcxlfohjt,llcksalzkm,xrpjgfostd,947
cat,sjehxjgxtt,0.1005,522,-0.3655
-0.4605,-0.175,uvsqchoaxv,cAT,nvnfreczbj
cAT,wkvhiizmcu,0.451,dOg,fumlgqeytb
dog,enumoajjlt,nfspovquzm,777,0.4815
cAt,dsystvkchl,xaluoxzjqx,-855,znltgbcwqp
CaT,-0.34,141,-0.487,-64
dOG,uynpofbbuq,-859,Cat,-0.3215
axoxniuito,CaT,796,-0.489,0.1775
CAt,-563,0.323,0.3125,-723
-868,-0.2705,0.187,0.2805,385
CAT,bxsejekdxw,-0.3085,cAt,0.1145
cAT,968,quchqxjrlf,awmfmbozrd,498
qnshvqznou,CAt,-0.246,CaT,0.249
cat,yjqmunmdxg,0.155,0.246,-0.184
cAT,0.171,-6,vkqrfeblow,0.371
-0.4565,610,tcjcztnvog,nwsckeakkz,-0.2155
cAT,876,-35,-0.227,0.032
387,-279,caT,-0.4125,dlsygmxdhk
dOG,dcahmnhrdn,weebuixyaj,-0.3425,caT
dog,cat,-0.3355,tfrvxzlqpy,-0.4935
CAT,325,isgacrpwih,-0.2465,eaoebrqsqn
-0.1135,939,Dog,lcxwtoaezg,-0.1255
caT,566,DoG,gvmckrxivj,-0.1635
caT,kswjawighs,789,cat,-0.0985
cAt,-224,-62,ayabkgvdgk,614
CAt,358,-114,qlvzmaurff,326
dOG,tplijcrlac,bawfuroaap,730,DoG
dOg,-192,lioambphaw,ydfagpqhry,0.4185
DOg,DoG,-0.2305,-0.1805,qblsqvityx
xfxvtjnxms,-0.394,307,DOG,dOG
dOG,wrwrhdulqc,0.2675,kheyzbvdto,fqvamplurj
-974,814,giejqbvppw,-144,-572
0.4815,956,0.032,-237,dOg
caT,qtraheqehn,-986,dog,dmjgdviope
Cat,caT,-0.301,qvxwposhlk,yriduhojva
cat,nudeytgviv,408,gyevfnnxiq,Dog
dog,-865,808,-0.15,oeflfbadql
dOG,okbjeorvkd,751,-0.444,-591
-585,-500,mqyfeqttiq,DOG,onkuftwyik
DoG,-662,-282,-359,-523
dOG,ulcnkglxqn,DOg,0.1675,uhmrrhjnbq
Dog,ryqxixgmpp,0.2855,cat,-437
-0.2225,-0.341,pqjfbnxura,-19,-0.025
DoG,doG,0.442,dbizecvdfh,0.0625
CaT,-0.422,0.1465,439,feuxuscvmg
677,0.1035,-623,0.183,-832
Dog,txnxdpkkll,-0.0845,0.1955,-839
Dog,0.261,dog,-0.0635,dqwrpakzco
DOg,75,dlusmiaiiu,scaqyktknw,yzmjxidsym
Cat,mexrxkprtw,nhcuzqndao,zentguhaes,DOg
-0.339,CAt,35,103,841
cat,0.1745,bburzodmmm,774,scvwcnygcx
cat,-224,0.396,-0.4415,-0.431
dOG,-370,-0.0505,-0.361,DoG
cAT,xleludxeot,wjnhnguzbp,-0.2745,0.1665
-743,0.4155,978,-0.2905,-0.293
caT,-245,zrbmohxohh,-0.238,-851
-532,-248,0.0165,748,0.1755
dOG,0.1525,rggbceequy,-814,-548
0.423,-0.343,-509,-365,uootrxhodv
oksdenaizt,0.3525,Cat,ljjuepztny,-754
DOg,itbicaqthw,doG,-487,dOg
dOG,DoG,-551,-0.1915,-0.451
dog,0.4685,amureqadwo,-969,-489
gfauxijguz,-0.411,diowiabihu,0.3205,-0.238
DOg,-333,126,-510,-0.228
dog,bsxisgpjif,jdxfvfuhvc,-0.1095,880
dOG,-809,jpojvnhjhz,DoG,-345
cAT,dOg,cAt,-861,rhptrvzepf
0.311,344,eznagkgigo,qstiuimtuv,-272
Cat,-0.0565,wmrcecztqm,mhyrqvwebn,dOG
dog,oelkiopasu,386,777,DOG
caT,-0.4335,-210,0.06,0.0005
