idbcppnsto,tdzhtiuncb,ijxtzbhpmb,wlfgxtbecb
evademlngg,-0.397,-337,-0.0165
hhcuqyucsw,527,CaT,dOg
spaqebgevu,-0.014,uwamlqxzyv,tsplraqyvn
-0.332,0.2415,fnetwrfabz,385
-0.069,480,-542,0.151
0.2865,mdgmcvxuxi,pasezncfjd,doG
Dog,kjbpezerka,isagpvyyjv,0.381
448,xedtunykzk,-701,caT
-0.487,hoqivyrmnv,-466,-0.4495
-335,lcyvyhzbvl,-572,cat
jmkussiedp,bpbvdactyn,-796,mhjqerfekz
qgcazbdqyw,rpgvupbdvl,caT,-444
gmotojlpge,etkeyvzlel,-510,lxbrufzbre
-36,-101,-0.152,-585
jkcwbfgosv,-0.161,-0.071,-446
DOg,0.4525,-0.14,-937
bqtvznrhxr,DoG,-0.4625,ykzypimlwt
781,pcqcqbqkna,wtcktulvos,-0.017
0.482,ppkmbwftul,oopgictewj,-234
DOg,jxujwvwyga,cAt,caT
CAt,504,0.024,0.23
yblotaaxpm,ecmlofdifs,932,0.1955
434,-513,0.4975,-773
-0.331,132,852,972
314,-817,-910,ftvuvmwbwj
0.2335,niajnyzlvn,-538,doG
32,sqmwslrvbg,cat,ghfbutzahe
npmfdzfyww,-654,962,paqevpvcro
kchrhwxihh,330,-104,-0.359
badjpgyiwn,679,-111,kqupaqnnfj
cAt,387,0.071,-0.0985
0.1325,-363,-0.088,xehyqddevg
-709,doG,0.2625,ooctwxsvyy
401,219,Cat,iaqhkrcvhp
0.4275,-0.3235,cAT,-890
tclmtreezy,-0.1335,exlpofbxlt,zktfncpzia
-0.4315,Cat,iyfgvyfxnc,-0.0275
nvxgcwkccw,305,juvovhhrrz,-0.1775
339,982,482,-840
