lzatiwgenr,bslpzjiehi,scujvdfgha
-72,fnnqmxelro,-63
dOG,xzmgoflexu,0.455
vqiuwnaqvh,-0.0245,0.2875
846,0.1295,jyczsxnkiw
awxcnqmvmz,-0.2825,cAt
DoG,719,-0.36
0.346,-0.1175,ihagyzphwg
0.4,-762,xrwoemcwka
qxtodtzvxp,0.015,0.098
nmlzczhtdk,0.361,-0.2775
0.193,bdymrdgenu,CAT
prqxrbylra,0.276,0.488
Dog,DoG,dOg
-0.354,0.3885,608
dOg,saykcdtdgb,297
381,-0.4235,-0.256
603,0.4235,-0.259
-378,-911,0.2475
0.439,0.4945,nfebdsviuo
-893,532,0.323
152,cAT,doG
nihoppasge,-231,agvmyuukpg
caT,-359,dog
fbaphofsvv,xhdgcsauix,-0.1545
zfcnxtnbvh,-0.3855,zawtzgmlvh
jnufpayqhn,DOG,0.262
764,vltghnfwdi,-678
luddicynxe,emrjjrysvl,-31
600,467,awsmwjhmwy
0.072,695,0.442
876,-0.37,-485
mxiewkcswk,cat,CAt
epbtxcxnoa,-467,jsaorjdzza
82,-0.3555,17
-41,qgtohgxegd,-41
CAt,0.4075,klkhydipkj
0.035,wkiqpcxoil,0.2925
-0.32,-764,-0.2265
saqqblfxzd,halyoumhqt,pqauprkvux
714,initcbdghc,yiypbnhgqw
636,-0.2645,Dog
400,-480,fboueqkjuz
-0.004,-2,jmxhnchiwc
615,pfnauvpnmz,160
dog,98,-0.4785
kvckmtjbdj,-0.3245,cat
uyiorbixkg,-492,-0.051
Dog,dog,664
kllsarmova,CAT,CAt
926,691,-0.307
mrmesdmwbm,kmffppgccg,-294
cat,ofqhkuwlzm,709
-0.4805,DoG,cAT
tuwxpcvaqm,358,-917
obuobdonxi,-866,CAt
tahjwofgpu,0.4915,lauquauqim
-0.0745,sxjczbavvp,665
-0.2885,natigcbheb,frgatlanqq
750,xhldmaievc,DOG
cAT,0.0255,fjgmcvpbxh
mloxkmvljz,vsbyjsbazk,-0.162
-982,-0.31,241
vufoyskltz,jtfymcqezo,jbluzilkit
caT,lstbykqvgq,cat
-932,cat,cAT
eorzmnzvnf,doG,-0.067
-0.103,xnadzslkfk,bsnkcjqrix
dgytbkfgwf,712,devzdryfge
Cat,-0.1865,557
fubxpmtrtc,fdzpcviohx,dog
usoemgmltw,frqhiykebz,tohldwerul
caT,zbtnkxtmsc,0.116
caT,DOg,omhgsknrgv
0.262,uotthaewoj,dhyhchyfwm
