tymuazkxbl,ykjnebtddp,obhdiwyykf,fuppnignnp,mhfhykytar,gzfgtotvgf
fttvmxfuet,CAT,985,liszwsjtjs,gnhnautkyj,-0.0535
gwoljozjdl,-0.209,398,0.222,-458,DOG
0.3925,-0.135,0.286,0.4735,0.2065,926
aekokfyrhm,0.0855,cat,0.272,0.2575,0.0885
rqnifprwuf,okpvwqcoks,0.4705,-26,-388,gvwjugsbim
ehlkxdhvtm,-346,DoG,yjdthzatwj,CaT,0.171
0.456,vkxbbylhkf,-876,363,-0.0805,fwtmbmuxjq
-0.4495,-0.3015,-0.376,wvvtumgwej,-855,-614
-0.0565,beucvbuxsp,-857,gbbdjyywly,-0.098,ddbzbrrhsy
0.4495,-382,cxoqbdaixv,-0.4125,-0.255,-0.1425
ilrodqxvfd,-82,148,euhoymwuoz,-610,730
mhstmuignx,70,908,dOg,CaT,0.4965
159,jmdworocvb,0.375,573,0.277,-0.0255
-0.16,lzhjefwhgz,doG,panlvelvhm,-0.037,0.3535
-0.3,cat,0.321,CAT,-0.266,0.178
-0.2625,xfbdmxnjnn,dOG,ipzmhvmvar,-0.2575,ohblsymzxq
66,cat,meqnwwduix,CAt,-0.2305,-141
-46,682,-0.4615,tpoqrqqsse,0.4445,fdcerigxeb
0.3135,-0.23,-0.253,caT,602,-0.162
-0.451,-516,654,Dog,aadbtylfqk,0.3185
trvzxuqpyq,xccljuqksh,wacesrpbor,DoG,ybhhffgbmq,97
332,591,-921,dtxscjivmy,0.2275,fxlbfhialb
0.497,-0.469,16,-518,hhltzvpdat,zpoddzlljn
0.3985,deosquplya,dpapkyilku,-886,-0.449,0.0105
-716,ytsozqhgoq,-486,nngnzkaabb,0.2775,0.081
ztvkguxxkb,-0.257,wpbbinunuf,0.45,0.38,739
utafwmfbsh,-701,-196,-0.336,0.1325,-0.002
-306,-0.0065,0.3025,735,-406,134
