pcdjnkllkt,zjiimintvt,wjdljugzfd,cqpfidaacs,rnvgwtuhfh,yqrbzachxv
270,0.088,-74,-484,locnzorkqt,dOg
Cat,-178,-0.4895,DOG,dumnyzsnhy,-142
-0.2635,-0.2875,caT,blnqidmovf,-204,0.0425
cAT,nphwhowmwa,wbxtaxwpsk,-197,cat,-691
lnsnaxelzg,-120,xxqlwctqtw,Cat,xtnyjkmvxb,DOG
myjppczjfn,152,bnxtihzokh,-0.0875,0.0345,0.248
284,0.4675,nnpavjpede,-0.127,xzlpahobht,-792
caT,kcizedmoqs,puljpieygo,dOg,xyhkhqpkmw,0.0945
-0.219,0.377,ypxwzwkxiw,aidodgeeth,doG,cat
uumajaahvt,cAT,-0.1865,hzwcfgumem,lpaiimkkrl,ilhmsoozbx
kexqhbfisp,DOG,dOg,0.221,-367,0.219
cAT,-941,0.2445,-159,awibujvtkx,skxdtbzroj
0.292,cAT,mhejivbvmn,-0.0575,-818,Dog
-638,262,782,ujzgxozqsp,CaT,-814
dpivnspqga,844,xuqmnbsico,-625,tfzhmeugqh,yqjdhmfxph
-0.101,gicodyvawo,0.476,-0.1,755,CAt
rfihorqfdu,-638,qmxrdnvzji,myqubpnkac,272,zagmdvxetx
mxvfbbrxdr,357,cat,hnttifynyn,lpqbxkvqkp,snjognvmer
fouhiklvhv,-222,0.269,spbggagoda,wpxmhwtvze,cAT
nqvjdflspu,feoraedgne,dOG,0.265,agkjkdxdmw,doG
0.343,nvusjhsbvp,-0.377,-250,-675,DoG
667,lmssvzwbjw,535,CAT,-0.022,qgvazhbolr
ycsivbuoej,wxoskdxgou,514,zfpkdumtdh,-0.172,urwsgxpkdk
goiikcbeuh,0.425,exgmchwdym,-947,udqszknghr,979
cAT,zfmpbjoogx,243,109,0.2625,iiojxsaqvc
-234,swcomslakm,CAT,-933,cznloatera,jxoasbrvte
cAT,-0.116,0.124,632,vongkwmqiv,5
-620,jzetbuftan,cnmutrvlko,806,DOG,-0.2245
-0.2205,-372,Dog,-0.176,-0.07,-4
181,980,rrdcwrgkzj,odvacsozbv,0.1165,tpaxxlcfkt
qltprfxsbz,0.3545,-0.4775,96,cdmfrfonzq,703
706,11,dog,-118,-0.3825,azgywhmksj
-0.1215,cAT,gelavfesyt,DOG,-427,328
cyjtxgkyzh,caT,dbswqqwgwu,702,-0.3445,0.066
Dog,cAt,udgapcaxrc,586,vuiubkseyz,0.1575
909,0.0935,0.187,-512,-5,575
951,-38,xpjhzrvjaq,vujiniitil,-0.4935,521
0.3365,796,-614,0.4425,dOG,-359
navrdqjmbe,dOg,-0.1595,-879,-203,DoG
rcjvbwcrbl,mknlsnwqpz,DOg,766,0.028,0.181
-0.4695,0.345,jzcwgkfsgs,269,-0.142,DoG
vfqovxrxfu,awjiodnron,-29,437,-0.3605,-0.283
-0.4885,-998,352,-0.275,dog,buxzlvurey
-0.417,-0.2375,-504,-596,0.063,qykackhwjx
caT,ozgridczhx,-574,0.0045,982,veoeimtjky
-654,-0.2925,xrmmnqdzvv,-0.344,-0.0185,-0.3765
0.357,zulomfjbhz,923,-0.302,gtjsqguqlc,0.236
0.0195,0.1495,0.33,iyucsjhzeb,133,akaanfkonm
DOG,qbnrmtstbz,syqoijhfdi,0.3305,0.472,28
191,0.3425,-0.42,-0.386,0.1655,rhoeydrvyy
