avoypkrkcb,PEt,ckstpfqksf,tjjtryoljk,dglfjfncmc,nwdfufjhyj,gtvqcshjom
-0.139,253,-0.0755,hpdvzfwowf,Cat,dOG,865
hajdytbjtc,Cat,792,0.4085,dOG,nyeozkking,-607
hrxccdilwp,CAt,0.381,DOg,0.1375,-0.4385,-204
CAt,CAt,CAT,tbzsnkkjcw,589,-598,-648
971,0.2875,Dog,iuvlxzbuun,926,nxyjpqvkvv,-0.2265
-888,DoG,0.01,inntuahbfl,dog,-95,376
ccwrghdegc,dOg,ttogwvgeun,0.493,zetjgunxao,0.4695,786
qnpqlqaxtr,qdcikmlpfw,rqzwrzbmhw,-0.063,turogpxdei,CaT,-972
atmqugpmcv,caT,0.1155,admqgvtyog,-693,CaT,0.151
0.092,DoG,0.3745,0.225,Cat,-0.364,0.169
agyldodqmk,dog,dOg,ddwqjwdbpc,-0.3805,0.2005,-0.4515
wtftilokvh,CaT,0.1985,vsbjuaflcm,0.2375,vdvlivoetw,572
0.1105,Dog,oidpxxzeta,CAt,420,nkvqsksckh,0.338
-0.4625,CAt,usjgyaksyv,-399,Dog,Dog,DoG
-26,-994,153,-0.1305,-0.064,830,DOg
-88,cat,CaT,CAt,nxaephymyv,CAt,-59
-70,cAT,-260,nntkpbuqke,-868,575,DoG
pckvcjqtjf,Cat,cat,-938,-515,869,-664
-906,ukypfayoih,-0.1695,-830,-990,0.197,0.2665
0.2465,-69,-0.0375,-0.3055,0.2715,cpxvmiotod,cAt
Dog,CAt,wvvyojcdmm,Cat,pklvypsxvp,-274,-0.4435
-0.138,-395,-683,-0.458,0.2735,-389,abgybeylfk
0.3095,CaT,Dog,-0.479,hrkvuannem,-0.0215,0.1455
DoG,CAT,56,-0.3175,doG,0.069,wpksournyo
bbeluwwqki,Cat,shmkzmcvwj,xrmotkabsv,-428,yylfzcdwmv,dfgfhsewvr
791,-0.2735,caT,dog,-0.028,566,birmafjckj
532,ryftanvwai,0.033,416,-0.2335,mqpeevzulh,DOG
svcyyauwmx,cAt,859,-0.338,-0.0265,-0.4705,-793
zgplkjvqqi,CAT,hsaumxokkt,pqzuckpren,nujjebkqkg,enpimecndg,61
sfqtatzuaz,ualanrpohs,hwimtfvkro,-69,cAT,doG,0.1515
-80,dOg,Cat,yfaikvmtxl,dog,-14,mnuqsfzzcr
muhoxemtso,dog,whrlufkmsl,-0.467,vpowsoqlad,66,yvvgljobfa
-857,caT,303,0.239,899,333,-0.444
bmocwvpzvo,320,jrtsprriyo,mvobpxquot,-0.264,94,505
0.3755,0.1955,0.012,-49,xfmckmbfop,906,oaavrthdpm
-180,dog,0.314,-127,CAT,0.0375,-0.1935
-319,ypwsbnwqko,lmtmozcmvl,-0.459,384,-0.4265,709
0.056,cat,iaudtyhnir,-149,-0.3385,cAt,rmjzamvjap
-0.1935,95,gbypzcpgmi,-466,0.3665,zzswgszcpn,227
0.489,-474,Cat,admcfkqyby,-0.432,DOg,142
-438,-0.352,502,wnazhsvdrv,phwqqvnper,766,-0.406
0.3765,CAT,0.3835,0.4475,644,708,69
0.258,dOG,0.1285,euttndxjns,-223,544,grtyeivifw
isdqoznqwl,dog,-0.2405,339,-370,-0.066,-0.3585
497,DOg,-0.4105,190,-618,133,-640
DOG,ktddfrgldx,-526,yxqgwmjxyo,-58,-0.2025,DOg
199,caT,-0.1075,-703,ymhzjafbon,964,-889
396,-510,-125,scpthdbbtj,190,cdwtskrbfr,paqdqsrlsv
lxscujfvum,dog,ydgjqpndba,0.422,305,lsgpjwvrkv,levkhzjkmj
DOG,Dog,-0.337,-337,-0.128,-350,uczhacgjob
-488,DOg,-794,704,776,562,cat
16,CaT,528,ljkmlrhcqu,klsvzkyyuv,54,0.4515
0.412,doG,294,-0.119,0.0795,-128,0.443
xybcvwokya,dOg,quhrtqgkdk,-0.1105,itkmwugiad,692,788
0.0275,dOg,qziocpegcb,-397,-666,hpazkjwedx,mizlawzcre
-369,DOG,-0.181,-0.153,259,632,dOG
pqsjkhdlps,Cat,dOG,Cat,sugifbbtng,wukkwwcjuv,862
-0.3915,CAT,gxlvjmmdcu,caekhekvhp,-0.127,-0.2045,-0.326
dOg,caT,nnawsjvsns,kvttgfpwfr,omxxutlzwg,828,0.204
-953,-367,CAT,lgkcdrcpuq,-664,-0.449,sbxeobvmkj
zftgpisljp,CaT,-467,-289,jiwcchbcne,0.0905,CAT
585,Dog,DOg,981,0.063,lderbbfida,0.404
193,DOg,-619,hfzgxwftmf,724,Dog,592
DoG,Dog,0.364,-296,CAt,-0.499,-0.166
hbfsqqekhb,DoG,-468,wioufwyuip,fjkpgmpepm,zykgghkvio,bbdioxhrjy
0.151,CAT,-43,aepfgaxred,807,dog,-938
743,dog,sdzczuejbt,-48,gfwdbdrzim,-0.156,Dog
Dog,iahzqgfuxr,18,-0.3375,CAt,-574,lbaejqwqcq
nqyceuafha,DOg,736,dog,93,qzahnmrpmq,-0.1375
cAt,dOg,cAT,-306,-103,-596,660
DOG,dog,-796,-95,234,-0.225,dOG
cqzvzmbljx,792,-510,zxwfxqdrig,0.043,427,949
ghohqulzza,CAt,llffqvmwly,ldvdrsvfwr,-0.064,-904,-0.1625
DOG,CAt,CaT,CaT,dOG,264,-337
hvwigkhukq,dog,0.173,wngukyssjh,yfnakfenns,-0.4945,-906
toidxyobka,-0.343,lprratxdqj,-988,saowqwmogw,0.282,dOg
cizveygvzy,-871,alvkjkccsn,-0.485,-611,vcjmybflot,103
0.153,cAt,bxzuxadost,16,ijtvvkhiaf,0.3275,jidikmnmvr
0.3735,-208,-667,0.3195,vykxtekpjs,0.482,qybldsugyb
wljzksnban,orpdfdnmyo,xsvjhtebxs,xeykmvsyrs,808,978,79
0.369,jzqtpuwrnk,-0.322,0.2595,DoG,dOG,doG
