ncdkbzvdmi,dxpetfkqnb,inowcwlvjl,jfbydkembd,PeT
-496,194,0.0945,pwpmbtebhk,Dog
990,-556,DOg,dOG,DOg
wsdbdrmyfg,DOG,DoG,0.1965,DoG
qmtoxgspot,uwvcwftdcz,dOg,dog,cAt
0.304,DoG,vbybxnwchf,DoG,DOg
Dog,482,-68,uzvvvftmwj,cAt
0.0665,bedjiecnjy,-538,655,354
0.4235,CAT,hsxqaqcenh,DoG,dOG
0.485,DOG,-140,-731,Cat
-955,-733,921,0.055,dog
625,0.019,-0.0135,wlkivvbecy,Dog
-0.026,jkvtdpxnbo,frbhygaqqd,-585,CaT
-0.1515,637,cAt,-867,-0.321
nwwbzouyic,ngmfmfdzji,doG,0.3395,dOg
0.0375,qnntoiyvjw,-0.1955,-0.184,DOG
dOg,-568,qbxytsmsjn,-0.196,CaT
kfcjfavinq,-757,-0.167,-628,dOg
0.038,uivlocelgw,hthiiatonc,0.4065,-374
Cat,bxgdkwvsuq,iiyblsdhmq,874,DOG
cat,hbioltdurl,0.379,-521,Dog
-652,ktewyxytoj,cAT,690,Cat
35,-0.466,caT,938,cAt
doG,mhzjhmswvc,-0.3365,0.499,CAt
-0.0425,886,0.3135,0.453,Dog
CaT,-775,dowxzhhbfs,nrmbcjwjci,caT
cuhuhzzteu,287,-184,qeudxljmcu,doG
0.233,-519,xxcrlxuawy,-0.085,Cat
0.4875,CAT,jqbgcojxkz,0.2805,CAt
dOg,lhvmzavvhb,oifvuxbkzv,gjsuyleeem,wnefojxqop
CaT,emrtydxtna,ozpnpnlytk,wrjgdjtznc,Cat
-969,CaT,0.468,0.0235,DOg
nirwyyidpp,-0.3835,osdchvysdb,0.0055,Cat
-952,268,537,0.3035,aewnzlsdgv
bgpxsqzvzp,hxxqnimtzf,282,-23,CaT
113,274,-404,-50,cAt
-0.1305,0.1375,0.44,CAT,dOG
nsorhftnhs,396,0.3185,-740,Cat
nuqwuyiraq,squoseeyoq,-0.264,0.1545,caT
936,CAT,670,pkprfvfdil,Cat
aglcfzozaa,-0.443,564,wfxrajzbbb,wtuwgpjgkz
guqydhuwko,48,19,caT,Dog
-157,jomxkkgzje,-189,dOG,cAT
nbmhxeeaci,ssiyskjgld,506,0.079,Cat
250,-611,-481,cat,Dog
-647,bqkmnhbics,0.259,-877,cAT
-0.254,DOG,-0.2985,pmcruqwmtf,doG
-0.1875,0.3415,0.208,-0.044,Dog
0.114,CaT,dOG,814,726
-434,461,-113,ydryexmokh,ukwcjpeqjg
0.3135,177,DoG,doG,doG
cqmszhasrl,220,0.3885,CaT,CAt
0.097,0.488,CAT,-494,-708
0.215,-0.147,330,0.3375,zyreubxkcy
iivollwohh,-32,-877,dog,DOG
lsuvfvizgh,629,-309,-961,cat
862,705,caT,460,DOG
djxydoydzz,-0.288,wspxumthuq,0.309,0.047
Dog,0.0925,icbwqbjise,-0.3355,DOg
362,mvrjxkdkkf,iaowjyfmyq,dOg,dog
mucqwjyqnr,caT,0.0355,hehtdkprqs,DOg
bsgllcoptr,cAt,-578,ezefrbwequ,DOg
-326,qtlldsyket,-0.1725,0.4885,CAT
0.0835,0.3725,0.2985,906,caT
-0.312,awohzuudqi,rupwfypmxe,wwivshwznv,0.016
0.38,0.0495,dOg,731,DOg
284,lvxwiwwxyw,453,-0.156,CaT
slczjdngdt,-0.4295,-416,cat,CaT
-0.352,jmwlsqmgwd,-0.229,qpqybunhhx,tccznzevtu
-410,ixfqzbfepo,-861,-0.4375,DoG
cat,98,hgfgoyfveq,vputhfmqzv,pnbzlgcmdk
-92,0.435,ldsnierlzr,cAt,cat
87,gfkdzfnzlf,lzhktfprpd,95,CaT
pinnpphkii,doG,-824,cizrxbldok,caT
cAT,-0.133,oqzlbhzuqt,0.084,cAT
0.348,vstsjrltwz,0.424,xqhetgfygt,doG
-0.233,-855,tyoxqtxumf,DOG,dOG
sbwnpllqpe,0.422,0.264,ilfchjgyjq,CaT
0.213,0.3885,caT,caT,DoG
0.278,-0.275,nsiecpecbf,eiuylodhka,0.381
-0.46,-740,0.378,-139,DoG
-986,0.1465,0.0465,CAT,-0.0305
-0.2715,537,-0.1795,-645,DoG
