pet,foflmxhqez,ffcfeofpaq,zwzocxwpxt,nczcthhowr,djxkrgkcez,yvetdjilcg
caT,klttaoxicq,lvsavvndoo,caT,822,0.068,-0.422
cAt,449,633,642,-0.0515,uydnoqxczy,jdjbwpxoxm
doG,DoG,-0.3065,mvyltbriuw,-321,Cat,cat
DOg,jqkrvawvbo,owpuvhvxoo,xpybdkkqow,910,-225,eprnemowch
dOg,qymyqtplwl,cAt,DOg,CAT,DoG,0.4805
-0.123,doG,awkcwxyrsk,858,avvvhknvyy,-0.2145,rbxpjkrtjh
DOG,abvsjqsfrv,306,otwakawqdu,cat,pzceesgkec,-0.3245
CAT,-0.4195,-84,wbiukavicr,dOG,-0.067,0.1485
CAt,rwitqwtdzl,-0.404,DoG,cAt,CAT,pmknevfjgg
CaT,dog,549,wyaddrdeuw,CAT,CaT,hxsdbgfmar
Dog,CAT,cdhdecrnte,688,800,eyltfexxfy,qzcssaniet
CaT,ssgaqokqaw,copkvfmjiy,hlzzrwmnpq,obgvgmlsjx,doquuasgnb,Dog
cAT,xirsoatdsj,0.041,cAt,0.4585,0.187,-239
DOG,ylerhnuvvs,cat,0.4575,-676,CAt,315
cAT,caT,-0.339,Dog,cat,cat,kqzqdwdogc
DOg,lvyuymzgwz,cAT,-0.294,106,537,617
CAT,0.1645,-0.4795,cAt,0.105,ixshlccjqr,0.103
CaT,-0.129,Dog,-0.3545,0.132,0.0125,0.171
0.427,cttucoehpe,-958,bsfjkrugmf,cljnxgbdba,0.4775,317
