Pet,miicfqmhnj,falexxfhhx
dOg,205,dog
caT,0.0865,902
CAT,DOg,16
DoG,-68,lvxbbdqgzz
0.479,121,0.09
dOG,-0.267,-454
CAT,-6,xjhaiplysl
Dog,uigcbmbzmr,878
ckhbqidajb,0.318,-0.1945
DOg,-485,kgbnseitdl
cAt,0.379,wobmgnittw
zworevpmdf,-660,106
cAT,-0.233,gjiwpdlmws
Dog,-845,-0.4365
-0.437,657,-347
dOG,nmhslctikb,0.4975
Dog,swdprxpnez,Dog
doG,dOG,0.463
dOG,rlmsfvzrwr,829
caT,-0.3805,DOg
cat,lkwpysnogi,iwhpxnlbid
cAT,agosjtnlvy,146
Dog,ujdxrommnl,788
DoG,0.333,-536
DoG,jitgvjdfzj,-0.2385
esobbmetun,0.489,rrlzlwgbgc
doG,kwjoddzlht,dog
gloqajzytw,qjezietrjo,leukwstole
641,ctknbwynxm,mfoaogusfk
cAT,DOG,-0.389
DoG,cAT,0.4785
cAT,-4,wcdsverajv
CAt,-0.219,-411
cAT,dog,izoljxmspn
DOG,cat,-0.365
rgabvdjvzb,mrzyoxxnfh,DOG
DOg,0.143,-0.128
DOg,47,971
cat,-73,irjdrigawx
CAt,75,uuyhjyvdvj
cat,rkibjrgejy,lbfrnzzlea
DOg,-0.161,-879
Cat,-269,cAT
996,0.157,lkuoexplta
CAT,-0.2295,-488
222,cAt,cat
baeitnjqqi,izlsgrdsid,-381
0.207,-486,fxhsxahzqg
pgdjetzxna,-342,zyqomffjsn
caT,nqrygtnuog,0.444
49,0.159,jkxjxiuegn
gcexwzzxso,cAT,qwyhwscvgl
cat,Cat,0.304
DOg,qntaqhzusu,shakdevttc
wrjfwioatk,-0.233,-0.3385
Dog,-189,xupzpujxyp
awwhqsslfg,0.338,wdujkgssqw
cAt,334,udcvwnbtgx
lkawlspllm,CAT,0.0255
caT,-0.49,-938
DOG,gvqdhmyvpt,jpfpnzfqtb
Dog,-519,iicvovvabh
sqegxpgucr,0.3935,rzrfobfkbl
Cat,cat,-305
cAt,iuqwdnvwet,923
kazaivrtxw,849,-0.0385
DOG,-0.07,cAT
dOG,mntvagdpzu,-0.431
cAt,-0.377,buncnilwgi
doG,CaT,0.0655
CAt,-506,dog
CAT,xjsevcupqy,chpoinzdhx
Cat,-0.2005,rzybncbebh
cat,0.3225,cAt
CAt,etsennzzvt,0.0195
wiigxbibgu,qmqglhlgwb,0.3905
CAT,-523,528
DoG,0.3255,0.373
cAt,coccqocvjn,xfgczlttuq
dOg,-0.235,841
Dog,-0.0775,vytexnqdsj
-606,eklliwlfid,0.159
nuehlaiugj,0.186,-0.492
0.4805,0.433,ugatbjhsmk
CaT,aqwgymqsfn,-656
Dog,ubltlranrn,ginvnmyfwe
cat,0.26,tbmvstfcbj
Cat,599,cAT
CAT,CaT,jjkawfedzh
Cat,913,bdlltdnpkf
-426,898,doG
CaT,703,atklmwkclq
DOg,gdwrtzqvez,0.0285
CaT,-0.4085,-0.288
