mlnzivucot,lzrjnbyjel,zzegoxtrzy,mwkiobsuas,ddqkydpijv,iuzqpsswzp,ylzqgrdaoe
535,-492,0.267,fvxpokfgvc,381,326,ihlywtgesh
jhqqdshifs,dog,-230,-501,zlpzkdotkj,-281,-0.1835
0.3735,CaT,-623,quwfjyczrr,-0.371,-462,-0.2395
0.001,0.3505,-0.4915,auxpsbyyxp,bhxbeopuzu,0.358,0.4485
373,rhyqtykwvh,883,bnlinfkfay,-560,0.131,-0.4165
-0.1915,caT,-322,-316,dOG,-374,0.1305
426,0.304,pxogivpjja,0.2585,60,-0.0425,754
-331,-0.393,gskozzvbdu,-0.0255,bvyjjcuzyg,Cat,-976
uvauohepws,0.2495,zrybfzsdft,544,nrhfxlyeeb,0.3255,0.294
DOg,629,-35,aaylcktyuk,sdpljchmcd,-0.3785,dOg
-0.3435,-0.3915,-2,ajckidbjgm,0.4725,-0.3875,765
-0.3295,CaT,-503,jmakyiotvl,-955,-0.1635,0.001
-549,-0.087,384,0.383,643,-0.1035,CAt
-0.3315,958,tlmmskwdvu,Cat,0.1255,-225,403
-243,fzonrelwhj,DOG,404,CAt,geupqnoldr,579
upbsrwesqf,kztrwmwnlq,-0.31,ftuboklgpf,yircsyskrv,caT,-0.208
685,0.039,iprkvghhiw,805,preswiunqk,cAt,dog
ieeiqwzknh,93,-0.391,0.3765,CAt,708,-352
476,dOg,-359,-110,eatpnozyjz,phdjfwgnjx,-581
doG,xayknxbzur,ebatwbbosa,0.0585,-0.0965,qscphpvnzk,fsrisjphkv
-671,-0.1845,dOG,0.1335,Dog,-0.4015,0.4415
-0.3125,0.0985,tjknwyutyz,-495,ckxkguqrdu,kwyzdibqfo,429
DOG,cat,500,0.0575,CaT,qrofjyrbqr,zuxzuutcyt
-986,-129,556,19,qbmgzmieqh,627,947
-0.3165,-0.128,412,jnqyncjcou,-271,-939,-272
doG,-853,vggkiytkba,etxnjoqssf,gzxtjmopqo,-672,0.128
