yvgcgdnnqh,khxpqonozo,orpqtrjnst,fokltgmxsm,horcflbyfv,ivdrlxuqnu,inxlrvvqcu
CAt,71,aspcsdnvar,-0.1115,DoG,0.422,dOg
CAt,dOG,675,jryuriqhcm,zplibvqzth,-0.157,-431
-0.229,0.071,-563,DOg,-141,ypqvmsljvq,rsusvqneiz
0.1495,-0.194,-0.0205,gqmvyhlpmf,813,722,-0.1745
yrszidddry,nyocnavkmv,gagdqwwvha,cAt,-345,-944,680
dOg,hqskidecdd,0.3015,-892,-0.048,0.3545,dog
-796,xalpkbfkzn,Cat,CAT,348,544,xhwitolbeb
-0.1005,346,-748,0.27,0.1365,-215,-422
860,698,itisnkvgnt,-588,cdqksoidwm,-704,0.3305
0.0575,0.193,-476,-256,zbflrvyeae,0.057,-0.2555
dOG,ilrblicctb,0.323,0.457,cltnnsrkor,-0.004,0.2645
-565,-254,DOG,-980,dOg,-411,-678
0.2465,-0.396,-0.179,cnxyzcayux,xkbwvneugm,gjifqpblrt,458
hxkzgycmrm,ozlqeetknk,DOg,doG,dnbscngqry,908,553
cAT,ooplugcers,rxjljhlrln,-391,rifxmlxsmi,-658,238
0.281,-0.012,0.2585,odziqoyqir,usevwdfmmw,dog,-117
-0.3745,0.161,qobpnfsrru,-0.1345,-0.2255,zyyzsmihzi,0.307
0.1065,777,nxoemddrqr,lacawsfvhv,0.1305,lkyctozclm,snjlafybyy
dzvanrqkum,CAT,CAT,-0.166,-403,-0.495,-674
287,-859,460,929,mcmmcxltno,360,-0.021
-0.432,dOg,854,-944,nslgtebjxy,-0.372,cAT
ijvodjxuvb,wdcucpeetz,0.4565,-737,cat,0.3335,vqdotceuns
CAT,563,rxpjtgzrqa,-431,243,CAT,-994
921,uzjwjtuhww,-0.042,687,-0.2915,-456,341
0.2785,149,-0.4895,ebagowxjkm,bhiutgvpez,-0.235,4
148,235,dqmhywfonb,DoG,-829,148,-975
-0.1665,-0.0465,gikbabtchv,-292,942,-0.0505,-0.1375
ajfkrdigcu,0.215,yhmjuirnzb,dOG,vceeymyqkl,-897,521
CaT,-546,-662,pdblxgqwdx,-0.331,-532,-906
ebpzfwiuur,0.3985,0.3525,qhguppmuyi,0.0755,-0.113,-0.336
dOg,593,lsczxkextp,-0.4585,-0.4145,0.166,-836
ekhlkjpjon,-0.284,DOg,qxocrbetth,-868,-0.4035,rsxgefwfmk
nuhhunyqmb,-0.0855,-498,-0.264,Dog,-126,-717
ouctqmfglg,0.0115,0.4375,-708,wgkwdvodko,0.386,-0.1125
784,447,caT,28,-0.2775,175,0.187
0.2365,hibtcrjpdy,DOg,0.117,0.1185,wfjtpvfzuo,wpqqjjrvxe
0.2605,0.3635,-0.411,dog,dOg,wyojcdmhay,CaT
hxkjqmpkah,0.446,950,544,yjschdbfig,muqlidvzaq,favchqurwc
0.491,cat,0.0565,-111,kxlzppjaxp,-779,-0.0775
-0.497,-787,-732,744,0.3595,siegecpvne,eqacjzrtcp
-528,ovvjlxiuut,0.0815,-807,-0.25,doG,-0.3725
tmtoieqigs,obibtarclv,adfzekjwpl,svgqocyjbq,hidkdquilt,0.0355,0.0725
0.0855,-126,dog,-700,weuwjtabos,cat,542
685,0.061,bwxsljfbml,Dog,zfwrxnqtag,doG,15
epvctykocv,kqjevaimnp,129,701,-465,0.463,-129
DoG,-744,673,-486,0.2715,-101,DOg
msodlufdrz,edbbkphuuu,0.2465,0.0555,DOg,0.098,DOg
0.4145,215,328,980,966,-0.482,0.4265
Dog,-0.107,Dog,0.2545,0.2885,zpwkxpqhbl,CAT
tlbhtvsdel,-0.0945,145,-0.0475,cAT,DOG,-438
-337,DoG,-203,-222,209,0.1135,0.4225
-0.4265,-0.313,-942,-0.42,kpxzvvszpn,-0.4615,-260
xlibbbriqp,cat,343,-0.312,atbpqsvqfk,0.1615,ckyrskvisl
CaT,-0.0975,xrgpobjhga,-697,CaT,-0.4825,hsqqlrbivf
0.365,-131,Dog,gxoluzudex,-680,869,485
467,-982,383,wssargvwrv,-113,-709,-0.386
phoyesfxqu,-976,403,158,0.3315,786,0.286
-943,-632,-0.1625,tscyugtfxs,bqfqdgblal,dOg,-314
-443,dOG,-0.3455,0.285,udhufgeuug,450,rcvsxsrcyn
0.035,dOg,-951,mpqdgfumdb,jsgdkourfh,dOg,-16
-0.399,-908,rngupcflnj,cAT,-465,0.2995,zmllnwgaig
ifcczgmwml,0.21,ebfjglfrui,imzovhplqu,0.388,CAT,829
0.3705,-780,0.101,0.3005,385,cAT,caT
dOG,-811,-842,xetpixiiou,dOG,CaT,-0.414
-0.177,173,cwzwofqnit,-180,DoG,169,-0.191
-0.2085,291,DOg,hwvnwnicfk,-0.0835,0.134,xyztgdxrqk
243,zxtprbmiul,tlyjsmmuej,-7,-0.095,-937,lpfzahmkjz
cpxehngyjk,0.3695,dOG,frmkuhhuiz,91,jsslsdxmmm,0.1605
0.394,-0.379,lrqdopwaqb,vcwizoxhtp,cdyaktwesc,-258,0.1025
-489,0.085,DOg,doG,0.025,164,cAT
448,-240,CaT,ccfnuajmki,doG,0.232,caT
CAt,481,nnhwfyxazb,awndfwikkh,DOG,modgiusbrk,llanehpetr
zuywxipdtx,jzlsnzirjp,784,ultoqytdiy,cxvwierejl,0.1565,0.484
dyhfjbbrpi,-0.1685,0.4485,fvdljbbwcx,dfciqwdkvv,gpunsbhmhs,CaT
qedqplvvac,-0.399,-323,756,-0.4645,stnhlqozsm,wkjabwkods
320,dOg,cAT,cat,0.173,457,-0.1155
DoG,0.26,-0.4045,-0.0255,-0.352,aoitzwrxdt,-887
uavdckcdyl,-100,995,dOG,702,kcnqxidsfu,caT
cat,-162,-161,doG,0.0065,rifnjuhxli,ogugcqgfhq
DOg,caT,frozsyzugg,-626,0.1445,ccvxgkotpk,ncxjwoskpv
-0.2675,rcikqccsmo,-71,-996,dOG,DOG,-179
dog,amnnibrbzi,-61,0.1785,urlikyjanb,dog,qqyayzlcgk
DOg,dog,712,359,tgtinvovtb,-143,CAt
jndatdfuqb,-207,926,xabzgtjdne,klhbfkqaaw,345,hijhxpbzsb
